날짜,종목명,제목,점수,라벨링
2020-09-15,에스엠,"공정위, 대금 뺀 불완전 계약서 교부한 SM엔터에 시정명령",-1,-1
2020-12-29,에스엠,"버라이어티 500에 방시혁, 이미경, 이수만 등 이름 올려",0,0
2020-12-18,에스엠,보아 “수면제 부작용 심해 日서 졸피뎀 처방” [전문],-1,-1
2020-02-20,에스엠,"
			SM엔터테인먼트 ""엑소 멤버 변동 없다...첸 함께하기로""
		",0,0
2020-01-10,에스엠,[차이나 비즈] SM 이수만 “中오디션 프로 만들겠다”…중국 팬들은 “엑소나 잘 챙겨”,0,0
2020-01-14,에스엠,"
			엑소 첸, 이미 성당에서 결혼식 올렸다는데… SM ""사실무근""
		",0,0
2020-12-17,에스엠,"원조 한류 보아, 졸피뎀 밀반입혐의 검찰소환",0,0
2020-12-26,에스엠,“코 세우고 칼 갈았다”… 하트 휩쓴 오뚝이 미스트롯들,0,0
2020-12-14,에스엠,중국서 가상 아이돌만 30팀 출연 첫 콘서트… 공산당이 작정하고 시장 키우기,3,1
2020-12-12,에스엠,"[아무튼, 주말] 딸은 다른 우주에서 살고 있다… 4600만명 몰린 ‘메타버스’를 아십니까",0,0
2020-10-14,에스엠,"
			팬데믹을 기회로, IT를 무기로… 빌보드 점령한 K팝
		",1,1
2020-03-06,에스엠,"
			엑소 수호, 데뷔 8년 만에 첫 솔로 앨범 '자화상' 발매
		",5,1
2020-01-20,에스엠,"
			“결혼한 첸, 나가라”… 일부 엑소 팬들 거리로 나와 시위
		",0,0
2020-01-13,에스엠,"檢, 창원SM타운 특혜 의혹 안상수 전 창원시장 등 무혐의",-2,-1
2020-11-21,에스엠,"20세, 아이돌을 그만두다… 38세, 택배 박스를 포장하다",0,0
2020-11-02,에스엠,"[Mint] 아이돌 댄스, 토익, 하버드 강의까지… AI가 학생 수준에 맞게 족집게 교육",0,0
2020-11-12,에스엠,아세안 경제 주무르는 화상(華商) 3일간 창원으로 접속...한·세계화상비즈니스위크,0,0
2020-11-10,에스엠,"LG 가로본능폰 할리우드 진출했네, 마이클 베이 감독 ‘송버드’에 등장",1,1
2020-11-06,에스엠,‘韓·세계 華商비즈니스위크’ 창원서 12일부터 3일간 열려,1,1
2020-10-20,에스엠,"SK텔레콤 “한국산 AR·VR로 해외 5G 콘텐츠 시장 휩쓴다""",2,1
2020-10-23,에스엠,"아이린, 스타일리스트 갑질 의혹에 ”어리석은 태도·경솔한 언행 죄송”",-1,-1
2020-01-17,에스엠,"
			봉준호 감독, ‘세계 엔터테인먼트 리더 500인’ 선정
		",2,1
2020-09-24,에스엠,BTS도 ‘짹짹이’ 타고 날았다…K팝 팬덤의 놀이터 된 트위터,0,0
2020-08-26,에스엠,"방탄소년단, 블랙핑크 전에 그녀가 있었다",0,0
2020-07-31,에스엠,일도 취미도 집에서… 홈트·가전 매출이 이렇게 뛸 줄이야,0,0
2020-07-02,에스엠,"'엑소' 백현, 솔로 앨범도 100만장 돌파",2,1
2020-06-26,에스엠,"
			걸그룹 출신 스테파니, 23세 연상 前 메이저리거와 교제
		",0,0
2020-06-12,에스엠,"동방신기 최강창민, 9월 결혼 발표…피앙세는  비연예인",0,0
2020-06-11,에스엠,"잘키운 디지털 콘텐츠 하나, 반도체 안 부럽다",1,1
2020-06-17,에스엠,파격 할인에 K팝 콘서트까지...비대면 'K쇼핑 축제' 열린다,1,1
2020-06-16,에스엠,[만물상] 온라인 콘서트,1,1
2020-06-15,에스엠,75만명이 본 '방방콘'… 90분간 260억 벌었다,0,0
2020-04-04,에스엠,"[아무튼, 주말] 英國에도 트럼프같은 총리가 등장한다면",0,0
2020-03-17,에스엠,"""BTS만 K팝 그룹이 아닙니다"" NCT 127, 빌보드 5위권 진입",1,1
2020-03-09,에스엠,"
			소녀시대 태연 부친상… 신곡 발매 연기
		",2,1
2020-02-29,에스엠,"대중문화계 스타들, 코로나 성금 전달",-1,-1
2020-01-31,에스엠,"
			'BTS 소속' 빅히트엔터, 상장 준비… ""아직 결정된 바 없다""
		",0,0
2020-02-12,에스엠,"
			'기생충' 아카데미 축하파티도 K팝이 장식… 그룹 '에이스'는 누구
		",0,0
2020-02-04,에스엠,"
			강타·정유미, 열애 인정… 팬에서 연인으로
		",-1,-1
2020-01-20,에스엠,"
			동방신기, 日 돔투어 관객 수 60만명 돌파… 추가 공연 결정
		",3,1
2020-01-13,에스엠,"
			엑소 해외 팬, 때아닌 한국어 공부…""축복, 임신의 우회적 표현""
		",1,1
2020-01-13,에스엠,"
			‘엑소’ 첸, 깜짝 결혼·임신 겹경사… “신부는 비연예인”
		",-1,-1
2021-11-09,에스엠,"“딱 보니 투기네” 태연에 악플·루머... SM, 법적 대응 예고",-1,-1
2021-02-05,에스엠,"SM엔터, 특별세무조사서 추징금 202억... “불복 절차 진행”",0,0
2021-12-22,에스엠,이수만·방시혁·봉준호… 美 ‘버라이어티 500’에 뽑혀,1,1
2021-07-16,에스엠,"SM “사생은 스토킹 행위, 선처‧합의 없이 강력 대응” [전문]",0,0
2021-05-07,에스엠,"SM, 할리우드서 활동할 K팝 그룹 만든다",0,0
2021-12-21,에스엠,종부세 피하려 아파트 판 부자들이 찾는 다음 투자처는?,0,0
2021-12-09,에스엠,"[쫌아는기자들] 감정을 표현하고 노래도 하는 음성합성 엔진, 휴멜로",0,0
2021-12-17,에스엠,“포르쉐를 방 안에 주차” 청담동에 350억짜리 아파트 들어선다,0,0
2021-10-28,에스엠,"SM 이사 보아, 스톡옵션으로 1억원대 수익 챙겼다",0,0
2021-10-28,에스엠,"2500억 부동산 사기, 태연도 당했다? SM 측 “파악 어려워”",-1,-1
2021-12-01,에스엠,배두나·공유의 신작 스릴러는 190국 32언어로 동시 방영한다,0,0
2021-10-12,에스엠,[모닝] 확장현실 ‘XR’로 SM아이돌 보세요,0,0
2021-11-28,에스엠,車·옷·먹거리 회사도 몰려간다... 성수동 골목은 최신유행 실험실,0,0
2021-10-27,에스엠,콘서트 기대감에 ‘떼창’하는 엔터株,1,1
2021-11-02,에스엠,"‘상승률 세자릿수’ 대박 주식들, 공통점은 메타버스",1,1
2021-08-09,에스엠,“中당국 시범 케이스”… ‘미성년 성폭행’ 크리스 중형 예상,-1,-1
2021-07-21,에스엠,"이수만, 17세 연하 여기자에게 강남 50억대 빌라 증여",0,0
2021-07-20,에스엠,루이비통 이어 포르쉐·불가리까지… 성폭행 의혹 前엑소 멤버 ‘손절’,-2,-1
2021-07-19,에스엠,‘미성년 성폭행 의혹’ 前엑소 멤버 “사실이면 스스로 감옥 갈 것”,-2,-1
2021-07-19,에스엠,前엑소 멤버 中서 성폭행 의혹… “미성년 피해자만 7명”,-2,-1
2021-06-30,에스엠,이수만이 연예산업 미래 이야기한다… 대구서 세계문화산업 포럼,1,1
2021-06-05,에스엠,가수 보아 졸피뎀 밀반입 혐의 불기소 처분… “심려 끼쳐 죄송”,-3,-1
2021-01-16,에스엠,"‘K팝스쿨’ 한국선 못 열고, 결국 美에 세웠다",0,0
2021-11-23,에스엠,‘페라가모의 여신’ 레드 벨벳 슬기… 그녀가 초대하는 한옥 파티 [최보윤의 명품평론학],0,0
2021-11-18,에스엠,"“위법 아니지만 오해 방지”…백현, 군복무 중 유튜브 영상 내렸다",1,1
2021-11-17,에스엠,"군 복무 엑소 첸, 아내 둘째 임신…두 아이 아빠된다",0,0
2021-10-24,에스엠,“기업 골라 받을 만큼 꽉찼다” 성수동이 스타트업 심장된 까닭,0,0
2021-10-12,에스엠,"[금주의 pick] ‘걸그룹, 메타버스 속으로’ 외",0,0
2021-10-18,에스엠,"걸그룹 에스파, 첫 앨범으로 ‘빌보드 200’ 20위",2,1
2021-10-10,에스엠,프랑스 럭셔리 하우스 지방시가 걸그룹 에스파위해 제작한 오뜨 쿠뛰르 의상 보니...,0,0
2021-09-17,에스엠,"‘천상지희’ 출신 선데이, 유산 고백…“다음엔, 건강하게 와주렴”",0,0
2021-08-26,에스엠,“학창시절 성매매·패싸움” NCT 루카스 사생활 추가 폭로,-3,-1
2021-08-25,에스엠,"‘양다리 논란’ 루카스 “잘못된 행동이었고, 사과하고 싶다”",-1,-1
2021-09-01,에스엠,"“두 마리가 25마리 돼버렸다”… 에스파 윈터, 햄스터 학대 논란",-1,-1
2021-08-30,에스엠,"“루카스, 팬들에 셀카 보내라 요구” 폭로 나왔다…접근하려고?",-1,-1
