TITLE,DATE,PRESS,REPORTER,CONTENT
"
			유재석, FNC 전속계약 곧 만료… 새 둥지로 옮기나?
		",2021.07.06. 오후 2:28,None,None,None
"
			FNC “정용화 관련 허위사실 유포한 악플러 고소”
		",2020.01.06. 오전 11:13,None,None,None
"
			AOA 민아, 그룹 탈퇴...설현 포함 5인조로 활동
		",2019.05.13. 오후 1:31,None,None,None
"“왕따 없었다” AOA 갤러리, 권민아 폭로 1년 만에 성명 [전문]",2021-07-03 20:13:02,조선일보,김명일 기자,"




권민아. /인스타그램										디시인사이드 AOA 갤러리가 전 멤버 권민아의 괴롭힘 피해 폭로 1년 만에 성명문을 발표했다.이들은 3일 성명문에서 멤버 지민이 권민아가 아버지 병문안을 가는 것을 막고 임종을 못 지키게 했다는 의혹에 대해 “권민아는 지난 3월 라이브 방송에서 아버지의 임종을 지켰다고 발언했다”며 “병문안은 스스로 가지 않았다고 발언했으며 이 결정에는 지민을 포함한 어느 누구의 강요도 있지 않았다”고 했다.권민아가 팀 내에서 왕따였다는 의혹에 대해서는 “권민아는 AOA 활동이 즐거웠고 다른 멤버들과의 사이는 좋았다고 폭로 초반까지도 인스타에서 여러 차례 언급했다”며 “무엇보다 권민아 본인이 왕따라는 발언을 한 적이 없다”고 했다.또 AOA 갤러리는 지민의 은퇴가 권민아에 대한 괴롭힘을 인정한 것은 아니라고 했다. 이들은 “지민은 권민아에 대한 괴롭힘을 인정한 적 없다”며 “권민아를 세심하게 보살피지 못한 부족한 리더였음을 사과하고 연예계에서 은퇴했다”라고 했다.권민아는 지난해 7월 AOA 활동 당시 리더인 지민으로부터 괴롭힘을 당했다고 주장했다. 이후 지민은 팀을 탈퇴하고 연예계 활동을 중단했다.다음은 디시인사이드 AOA 갤러리 성명문 전문첫째. AOA에 대해 잘못 알려진 왜곡된 사실들을 바로잡고자 합니다.1. 지민이 강제로 아버지 병문안 가는 것을 막고 임종을 못 지키게 했다.(X)→ 권민아는 2021년 3월 7일 라이브 방송에서 아버지의 임종을 지켰다는 발언과, 매니저가 드라마 촬영 후 병원 5분 거리였던 본가까지 데려다줬음에도 불구하고 다음날 스케줄을 소화하는데 방해될까 봐 본인 스스로가 병문안을 가지 않았다고 발언했습니다. 이 결정엔 지민을 포함한 어느 누구의 강요도 있지 않았음을 알립니다. 또한, 권민아는 아버지 투병 당시 33개 스케줄 중에서 27개의 스케줄에서 빠지며 소속사와 멤버들로부터 충분한 배려를 받았습니다.2. 권민아는 AOA 팀 내에서 왕따였다.(X)→ 권민아는 AOA 활동이 즐거웠고 다른 멤버들과의 사이는 좋았다고 폭로 초반까지도 인스타를 통해 여러 차례 언급했습니다.- 폭로 불과 6일 전, 멤버 혜정과 부산 여행을 했으며- 폭로 2주 전에도, 악플로 힘들어하는 민아에게 멤버 찬미가 위로의 댓글을 달았습니다.- 탈퇴 직전, 지민을 제외한 멤버들과 술자리를 가지며 이야기를 나누었다고 SNS에 게시했습니다.권민아는 폭로 후 멤버들이 찾아간 날부터 멤버들에게 서운함을 느끼고 방관자라고 비난하기 시작했습니다. 10년 동안의 활동 기간이 아닌 폭로 이후 멤버들과의 관계가 소원해진 것임을 분명히 하고자 합니다. 무엇보다 권민아 본인이 왕따라는 발언을 한 적이 없습니다. 무분별한 기사와 댓글들을 통해 왕따 사건으로 변질된 것입니다.3. 설현은 권민아의 유서에 이름이 올라간 만큼 죄가 있을 것이다.(X)→ 권민아가 설현에 대해 비난한 내용은 다음과 같습니다."" 끝에 이야기 나눌 때 설현이 본인은 아무렇게나 되어도 상관이 없고 그냥 이 상황이 싫다고 한 발언이 서운했다.”‘끝에 이야기를 나눌 때’는 권민아의 폭로 1년 반 전의 재계약 논의 중에 의견을 조율하면서 나온 발언입니다. 권민아 자해 후 상황에서 나온 발언으로 잘못 알려져 있습니다.“김설현, 신지민, 한성호는 멀쩡한 사람을 죽음까지 몰아넣은 사람”“말로 담을 수 없을 만큼 쓰레기 같은 사람”이는 유서 형식의 인스타 글에 있는 권민아의 표현입니다. 네티즌들이 권민아의 발언에 문제를 제기하자 권민아는 인스타 라이브 방송에서 오히려 설현에게 사과를 받고 싶다 말했습니다. 그 이유로, 권민아의 숙소에 데려온 설현의 강아지가 배변 실수를 해 어려움을 겪었으며, 설현이 “XX와는 안돼, 사귀면 안돼” 라는 말을 한 것을 근거로 들었습니다. 괴롭힘이라고 보기 힘든 이와 같은 이유들로 설현을 저격한 글이 기사화되어 설현은 무분별한 악플의 피해자가 되었습니다.4. 지민의 은퇴와 AOA 멤버들의 침묵은 결국 권민아에 대한 괴롭힘을 인정한 것이나 마찬가지이다.(X)→ 지민은 권민아에 대한 괴롭힘을 인정한 적 없습니다. 지민은 권민아를 세심하게 보살피지 못한 부족한 리더였음을 사과하고 연예계에서 은퇴했습니다.또한 FNC측에서 권민아의 안정을 우선으로 내세우며 AOA 멤버들의 입장 표명을 만류했음을 공식 입장을 통해 밝혔습니다.5. 지민과 나머지 AOA 멤버들에 대한 고소는 경제적인 이유로 불가능했다.(X)→ 당시 국민신문고를 통해 제기된 권민아의 집단 괴롭힘 관련한 민원이 강남 경찰서에 배정되었고, 사전에 경찰이 권민아 측에도 연락을 취했지만 권민아 스스로 경찰의 조사를 거부했습니다. 권민아는 인스타 댓글을 통해 그 이유로 경제적인 부담과 사법체계에 대한 불신을 근거로 들었습니다.반면 최근 악플러에 대해서는 즉각적으로 고소 공지를 내는 상반된 태도를 보였습니다.주장하던 대로 AOA 내의 피해자라면 이제라도 여러 차례 발언한 대로 가지고 있는 많은 증거와 함께 경찰 조사 및 고소를 통해 피해 사실을 명명백백히 밝혀주시기 바랍니다.둘째, FNC 엔터테인먼트는 소속 아티스트를 보호할 의무를 이행하기를 강력히 촉구합니다.저희가 FNC엔터테인먼트에게 요구하는 사항은 다음과 같습니다.하나, AOA에 대한 음해와 허위 사실이 유포되는 행위가 이루어지지 않도록 법적 대응을 해주십시오.둘, 각종 루머에 대한 사실 정정을 공식 입장으로 표명해 주십시오.셋, AOA 멤버들의 향후 거취 및 활동에 대해 팬들이 알 수 있게 분명한 입장 표명을 해주십시오.AOA 갤러리의 입장문의 목적은 권민아에 대한 비방이 아닌 멤버 신지민, 서유나, 신혜정, 김설현, 김찬미에 대한 오해들을 바로잡는 것과 FNC의 아티스트 보호 의무를 촉구하는 것임을 다시 한 번 분명히 밝힙니다.지난 1년간 모두가 AOA를 비난할 때 엘비스는 흔들림 없이 멤버들을 믿어왔습니다. 고통의 시간을 침묵으로 견뎌낸 AOA에게 엘비스는 약속하겠습니다.‘늘 지금처럼 변함없이 그대로’ AOA를 지키겠습니다.
"
안테나로 떠나는 유재석… 6년간 일한 前 매니저가 남긴 편지,2021-07-14 20:22:03,조선일보,김소정 기자,"
										개그맨 유재석의 전 매니저 임종윤씨가 유재석과 이별하게 된 심경을 전했다.



(왼쪽부터) 유재석, 전 매니저 임종윤씨/뉴시스, MBC '무한도전'										임씨는 14일 유재석 스타일리스트 이주은씨 인스타그램을 통해 “지난 6년간 형의 매니저로 살면서 많은 것을 보고 느끼며 일해왔다”고 말했다.이어 “더 이상 형의 매니저가 아닌 삶을 산다고 마음을 먹은 순간부터는 잘해왔다고 생각했던 것보다 부족한 일들만 계속 떠오른다. 아쉬워서인가 보다”라고 했다.그러면서 “7월 15일 이후에 회사로 오는 편지는 전달 드리기 어려울 것 같아 앞으로는 형의 새 소속사로 보내주시면 감사하겠다”라고 말했다.유재석은 15일부로 6년간 몸담았던 FNC엔터테인먼트와 전속계약이 종료된다. 유재석은 절친 유희열이 이끄는 안테나와 전속계약을 체결했다.안테나에는 정재형, 토이, 정승환, 권진아 등 다양한 뮤지션들이 소속돼 있다. 안테나에 음악 외 분야의 아티스트가 합류하는 것은 이번이 처음이다.MBC ‘아무튼 출근’에 출연해 화제를 모았던 유재석의 스타일리스트 이주은씨는 안테나에서도 유재석과 인연을 이어간다.◇ 다음은 유재석 매니저 입장문 전문안녕하세요. 임종윤입니다.글솜씨가 없어 두서없이 쓰는 점, 이해 부탁드립니다.지난 6년간 형의 매니저로 살면서 많은 것을 보고 느끼며 일해왔습니다. 스물네 살이던 제 나이가 지금 어느덧 서른이 되고, 그동안 결혼도 하고 축복이 찾아와 10월엔 아이도 태어납니다!더 이상 형의 매니저가 아닌 삶을 산다고 마음을 먹은 순간부터는 잘해왔다고 생각했던 것보다 부족한 일들만 계속 떠오르네요. 아쉬워서인가 봅니다. 하지만 지난 6년간 형의 매니저로서는 최선을 다했기 때문에 후회는 없습니다. 다만 가족이 생기면서 책임감도 생기고 더 높이 성장하기 위해 많은 생각이 들었습니다.그동안 팬분들과 소통을 많이 하지 못했던 건 제가 하는 행동 하나하나가 형에게 영향을 미치고 피해도 줄 수 있다고 생각했기 때문이었어요. 그래서 답변도 잘 못해드렸습니다. 하지만 형이 FNC에 계시는 동안 매니저로서 최선을 다했다는 건 자신 있게 말씀드릴 수 있습니다. 마지막으로 7월 15일 이후에 회사로 오는 편지는 전달드리기 어려울 것 같아 앞으로는 형의 새 소속사로 보내주시면 감사하겠습니다! 그동안 탈도 많고 실수도 많았지만 응원해 주신 분들, 정말 감사드립니다. 앞으로도 모든 분들의 하루하루가 웃음 가득하길 바라겠습니다. 오늘도 좋은 하루 보내세요!
"
정형돈 또 불안장애 다시 심각... 방송활동 잠정 중단,2020-11-05 22:41:45,조선일보,None,"
										방송인 정형돈이 불안장애 증세 악화로 또다시 모든 방송활동을 당분간 중단하기로 했다. 정형돈은 지난 2015년 11월에도 “오래전부터 앓아왔던 불안 장애가 심각해져 방송 진행이 어렵다”며 11년간 출연해 온 MBC 무한도전을 비롯한 모든 프로그램 출연을 중단했다가 9개월 만에 복귀했다.



정형돈 역류성식도염										불안 장애는 다양한 형태의 비정상적, 병적인 불안과 공포로 일상생활에 장애를 일으키는 정신 질환을 말한다.정형돈 소속사 FNC 엔터테인먼트는 5일 공식입장을 통해 “정형돈이 건강상의 이유로 당분간 방송 활동을 중단하게 됐다”고 밝혔다.소속사는 “정형돈은 오래전부터 앓아왔던 불안장애가 최근 다시 심각해짐을 느꼈다”며 “방송 촬영에 대한 본인의 의지가 강했지만, 소속사는 아티스트의 건강 상태가 그 무엇보다 중요하다고 판단해 본인과 충분한 상의 끝에 휴식을 결정하게 됐다”고 했다.이어 “앞으로 정형돈은 휴식기 동안 건강회복에 집중할 예정”이라며 “소속사 역시 정형돈이 치료에만 전념할 수 있도록 모든 지원을 다 할 것”이라고 했다.이에 따라 정형돈은 현재 출연 중인 채널A ‘금쪽같은 내 새끼’, KBS 2TV ‘퀴즈 위의 아이돌’ 등 프로그램에서 당분간 하차한다.FNC엔터테인먼트 공식입장 전문							안녕하세요. FNC엔터테인먼트입니다.소속 연예인 정형돈씨와 관련한 안타까운 소식을 전해드리게 됐습니다. 정형돈씨가 건강상의 이유로 당분간 방송 활동을 중단하게 됐음을 알려드립니다.정형돈씨는 오래 전부터 앓아왔던 불안장애가 최근 다시 심각해짐을 느꼈습니다. 방송 촬영에 대한 본인의 의지가 강했지만, 소속사는 아티스트의 건강 상태가 그 무엇보다 중요하다고 판단해 본인과 충분한 상의 끝에 휴식을 결정하게 되었습니다.앞으로 정형돈씨는 휴식기 동안 건강회복에 집중할 예정이며, 소속사 역시 정형돈씨가 치료에만 전념할 수 있도록 모든 지원을 다 할 것입니다. 정형돈씨가 치료를 받고 건강한 모습으로 복귀해 여러분께 다시 밝은 웃음을 줄 수 있도록 많은 응원과 격려 부탁드립니다. 감사합니다.[강영수 기자 nomad90@chosun.com] 		▶ 네이버에서 조선일보 받아보기		▶ 조선일보 로그인하고 영화 공짜로 보자! 		▶ ‘메가 온라인 콘퍼런스, ALC’ 지금 등록하세요  
"
"사회공헌 실무자들 ""사업 확신 든다면 돌 맞아도 전진""",2020-01-02 10:02:02,조선일보,None,"
[이코노미조선]



유준규 LOVE FNC 센터장 국민대 행정학과 졸업, FNC엔터테인먼트 CSR팀 실장, 김도영 CSR포럼 대표 숭실대 사회복지행정 박사 과정 수료, 한국비영리학회 이사, SK브로드밴드 사회공헌담당부장, 이상진 하나투어문화재단 디렉터 경희대 관광대학원 문화관광엔터테인먼트학 석사, 하나투어 CR전략본부 총괄팀장, 강철 국민연금공단 사회적가치실현단 상생협력부장 부평계양지사 가입지원부장, 장애인지원실 부장(왼쪽부터)12월 13일 서울 중구에 위치한 SK텔레콤 남산 사옥. 세 남자가 2층 회의실에 모였다. 검정 패딩을 입고 서글서글하게 웃는 강철 국민연금공단 사회적가치실현단 상생협력부장이 먼저 자리를 잡았다. 이후 올린 머리에 말끔한 회색 슈트를 차려입은 유준규 LOVE FNC 센터장이 도착했다. 파마 헤어스타일에 장난기 어린 눈매를 지닌 이상진 하나투어문화재단 디렉터가 마지막으로 들어왔다. 각자 공공기관, 연예기획사, 여행사 소속인 만큼 모두 다른 분위기를 풍겼다.이들을 하나로 모아주는 공통 관심사가 있다. 바로 ‘사회공헌’이다. 강 부장, 유 센터장, 이 디렉터가 각자의 자리에서 사회공헌 사업을 담당한 지 9년, 6년, 10년이다. 이들은 매달 사회공헌 담당자 모임인 CSR포럼에서 사업 비결을 공유한다. 다른 업계에서 모였는데도 항상 시간 가는 줄 모르고 토론을 벌인다고 한다.‘이코노미조선’이 이들을 모아 ‘기업 사회공헌 실무자 좌담회’를 열었다. 대기업의 사회공헌은 주목받지만 중견기업의 사회공헌은 잘 알려지지 않은 경우가 많다. 다양한 업계의 중견기업 담당자에게 실무 노하우를 물었다. 아직 사회공헌 전략을 수립하지 않은 중소기업에 본보기가 될 만한 내용이 많이 나왔다. 좌담회 진행은 CSR포럼의 김도영 대표가 맡았다.◇김도영 CSR포럼 대표(이하 Q) 소속 기업에서 사회공헌 사업을 진행하는 이유는.강철 국민연금공단 상생협력부장 ""공공기관은 윤리경영을 따른다. 경영 평가 목록에 윤리경영 항목이 포함돼 있기도 하다.""유준규 LOVE FNC 센터장 ""기업 오너의 비전이 담겨 있다.""Q 담당 업무는.강철 ""사회공헌, 동반성장, 사회적 경제 등 업무를 담당하고 있다.""유준규·이상진 하나투어문화재단 디렉터 ""기업과 재단 사회공헌 업무를 병행하고 있다.""현재 기업의 사회공헌 형태는 두 가지로 나뉜다. 기업 내부 부서를 만들거나 재단을 만들어서 여기에 기부금 형태로 사업 예산을 출자한다. FNC엔터테인먼트는 2015년 한성호 당시 FNC엔터테인먼트 대표(현 총괄프로듀서)가 사재를 털어 LOVE FNC를 만들었고, 하나투어는 업계 최초로 2017년 하나투어 문화재단을 만들었다. 유 센터장과 이 디렉터도 본사에 있다가 재단으로 적을 옮겼다.Q 기업이 재단을 별도로 만드는 이유는 무엇인가.유준규 ""재단이 생기기 전엔 비영리단체(NPO)와 간접 사업을 같이했다. 직접 사업을 진행해야 연예인 일정을 유동적으로 관리하기 수월하다. 오너의 주문도 있었다. 재단에서 사업을 계획하고 관리해야 기업의 비전을 실현할 수 있다.""이상진 ""사회공헌 사업이 고도화되고 확장성을 가지기 위해선 재단이 필요하다는 내부 판단이 있었다.""Q 사업을 설명해달라.이상진 ""기업 역량을 이용한 사업을 진행한다. 하나투어문화재단의 경우 경제적 이유 등으로 신혼여행을 가지 못한 부부, 보호관찰소 청소년, 다문화 가족, 저소득 가정, 사회복지사 등을 위한 여행 지원 프로그램 ‘희망여행’을 운영하고 있다. 항공·숙소 예약, 여행 콘텐츠 기획까지 모두 우리의 전문 분야다.""강철 ""우리도 본업과 연계한 사회공헌을 시행하고 있다. 공단은 국민연금 가입자, 수급자, 장애인, 지역사회를 대상으로 사업을 추진한다. 가입자 영역으로 국민연금 가입자 가운데 연금을 내기 어려운 취약계층에 무담보, 무보증 대부 사업을 집행한다. 수급자 생활 지원이나 장애인 여행 복지 사업도 있다. 전 국민이 우리 고객이다 보니 지역사회 문제에도 관심이 많다. 지역사회와 협약을 맺고 지역 소멸 문제를 해결하는 연구를 진행하고 있다.""이상진 ""(강 부장의 사회공헌 활동은) 다자간 협력 모델의 좋은 예시다. 우리도 여러 사람, 조직과 협력한다. 유엔의 지속가능개발목표(SDGs)의 하나로 ‘지속가능한 여행’을 지향한다. 자연 생태계가 훼손되고 있는 관광지에서 대책 마련 활동을 시작했다. 지난해 관광지로 유명한 팔라우 공화국에 해양 전문가, 인문학자, 아티스트, 건축가, 해양학 박사, 여행 전문가가 가서 문제점을 모았고, 현재 해결책을 담은 책을 집필하고 있다.""



Q LOVE FNC에서는 어떤 사업을 진행하고 있나.유준규 ""우리 사업도 사업 연계와 다자간 협력 모델을 충족하고 있다. 현대백화점그룹과 함께 문화·예술 지원 사업을 진행하고 있다. 소외계층 아이들에게 랩, 보컬, 댄스를 가르친다. 전문 트레이너를 수급하는 역할을 담당한다. 내년엔 연기 쪽으로도 확장할 예정이다.""국민연금공단, LOVE FNC, 하나투어문화재단 모두 본업과 연계된 사업을 대표적으로 진행하고 있다. 사회공헌의 첫 번째 중요한 지점이다. 김치 담그기, 연탄 나르기, 시설 방문하기와 같은 전형적이고 일회성인 사회공헌 모델은 대중에게도, 기업 내부에서도 외면받는다고 한다. 본업과 시너지 효과를 내는 사업이 중요하다. 한 가지 의아한 점이 생겼다. LOVE FNC는 연예기획사인데도 학교를 짓는다. 신기하게 본업과도 연계가 잘된다고 한다.유준규 ""‘NPO가 학교 짓는데 너네는 왜 지어?’라는 질문을 많이 받는다. 그들의 손길이 미치지 못하는 섬이나 산골짜기 같은 사각지대에 학교를 짓는다. 프로젝트 이름이 ‘스쿨 5025(오병이어)’다. 부르키나파소, 몽골, 미얀마, 캄보디아, 필리핀, 에콰도르에 학교를 지었다.""Q 연예인은 청소년에게 큰 영향을 미친다. 연예기획사가 사회공헌 활동을 하면서 청소년에게 선한 영향을 미칠 것 같다.유준규 ""2018년 남자 밴드 씨엔블루의 이정신 과 걸그룹 AOA의 설현이 미얀마에 있는 학교를 방문했다. 스케줄을 공유하지도 않았는데 주변국 태국과 라오스 팬들이 공항에 마중 나와 있더라. 공항에서 9시간 떨어진 산골짜기 학교에 팬도 따라갔다. 정말 재밌는 점은, 나중에 이 팬들이 그 학교를 후원해준다는 것. 크리스마스엔 햄버거까지 바리바리 싸 들고 갔더라. ‘20만원 모았는데 가도 될까요?’라고 회사로 연락도 온다.""Q 예수가 빵 5개와 물고기 2마리로 5000명을 먹였다는 ‘오병이어의 기적’이 딱 들어맞는 것 같다. 국내에서도 연예인이 사업에 참여하나.유준규 ""연예인들이 봉사에 대한 의지가 있다. 강릉 산불 화재 때도 군 복무 중인 연예인이 전화해서 ‘모금하고 싶은데 어떻게 하면 되나요?’ 하고 묻기도 했다. 할아버지의 손에서 자란 아티스트는 실버 복지에 관심이 많다. 어떤 친구는 아이를 좋아하고. 그래서 연예인이 관심을 가지는 봉사활동을 기획한다. 하지만 ‘반짝’ 관심을 끌 만한 단발성 이벤트는 지양하는 편이다.""



이들에게 사업 노하우를 물었다. 각자 사업 내용은 달라도 노하우는 같았다. ①기업 구성원의 지지 ②의사결정권자 설득 ③사업에 대한 확신이 필요하다는 것이었다. 사회공헌 부서는 돈을 버는 곳이 아니라 쓰는 곳이다. 그만큼 기업 내부에서 이단자 취급을 받기 쉽다. 공보다 과가 부각되는, 칭찬보단 비난받기 쉬운 직무다. 이날 사회를 맡은 김 대표는 ""그만큼 사회공헌 담당자가 전문성을 길러야 한다""면서 ""그래야 사람들을 설득하고 반대를 무릅쓰고 전진할 수 있다""고 했다.Q 사업 노하우를 알려달라.강철 ""기업 구성원의 지지를 받아야 한다. 임원진이 바뀌어도 구성원의 지지를 받는 사업은 살아남는다. 지지받지 못하는 사업은 2~3년이 지나면 힘을 잃어버린다. 그래도 가만히 있지 말고 없어지더라도 한 번 도전해보라. 여러 시행착오를 겪어야 한다.""이상진 ""사업을 지켜나가려면 기업의 의사결정권자의 의지가 중요하다. 의사결정권자가 의지가 없거나 중요도를 이해하지 못하면, 기업의 위기가 오거나 수익성이 떨어지면 사회공헌 부서의 예산을 가장 먼저 줄인다. 지속해서 의사결정권자에게 중요성을 이야기하고 이해관계를 맞추고 설득해야 한다.""Q 실무 과정에서 겪었던 고충을 이야기해달라.이상진 ""아직 사회공헌에 대한 인식의 변화가 뒷받침되지 못하고 있다. 취약계층은 정신적 지원보다 물적 지원이 우선이라는 생각 때문이다. 인간의 물적 변화보다 중요한 지점이 정신적 변화인데 안타깝다. 실제 취약계층 해외여행 지원 사업을 이해하지 못하는 사람이 많다. 아동보호센터에 있는 아이가 사업 대상으로 선정돼 친권자에게 여권을 만들기 위한 동의서에 서명해달라고 했더니 ‘애 머리에 바람 들게 무슨 해외여행이냐?’고 하더라. 처음에는 ‘국내여행에 보내는 방식으로 사업 방향을 선회할까’도 생각했다.""유준규 ""사회공헌 부서는 외롭고 힘들다. 해보니까 가치 있고 맞는 사업이라면, ‘돌 맞고 전진해야 한다’고 생각한다. 맞다고 생각하면 힘들고 외로워도 가는 게 맞다. 주변 사업 사례를 보면 그런 프로젝트는 성공하더라.""이상진 ""맞다. 이 사업도 진행할수록 확신이 들었다. 한 번은 섬 마을에 보호관찰 대상 청소년의 여행을 지원했다. 육지조차 가보지 못했다고 하더라. 보고 자란 세상이 섬이 전부라는 생각이 들었다. 아이들은 세상이 얼마나 넓은지 몰랐고 왜 공부해야 하는지 느낀 경험이 없었다. 해외에 나가서 그들의 눈빛이 변하는 것을 현장에서 느꼈다. 여행이 가진 힘이 있다. 여행하다 보면 왜 이렇게 살아왔는지 집안 사정 등을 털어놓는다. 이렇게 10년 사업을 하니 주례 서달라고 연락 오는 친구도 생겼다.""기업 사회공헌의 딜레마는 ‘진정성’이다. NPO와 달리 사익과 공익을 모두 추구하니 항상 저의를 의심받는다. 인위적이거나 가식적인 사회공헌은 오히려 역풍을 맞기 십상이다.강철 ""기부자 기념사진을 꼭 찍어야 하냐고 비판하는 내부 구성원도 있다. 보여주기식 사회공헌은 문제지만 그렇다고 인센티브가 없어선 안 된다. 돈을 내면 어깨에 힘주게 해줘야 한다. 그런 장치도 없으면 누가 돈을 내겠나. 굳이 삐딱한 시선으로 바라볼 필요가 없다.""김도영 ""기업이 유독 사회공헌 분야에서 ‘오른손이 하는 일을 왼손이 모르게 하라’ 전략을 취하는 경우가 많다. 홍보 없이 좋은 일을 해야 진정성이 느껴진다는 관점 때문이다. 최근 들어 트렌드가 바뀌고 있다. NPO에서 모금 관련 연구를 진행하고 있는데, 사업을 원활히 진행하는 기법 가운데 하나가 ‘기부하는 사람이 만족하는 요소를 만들라’다. 돈 내고 폼 잡고 싶어 하는 사람은 적극적으로 홍보해줘라.""Q 보완이 필요한 부분은.이상진 ""공공기관과 협업이 쉽지 않을 때가 있다. 정성 지표보다 정량 지표를 보기 때문이다. ‘해외여행 한 명 보낼 바에야 국내 여행 다섯 명 보낸다’는 사고도 있고. 해외여행을 보낸다고 하면 포퓰리즘이라고 보는 시선도 있다. 여행 복지 개념이 공공 분야에 자리 잡으면 좋겠다. 새로운 기관이나 기업과 협업을 늘려나가고 싶다.""강철 ""협력 관계를 위해선 기업 간 정보 교환이 중요하다. 담당자들이 자주, 많이 만나면 좋겠다. 또 한국의 어젠다가 수도권에 몰려 있는데 지역 문제에도 관심이 필요하다.""유준규 ""유독 주목받는 NPO만 언론의 스포트라이트를 받는다. 작지만 잘하는 곳을 많이 발굴해서 보여주고 힘을 실어주려는 노력이 있어야 생태계가 활성화될 것 같다.""-더 많은 기사는 이코노미조선에서 볼 수 있습니다. [김유정·김소희 이코노미조선 기자]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"
			'동료 괴롭힘 논란' 지민 AOA 탈퇴, 활동 중단
		",2020.07.05. 오전 9:25,None,None,None
"노홍철, 연예인들 노린 주가조작단에 안 걸린 이유",2023-04-27 15:52:01,조선일보,이가영 기자,"




방송인 노홍철. /뉴스1										금융당국이 외국계 증권사 소시에테제네랄(SG)증권을 통해 하한가 종목이 속출한 이른바 ‘SG증권 사태’의 배경으로 알려진 주가조작 세력에 대한 압수수색에 나섰다. 본격적인 관련자 조사를 앞둔 가운데, 조작 의혹 일당은 골프 레슨 등을 명목으로 다수의 연예인에게 접근한 것으로 드러났다.금융위원회 자본시장조사총괄과는 27일 H투자컨설팅업체의 서울 강남구 사무실과 관계자 명의로 된 업체, 주거지 등에 대한 전방위적인 압수수색을 진행했다.지난 24일부터 하림지주, 다올투자증권 등 8개 종목은 SG증권을 통해 매물이 쏟아지며 주가가 급락했다. 특히 삼천리, 대성홀딩스, 서울가스, 선광 등 4종목은 3일 연속 하루 가격 제한 폭인 30% 하락률을 기록했다. 2015년 6월 하루 가격 제한 폭이 ±30%로 확대된 이후 처음이다.이들 8개 종목의 주가는 작년 4월 이후부터 조금씩 오르다 이달 초까지 1년여간 급등했다. 금융당국은 주가조작 세력이 내부 사고팔기로 주가를 끌어올리는 ‘통정거래’를 통해 일부 종목들의 주가를 상승시킨 정황을 파악했다. 조사에 착수한다는 것을 안 일당들이 급히 종목을 매도하면서 주가가 폭락했을 개연성이 높다고 당국은 보고 있다.이번 사태엔 연예인도 다수 연루된 것으로 드러났다. 주가조작 의혹 일당 중 한 명인 A씨가 서울 강남권에서 골프 아카데미를 운영하며 다수의 연예인에게 접근했다고 한다. A씨는 골프 레슨을 명목으로 연예인들과 친분을 맺고, 투자를 권유한 것으로 알려졌다.A씨가 접근한 이들 중에는 방송인 노홍철도 있었다. 노홍철 소속사 FNC엔터테인먼트는 “투자 제의를 받은 건 맞지만 거절했다”며 “노홍철은 이번 사태와는 관련이 없다”고 밝혔다.SBS에 따르면 노홍철은 A씨에게 골프를 배우던 중 수차례 주식 투자에 대한 권유를 받았다. 노홍철은 A씨가 나이에 비해 씀씀이가 지나치게 크고, 투자 제안을 하는데 의심을 품었다고 한다. 최측근은 “노홍철이 보이는 것보다 꼼꼼하고 현실적인 스타일이라서 그런 유혹에 흔들리지 않았던 것 같다”며 “A씨와는 골프 레슨비로 100만원 가량의 회원권을 끊은 게 전부”라고 했다.



가수 임창정. /뉴스1										앞서 가수 임창정은 주가 조작 세력에 가담했다는 의혹이 불거지자 자신도 피해자라는 입장을 밝혔다. 임창정은 주가조작 세력에 30억원을 투자하고 자신과 아내의 신분증을 맡겨 대리투자 할 수 있도록 했으나 투자금 대부분을 날렸다고 밝혔다.임창정을 믿고 투자했다가 피해를 봤다는 동료 가수 B씨의 주장도 나왔다. B씨는 26일 JTBC에 “임창정을 좋아해 믿고 투자했다”고 했다. B씨는 자신의 계좌 비밀번호도 몰라 주가가 떨어질 때에도 손을 쓸 수 없었다며 “완전히 사기당한 기분”이라고 했다.이번 사태의 여파는 주식 시장 전반에 확산하고 있다. 26일까지 코스피는 5거래일 연속 하락했다. SG증권 사태로 주요 증권사가 신용대출을 중단하는 등의 조치에 나서자 투자심리가 위축됐기 때문이다. 금융감독원도 간담회를 열어 긴급 점검에 나선다. 28일 금융위원회는 증권가 최고경영자(CEO) 간담회를 연다. 서유석 금투협회장과 국내 34개 증권사CEO 또는 고위 임원이 참석할 것으로 알려졌다.
"
"
			'국민MC'까지 건드리는 가세연… ""유재석은 좌편향 연예인, 주가조작 의혹도""
		",2019.12.20. 오전 7:14,None,None,None
