TITLE,DATE,PRESS,REPORTER,CONTENT
"“날라리처럼 살던 나, 바뀌었다”...JYP 수장 박진영, 유튜브서 성경 강의",2022-06-18 6:02,조선일보,김소정 기자,"
										JYP엔터테인먼트를 이끄는 박진영(50)이 성경 세미나 강사로 변신했다. 박진영의 강의는 유튜브에 전체 공개됐다.유튜버 채널명은 ‘첫열매들’. 커버 이미지에는 “첫열매들이 준비한 성경세미나에 당신을 초대합니다”라는 글귀가 적혀 있다. 채널은 2020년 10월에 개설됐다.



성경 세미나 강사로 변신한 JYP 수장 박진영/유튜브 '첫열매들'										첫 영상은 ‘첫열매들 성경 세미나 DAY1. 창조자’라는 이름으로 지난 1월29일에 올라왔다. 17일 기준 성경세미나 영상 12개를 포함해 총 22개의 영상이 게재됐으며, 총 조회수는 158만회다. 모든 영상에는 박진영이 성경 강사로 등장한다.성경 세미나 영상에는 “본 세미나를 보시고, 첫열매들 성경공부 및 교회생활을 함께 하시고 싶은 분들께서는 연락주시면 참여하실 수 있도록 안내드리겠습니다”라며 메일주소가 안내돼 있다. 모든 영상 댓글창은 닫혀 있었다.박진영은 첫 영상에서 “콘서트 몇 만명 앞에서도 안 떨리는데 오늘은 너무 떨린다. 저는 목사님이 아니다. 신학대에서 신학을 배운 적이 없다. 제가 이런데 서도 되는지 모르겠다. 이이레 목사님께서 자꾸 서도 된다고 해서 용기내 섰다”고 밝혔다. 이어 “제가 성경 믿기 전까지는 몇 년 날라리처럼 살았던 적이 있다. 성경을 믿으면서 달라졌다. 착하게 살기 시작했다. 그전에도 불법적인 일을 한 건 아니었는데 날라리처럼 살았다”고 했다.또 그는 “박진영이 이상한 종교에 빠져 있다는 소문이 있는데, 저는 세상에서 종교가 제일 싫다”는 말도 했다. 박진영이 언급한 ‘이상한 종교’는 구원파다.2014년부터 시작된 구원파 신자 의혹							2014년 증권가에서는 박진영과 재혼한 아내가 유병언 전 세모그룹 회장 동생의 딸이라는 루머가 돌았다. 또 구원파 신도들의 불법 자금 중 약 5억원이 JYP로 유입됐다는 말도 나왔다. 구원파는 한국 기독교계에서 이단으로 분류하는 교파 중 하나다.이에 JYP는 보도자료를 내고 “박진영 대표의 부인이 유병언 전 세모그룹 회장의 조카인 것은 맞다”면서도 “박진영은 무교”라며 구원파와 관련이 없음을 밝혔다. 이어 “아무런 근거 없는 회사의 불법 자금 유입설에 대해 단돈 10원이라도 불법적인 자금이 유입된 사실이 없다는 점을 분명히 밝힌다”고 했다.2018년 5월2일 한 매체는 박진영이 서울 역삼동에서 열린 구원파 전도 집회에 참석했다고 보도했다.



박진영이 2018년5월2일 인스타그램에 올린 구원파 신도 의혹 해명 글/박진영 인스타그램										이날 박진영은 인스타그램을 통해 “구원파 집회라고요? 제가 돈 내고 장소를 빌려 제가 가르친 성경공부 집회가 구원파 집회라고요? 100명이 제 강의를 듣기 위해 모였고 그 중에 속칭 ‘구원파’ 몇 분이 제 강의를 들어보고 싶다고 와서 앉아있었다. 이왕 이렇게 된 거, 제 간증문을 올릴테니 꼼꼼히 한 번 봐주세요”라며 간증문을 올렸다.박진영은 2020년 예능프로그램에서도 ‘구원파’ 신자 의혹을 해명했다. 그는 “과거 예루살렘에서 휴대전화, TV 없이 지내다 돌아왔고 친구들의 제안에 함께 성경 공부를 했다. 친구들이 ‘성경이 어려운데 네가 말해주면 이해가 잘 된다’며 가르쳐달라고 했다”며 “그러다가 점점 규모가 커졌고 성경 스터디가 됐다. 그때는 스스로 내가 안 믿어지니 가르치면서도 힘들었다”고 했다.



구원파 신자 의혹 해명하는 박진영/MBC '라디오스타'										2017년부터 믿음이 생겼다는 박진영은 “처음으로 믿음을 가지고 가르치니까 얼마나 신이 났겠냐. 근데 그때 취재가 들어왔다. 내가 어느 조직의 일원으로 활동한다는 보도가 나왔다”고 말했다. 이어 “전혀 아니었다. 나는 지금도 어떤 소속도 종파도 없다. 어느 조직과도 교회와도 연결돼 있지 않다. 우리끼리 하고 있다. 그런데 아무도 아니라는 기사는 써주지 않더라”고 했다.독실한 기독교 신자인 배우 정준이 박진영의 구원파 루머를 대신 해명해 주기도 했다. 정준은 지난 1월 인스타그램에 한 교회에서 진행되는 박진영의 복음 세미나 정보를 공유했다. 한 네티즌이 ‘ㄱㅇㅍ(구원파) 아닌가요?’라고 댓글을 남기자, 정준은 “아니다. 나도 그런 줄 알고 친한 목사님들과 만남도 하고 질문도 했는데 아니다”라고 답글을 남겼다.
"
"김희선·임영웅·영탁 등 산불 성금… 이수만·SM 5억, JYP엔터 3억",2022-03-10 3:01,조선일보,None,"
										경북 울진과 강원 삼척 일대 산불 피해 구호를 위해 연예계에서 기부 행렬이 이어지고 있다.9일 대한적십자사에 따르면 배우 김희선과 가수 영탁은 전날 산불 피해 구호에 써달라며 각각 1억원을 기부했다. 가수 임영웅도 사랑의열매 사회복지공동모금회에 1억원을 기부했다. 이달 결혼을 앞둔 배우 현빈과 손예진은 희망브리지 전국재해구호협회에 2억원을 함께 기부했고, 그룹 방탄소년단(BTS)의 슈가와 배우 정우성·이정재·김우빈도 각각 1억원을 기부했다. 가수 박재범은 5000만원, 아이돌 그룹 NCT의 도영과 방송인 장성규는 3000만을 각각 기부했다.연예기획사들도 기부에 나섰다. SM엔터테인먼트와 이수만 총괄 프로듀서는 희망브리지에 5억원을 기부했고, JYP엔터테인먼트는 월드비전에 3억원을 기부했다.
"
"
			원더걸스 모두 JYP 떠났다… 유빈·혜림도 전속계약 종료
		",2020.01.28. 오후 4:23,None,None,None
"JYP엔터 ""난치병 아이 소원 이뤄주는 기부""… 기부사이트 개설",2020-01-21 17:41,조선일보,None,"
			JYP엔터테인먼트가 백혈병, 뇌종양, 림프종, 소아암 등의 희귀 난치병으로 투병 중인아동들의 소원을 이뤄주기 위한 기부 사이트를 열었다.JYP는 21일 기업의 사회공헌 활동의 일환으로 온라인 기부 창구 ‘JYP_EDM위시’ 홈페이지를 개설했다고 밝혔다. 이 홈페이지는 난치병을 앓는 아동·청소년의 소원을 담은 이야기를 게재해 기부 받는 스토리펀딩 플랫폼이다.



 ‘JYP_EDM위시’ 홈페이지 캡처홈페이지에는 난치병을 앓고 있는 환아들의 소원과 소원을 이루는 데 필요한 비용, 현재까지 모금액과 달성률 등이 공개되고 있다.홈페이지를 통해 모인 후원금은 국제 비영리단체 ‘메이크어위시(MAKE-A-WISH)’ 한국지부에 전달돼 해당 환아가 소원을 이루도록 돕는 데 사용된다. 현재까지 80여명의 인원이 기부에 동참했으며, 3억4500만원이 모여 45명의 아동들이 소원을 성취한 것으로 나타났다.JYP는 지난해 6월 메이크어위시와 사회공헌 협약을 맺고 ‘EDM’(Every Dreams Matters!: 세상 모든 꿈은 소중하다)이란 캐치프레이즈 아래 난치병 환아를 돕고 있다.박진영 JYP 대표는 직접 백혈병을 앓는 환아를 만나 직접 춤·노래를 가르쳤고, 갓세븐 등 소속 가수는 이들을 만나는 게 소원이라던 환아와 가족을 콘서트에 초대하기도 했다.[이나라 인턴기자 newsflash@chosunbiz.com] 	[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 	- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 -
"
"신한카드·JYP엔터, 아이돌팬 기부체크카드 내놔",2020-01-07 3:18,조선일보,None,"
난치병 환아에게 쓰일 예정신한카드는 연예기획사인 JYP엔터테인먼트와 손잡고 'JYP팬즈이디엠(JYP Fan's EDM) 체크카드'를 출시했다고 6일 밝혔다. JYP 소속 아이돌 그룹인 트와이스·갓세븐(GOT7)·데이식스(DAY6)의 아티스트 로고가 새겨진 디자인도 따로 출시된다.이 카드는 이용 금액의 일정 비율이 적립돼 JYP 소속 아이돌과 그 팬클럽 이름으로 기부되는 게 특징이다. 단순히 트와이스 로고가 새겨진 카드를 소장하는 것을 넘어 이용 금액 일부를 트와이스 혹은 트와이스 팬클럽 '원스(ONCE)'의 이름으로 기부할 수 있다. 모인 돈은 국제 비영리단체 메이크어위시(Make a Wish) 한국지부로 전달돼 난치병 환아를 위해 쓰일 예정이다.기부 이외에도 아이돌 팬들에게 쏠쏠한 혜택이 제공된다. 예스24를 통해 팬클럽에 가입하거나 콘서트·공연을 예매한 경우 이용 금액 5%를 캐시백으로 돌려받을 수 있다. JYP가 주최하는 콘서트는 추가 할인 혜택이 제공된다. 음원 스트리밍 사이트 멜론·플로(FLO) 이용액에 대해서도 5% 캐시백을 제공한다.1월 한 달 동안 발급 고객 1만 명에게 각 아이돌 그룹의 미공개 포토카드를, 30명에게 아이돌 친필 사인이 담긴 굿즈를 증정할 예정이다.[최은경 기자 gang@chosun.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"
			JYP ""트와이스 항공 정보 판매책 확인 중… 법적 조치 검토""
		",2020.01.08. 오후 1:09,None,None,None
빌보드 1위만 6곡… 노래로 세계 정복한 ‘한류의 심장’,2022-06-16 3:09,조선일보,None,"
BTS 눈부신 성취… 피·땀·눈물의 9년



2017년 미국 3대 음악 시상식 아메리칸뮤직어워즈에서 공연 중인 BTS. 왼쪽부터 RM, 제이홉, 뷔, 정국, 슈가, 지민, 진. /APF 연합뉴스										꼭 10년 전인 2012년 가수 싸이의 ‘강남스타일’이 세계적 돌풍에도 빌보드 싱글 차트 2위에 그쳤을 때, K팝의 한계가 거기까지로 보였다. 세계에서 가장 인기 있는 노래를 의미하는 ‘빌보드 싱글 1위’는 한국의 몫이 아닌 줄만 알았다.하지만 그런 비관론을 깨끗하게 불식시키고 단숨에 자신감과 낙관론으로 바꿔놓은 아티스트가 바로 방탄소년단(BTS)이다. ‘빌보드 선배’인 가수 싸이가 최근 간담회에서 “BTS와 블랙핑크 등 현재 북미에서 유명한 후배님들은 저와 정반대의 케이스이며 (곡이 아니라) 사람이 떴다. 지속성과 연속성이 길고 굉장히 잘 가고 있다는 생각이 든다”고 말한 것도 이 때문이다. 노래 한 곡이 아니라 아티스트가 인기를 얻을 때 생명력도 길다는 대중음악계의 속성을 간파한 발언이다.



										흥미로운 건 2013년 결성 당시 BTS는 한국 가요계의 중심보다는 변방에 가까웠다는 점이다. 당시 ‘3대 기획사’로 불렸던 SM·JYP·YG엔터테인먼트 출신이 아니라 작곡가이자 프로듀서 방시혁의 빅히트 엔터테인먼트(현재 하이브) 소속이었다. 이 때문에 BTS는 ‘흙수저 아이돌’로도 불렸다. 음악적으로도 초기에는 힙합적 요소가 두드러졌다. ‘케이팝의 시대’를 펴낸 이규탁 한국조지메이슨대 교수는 “데뷔 초기에는 강렬한 비트와 거친 퍼포먼스 등 길거리 힙합적인 요소가 강했다면, 세계 무대에 진출하면서 팝과 리듬앤드블루스(R&amp;B) 등 다양한 조류를 받아들이는 유연성과 변화를 보여줬다”고 평했다.BTS의 눈부신 성과는 미 최고의 인기곡과 음반을 발표하는 빌보드 차트 기록에서도 고스란히 입증된다. 미국 시장에서 먼저 뜬 것은 노래가 아니라 음반이었다. 2018년 정규 3집인 ‘러브 유어셀프 전 티어(Love Yourself 轉 Tear)’로 음반 차트인 ‘빌보드 200′에서 처음 1위에 올랐다. 아이돌 그룹 특성상 음반 판매량 등을 바탕으로 집계하는 ‘빌보드 200′에서 강세를 보이는 건 어쩌면 자연스러웠다. 남은 과제는 ‘빌보드 싱글 차트’ 1위였다.



BTS 팬들의 응원소품 '아미봉'										코로나 사태가 시작됐던 2020년 BTS는 ‘다이너마이트(Dynamite)’로 마지막 남은 고지였던 빌보드 싱글 1위에 마침내 올랐다. 팬데믹의 우울함을 모두 씻어주는 신나는 디스코풍의 첫 영어 가사 노래로 세계 정상을 밟은 것이다. 곧바로 이들은 두 달 뒤에 ‘삶은 계속된다(Life Goes On)’는 한국어 노래로도 빌보드 1위를 탈환했다. “모든 사람들이 힘들고 지쳐있을 때 마음의 위안과 휴식, 극복할 수 있는 용기를 북돋아주는 것이야말로 예술의 치유 능력이다. 그런 의미에서 BTS 역시 또 한번의 성장을 보여줬다”(이규탁 교수)는 평가도 나왔다. 빌보드 싱글 1위 6차례, 음반 1위는 5차례. BTS는 빌보드 차트의 양대 주축인 이 두 부문을 석권한 최초의 한국 가수였다. 지금까지 국내 누적 음반 판매량만 3278만장. 정확한 통계는 없지만 세계적으로는 7250만장에 이른다는 추산도 있다.곧바로 BTS는 미국 대중음악 분야 3대 시상식으로 불리는 빌보드 뮤직 어워즈와 아메리칸 뮤직 어워즈, 그래미 시상식 도전에도 나섰다. 빌보드 뮤직 어워즈에서는 2017년 ‘톱 소셜 아티스트(Top Social Artist)’ 부문 수상을 시작으로 2021년 4관왕, 올해 3관왕까지 6년 연속 수상 기록을 작성했다. 아메리칸 뮤직 어워즈에서도 2018년 ‘페이버리트 소셜 아티스트(Favorite Social Artist)’ 부문 수상을 시작으로 2019년 3관왕, 2020년 2관왕, 2021년 3관왕까지 4년 연속 수상했다.마지막 남은 그래미 시상식은 아직 BTS가 유일하게 등정하지 못한 고지로 꼽힌다. 이들은 2019년 시상자로 참여하며 인연을 맺었고 2021년과 2022년 연속 ‘최고 팝 듀오/그룹 퍼포먼스’ 부문 후보에 올랐지만 수상은 불발됐다. BTS는 2018년과 2020년, 지난해 세 차례 유엔 무대에서 연설했고, 최근에는 조 바이든 미 대통령의 초청으로 백악관을 방문했다. K팝을 넘어서 한류의 상징으로 자리 잡은 것이다. 올해 활동 잠정 중단 선언으로 BTS는 새로운 갈림길에 놓이게 됐다.
"
"
			“JYP처럼 놓치지 마세요”… 황우림, 팀 미션 眞
		",2021.01.09. 오전 3:04,None,None,None
"오뚜기·넥센·안랩·JYP… 60여개 기업, 옵티머스에 당했다",2020-10-18 21:02,조선일보,None,"
투자자 명단 3300건 보니, 상장사 60곳서 5000억 넘는 돈 투자							옵티머스펀드가 오뚜기·넥센·안랩 등 유명 기업들까지 ‘먹잇감’으로 삼은 것으로 확인됐다.18일 본지가 입수한 옵티머스 투자자 명단 자료에 따르면 오뚜기·BGF리테일 등 유가증권시장(코스피) 상장사를 비롯, 60여 상장사가 옵티머스에 5000억원 이상을 넣은 것으로 확인됐다. 이 명단엔 옵티머스가 공공기관 매출채권 펀드를 처음 판매하기 시작한 2017년 6월부터 환매 중단을 선언한 지난 6월까지 3년간 전체 펀드 계약 3300여건이 기록돼 있다.



13일 오전 서울 강남구 옵티머스자산운용 사무실의 문이 닫혀 있다. 국정감사에서 옵티머스 투자 로비 의혹에 대한 여야의 공방이 가열되고 있다./연합뉴스										식품기업 오뚜기는 지난 2·4월 NH투자증권을 통해 150억원을 투자했고, 편의점 CU를 운영하는 BGF리테일은 100억원, 핸드백 제조사 제이에스코퍼레이션은 150억원을 옵티머스에 담았다. 이 외 HDC(65억원), 한일시멘트·홀딩스(50억원) 등이 옵티머스에 투자했다. 코스닥에 상장된 컴퓨터 바이러스 백신 업체 안랩도 70억원을 투자했다.옵티머스펀드는 경영진이 투자금을 빼돌려 5100억원을 상환하지 못하고 있는 상태다. 60여 상장사 중 상당수는 환매 중단으로 투자금을 잃었을 것으로 추정된다.일부는 상반기 실적에 투자 손실을 이미 반영했다. 제약·바이오 코스닥 상장사 에이치엘비는 300억원을 투자했다가 전액을 손실 본 것으로 처리했다. 유명 연예기획사 JYP엔터테인먼트도 NH투자증권을 통해 40억원을 투자했다가 30%(12억원)를 잃었다고 공시했다. LS일렉트릭(옛 LS산전) 자회사 LS메탈은 50억원을 옵티머스에 투자했다가 15억원(30%)을 손실 처리했고 넥센타이어의 모기업 넥센은 투자금 31억원 중 10억원을 평가손실로 반영했다. 드라마 제작사 에이스토리는 90억원을 넣었다가 상반기에만 순손실 96억원을 기록했다.투자자 명단엔 경영계 인사도 다수 등장한다. 강병중 넥센그룹 회장은 작년부터 여섯 차례에 걸쳐 110억원을 넣었고, 허승조 일주학술문화재단 이사장, 구본식 LT그룹 회장 등도 수십억원을 옵티머스에 담았다.한국전력과 마사회, 농어촌공사 등 공공기관은 물론 대학과 노동조합도 거액을 투자했다. 성균관대는 작년 6월부터 지난 2월까지 네 차례에 걸쳐 46억원을 넣었고, 한남대(44억원)·건국대(40억원) 등도 투자 명단에 올랐다. 한국도로공사 노조는 작년 1월 5억원을 투자했다.옵티머스펀드는 ‘안전한 공공기관 매출채권에 투자한다’ ‘연 3% 수익을 준다’며 투자자들을 속여 3년간 1조2000억원을 끌어모았다. 이 과정에서 옵티머스 경영진은 정관계 인맥을 동원해 금융 당국 감시망을 무력화시킨 것으로 의심받고 있다. 현재 이들에 대한 검찰 수사가 진행 중이다.금융투자업계 전문가들은 특정 사모펀드에 대기업 등 상장사 수십 곳과 재계 인사들이 대거 투자한 것을 두고 “영향력 있는 인사가 적극적으로 영업하지 않고선 쉽지 않은 일”이라고 평가한다.오뚜기 등 상당수 기업은 금융감독원 분쟁조정위원회를 거쳐 배상을 추진하고 이마저도 여의치 않으면 법정 소송까지 가겠다는 의사를 밝히고 있다.[최형석 기자 cogito@chosun.com] 		▶ 네이버에서 조선일보 받아보기		▶ 조선일보 로그인하고 영화 공짜로 보자! 		▶ 50년후 개봉하는 타임캡슐에 추억을 담으세요.  
"
마스크 벗고 떼창에… K팝 관련주도 꺄악~,2022-05-09 5:28,조선일보,홍준기 기자,"
석달간 JYP 35%, YG 6% 올라하이브는 7% 하락하며 부진BTS 군입대 여부 불확실성 때문							K팝의 인기와 대면 콘서트 재개에 대한 기대감 속에 최근 3개월 동안 대형 연예기획사들의 주가가 대체로 좋은 흐름을 이어간 것으로 나타났다.8일 한국거래소에 따르면, 지난 2월 7일부터 지난 6일까지 약 3개월간 JYP엔터테인먼트(JYP Ent.)의 주가는 35.1% 올랐다. 같은 기간 와이지엔터테인먼트 주가도 6.3% 올랐다. SM엔터테인먼트(에스엠)의 주가는 1.2% 하락했지만, 같은 기간 코스피가 3.8% 하락한 것을 고려하면 상대적으로 선방한 셈이다. 하이브 주가는 7.3% 하락하는 등 상대적으로 부진한 모습을 보였다.



										우선 코로나 사태에 따른 사회적 거리두기 조치가 대거 완화되면서 오프라인 공연이 재개될 것이라는 점은 모든 연예기획사에 반가운 소식이다. 소속 가수들의 인기도 약세장에서도 주가를 끌어올리는 ‘동력’이 됐다.JYP엔터테인먼트는 기존 소속 가수들이 인기를 얻고 있고, 데뷔 예정인 K팝 그룹에 대한 기대감도 큰 편이다. 삼성증권은 “스트레이키즈와 엔믹스가 선전하고 있고, 트와이스는 데뷔 7년차에도 저력을 과시하고 있다”며 “앞으로 주요 소속 가수들의 월드투어가 본격적으로 진행되는 것도 긍정적인 부분”이라고 했다. 하나금융투자는 “2023년에는 한국·일본·중국·미국에서 총 4개 그룹이 데뷔할 예정인데, 신인 데뷔에 따른 실적 개선에 대한 기대감도 JYP엔터테인먼트가 좋은 주가 흐름을 이어가는 요인”이라고 했다.와이지엔터테인먼트는 앞으로의 수익성 개선에 대한 기대감이 더 큰 편이다. 삼성증권은 “핵심적인 아티스트인 블랙핑크의 컴백과 월드투어, 신인 그룹 데뷔 등으로 올해 하반기에는 상반기 대비 이익 개선 폭이 커질 것”이라고 했다. SM엔터테인먼트도 오프라인 공연이 본격적으로 재개되면 수익성이 개선될 것이라는 평가를 받고 있다. 한국투자증권은 “SM엔터테인먼트는 콘서트 매출 비중이 높고 공연 관련 자회사를 보유한 만큼 오프라인 콘서트 재개가 수익성 개선의 핵심”이라고 했다.대부분 증권사는 “하이브 주가가 최근 부진한 모습을 보이고 있는 것은 방탄소년단(BTS)의 군 입대 여부에 대한 불확실성이 지속되고 있기 때문”이라고 평가했다. 지난해 여야 의원들이 모두 BTS와 같은 대중문화 예술인들도 병역 특례 대상이 될 수 있도록 하는 병역법 개정안을 발의했지만, 이러한 법 개정에 대해 반대 목소리도 커지면서 BTS가 병역 특례 대상이 될 수 있을지는 불확실한 상황이 됐다.하이브의 경우 최근 데뷔한 르세라핌을 시작으로 올해 총 3개 그룹이 데뷔할 전망이다. 한국투자증권은 “BTS가 군 입대하는 상황을 가정하더라도 강력한 신인 모멘텀(상승 동력)을 보유하고 있고, 결국 소속 가수 포트폴리오의 다각화를 통해 성장을 이어나갈 것”이라고 평가했다. 게임·NFT(대체 불가능 토큰) 등으로 사업 영역을 확대하고 있다는 점도 증권가에서 주목하는 부분이다.
"
