TITLE,DATE,PRESS,REPORTER,CONTENT
"양현석, YG 직원들에 호소 ""진실 곧 밝혀질 것""",2019-05-30 14:25,조선일보,None,"
			성접대 의혹에 휘말린 양현석 YG엔터테인먼트 대표가 성접대 의혹을 또 부인했다.



양현석 YG 엔터테인먼트 대표./ OSEN양 대표는 30일 직원들에게 보낸 메일을 통해 ""우선 여러분들께 참으로 미안하다는 말씀을 드려야 할 것 같다""며 ""최근 방송 보도로 인해 걱정을 끼친 점에 대해 면목이 없다. 방송 바로 다음 날이 2년 전 돌아가신 아버님의 기일이라 먼 지방을 다녀와 여유가 없었다""고 했다.이어 ""27일 방송에 나온 의혹들은 전혀 사실이 아니다""며 ""저는 방송사가 제기한 어떤 불법적인 행동이나 여러분들에게 부끄러울 만한 행동을 절대 하지 않았다. 모든 진실은 곧 세상에 밝혀질 거라 생각한다""고 했다.양 대표는 ""YG는 지난 23년간 여러분들의 꿈을 향한 노력과 남다른 창의성으로 꾸준히 성장했다""며 ""저는 그것을 지켜야 할 위치에 있다. 무거운 책임감을 잊지 않고 있다""고 했다.지난 27일 MBC 시사프로그램 ‘스트레이트’는 지난 2014년 7월 양 대표가 서울에서 태국인·말레이시아 재력가 등에게 성접대를 했다는 의혹을 제기한 바 있다.[안별 기자 newsflash@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
YG 성접대 의혹 외국인 재력가는 말레이시아 전 총리 비자금 관리책,2019-05-29 10:54,조선일보,None,"
톱 모델 미란다 커와 교제하기도…할리우드 영화에도 투자조 로우 측 ""MBC 보도에서 제기된 어떤 행동도 하지 않았다""YG엔터테인먼트의 양현석 대표가 성 접대를 한 외국인 재력가로 알려진 조 로우가 성 접대 의혹에 대해 부인했다.29일 말레이시아 일간 더스타와 말레이시아키니 등 현지 언론은 지난 27일 방송된 MBC TV 탐사보도프로그램 '스트레이트'의 YG 양현석 대표 성 접대 의혹을 집중 조명했다. 말레이시아 언론이 이 방송에 관심을 가지는 건 방송에서 성 접대를 받았다고 지목된 외국인 재력가 중 한 명이 현지의 유명 금융업자인 로 택 조(38·일명 조 로우)이기 때문이다.



2018년 4월 말레이시아 쿠알라룸푸르에서 조 로우에 대한 처벌을 요구하는 시위가 열렸다. /연합뉴스조 로우는 나집 라작 전 말레이시아 총리의 측근으로 알려져 있다. 조 로우는 국영투자기업을 통해 45억달러(약 5조3000억원)의 나랏돈을 빼돌려 비자금을 조성한 혐의로 국제형사경찰기구(인터폴)에 수배된 인물이다.조 로우는 나집 전 총리의 의붓아들과 함께 할리우드 영화에 투자하고, 미국에서 부동산과 미술품을 사들이는 수법으로 비자금을 세탁했다. 2014년에는 호주 출신의 톱 모델인 미란다 커와 교제하기도 했다. 미란다 커는 조 로우에게 810만달러 상당의 보석류를 선물로 받았다가 미국 법무부가 조 로우의 자산을 압류할 때 전량 제출하기도 했다.조 로우와 YG의 연결 고리에는 가수 싸이가 등장한다. 2013년 말레이시아 총선 전에 나집 전 총리가 이끌던 정당 연합 국민전선(BN) 행사에 당시 YG 소속이었던 가수 싸이가 등장해 공연을 했는데, 이 때 조 로우가 싸이의 공연에 관여한 것으로 알려졌다. 나집 전 총리는 2018년 5월 총선에서 실각했고 배임과 반부패법 위반, 자금세탁 등 42건의 혐의로 기소된 상태다. 조 로우는 나집 전 총리가 실각하자 잠적했다.조 로우의 대변인은 방송 이후 미국 내 변호사를 통해 공식 입장을 내놨다. 조 로우의 대변인은 ""조 로우는 싸이의 친구이고, 싸이를 통해 양현석을 만났다. 그는 MBC 보도에서 제기된 종류의 어떠한 행동에도 관여하지 않았으며, 알지도 못한다""고 주장했다.[이종현 기자 newsflash@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"YG 양현석에 ""제발 상식대로 살자"" 일침한 男배우",2019-05-29 14:42,조선일보,None,"
			배우 한상진이 최근 성접대 의혹이 불거진 양현석 YG엔터테인먼트 대표를 향해 ""상식대로 살자""고 했다.



배우 한상진. /스포츠조선한상진은 29일 자신의 인스타그램에 양 대표의 성접대 의혹 기사 화면을 캡쳐한 사진을 올리고 ""연예인의 가치, 신념은 사소한 변화로부터 시작되어야 한다""며 ""세상 물 흐리는 몇몇의 안일함이 우리의 시야를 혼탁하게 한다. 제발 상식대로 살자""고 했다.이어 ""이 세상 절대 공짜 선물은 없다""며 ""선물을 준 사람도 받은 사람도 이건 좀 아니다. 혹시 지금 주위에 나의 의도와 다르게 나를 이용하는 사람은 없는지 둘러보기를 바란다""고 했다.한상진은 ""욕망과 허영심은 지금 당장은 달콤할 수 있지만 결국은 자신의 안으로부터 썩어가고 있음을 자각하기를 바란다""며 ""난 안 걸렸으니 괜찮아하는 사람들, 안 걸린 게 아니라 아직 안 걸렸을 뿐""이라고 했다.앞서 지난 27일 MBC 시사프로그램 ‘스트레이트’는 양 대표가 해외 재력가를 상대로 성접대를 했다는 의혹을 제기한 바 있다.[안별 기자 newsflash@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"경찰, 'YG 관리대상' 태국인 재력가 성폭행 의혹 수사",2019-05-28 20:47,조선일보,None,"
			경찰이 YG엔터테인먼트의 관리 대상이라고 지목된 태국인 재력가가 한국인 여성을 성폭행했다는 의혹을 수사 중이라고 28일 밝혔다.



MBC '스트레이트' 캡처경찰에 따르면, 서울 강남경찰서는 MBC TV 탐사보도 프로그램 ‘스트레이트’에서 제기된 클럽 태국인 성폭행 의혹과 관련한 사실관계를 확인하고 있다. ‘스트레이트’는 지난 27일 방송에서 과거 클럽에서 태국인이 준 술 두 잔을 마시고 기억을 잃은 뒤 성폭행을 당했다고 주장하는 여성 A씨의 증언을 공개했다.A씨는 방송에서 ""태국인이 준 위스키 서너잔을 마시고 기억을 잃었다""며 ""이후 태국인에게 성폭행 당했다""고 말했다. 유명한 재력가인 태국인은 YG엔터테인먼트가 2014년부터 관리해 온 인물이라고 방송은 전했다.성폭행 피해자라고 주장하는 A씨는 당시 클럽에 갈 때 YG엔터테인먼트 자회사인 YGX의 임원도 동행했다고 했다. A씨는 ""성폭행 직전 술자리에서 (YGX 이사가) 이 태국인을 챙기는 것 같은 느낌이 있었다""고 말했다.방송은 YG엔터테인먼트가 2014년 7월 이 태국인을 포함해 동남아시아 재력가들을 초대해 2박 3일간 접대했다는 의혹도 제기했다. 당시 접대 자리에는 양현석 YG엔터테인먼트 대표와 YG소속 한류 가수 B씨가 있었다고 전했다.이에 대해 YG 측은 ""당시 (양 대표가) 지인의 초대를 받아 동석한 사실은 있지만, 계산도 하지 않았고 어떠한 접대도 없었다""고 반박했다.[최지희 기자 hee@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"싸이 YG 성접대 연루설에 팬들 ""객관적 시선 부탁""",2019-05-30 9:29,조선일보,None,"
			양현석 YG엔터테인먼트의 성접대 의혹 연루설에 휘말린 싸이의 팬들이 호소문을 발표했다.



양현석(왼쪽) YG엔터테인먼트 대표와 싸이. /조선DB30일 디씨인사이드 싸이 갤러리의 한 네티즌은 호소문을 통해 ""당시 싸이가 어떤 연유로 YG 양 대표에게 말레이시아 재력가 조 로우를 소개했는지는 알 수 없지만 적어도 그의 진심만큼은 믿을 수 있다""며 ""한 번 좌절을 겪은 적이 있는 그가 세계적인 스타로 거듭날 수 있었던 원동력은 어진 성품과 꾸준한 성실성을 두루 갖췄기 때문이다""고 했다.이어 ""국민들께서 조금 더 객관적인 시각에서 넓은 아량으로 이번 사안을 바라봐 주시길 간절히 호소한다""고 덧붙였다.싸이는 지난 29일 입장문을 통해 ""말레이시아 재력가 조 로우를 해외활동을 통해 알게 됐으며, 조 로우와 일행들이 아시아 일정 중 한국에 방문했을 때 그들의 초대로 나와 양현석 형이 참석했다""며 ""식사를 하고 술을 함께한 후 저와 양현석형은 먼저 자리에서 일어났다. 당시로서는 먼나라에서 온 친구와의 자리로만 생각했다""고 밝힌 바 있다.이하 호소문 전문호 소 문""19년간 가수 활동을 하면서 저는 매우 행복하고 정력적이고, 웃음이 넘치는 모습을 사람들에게 보여 줬어요. 무대에서 내려올 때도 같은 방법으로 떠나고 싶어요. '좋은 안녕'(good-bye)을 하는 모습을 사람들에게 보여 주고 싶고, 그러기 위해서는 은퇴하는 그날까지 정말 잘해야겠죠. 그게 앞으로의 제 목표입니다. 유일한 목표죠. 작별할 때까지 정말 잘하고 싶어요."" - 가수 싸이낙락장송[落落長松]이라는 사자성어가 있습니다.가지가 길게 늘어진 키가 큰 소나무로 지조와 절개가 굳은 사람의 표상으로 쓰이는 말입니다.바로 국민 가수 싸이에게 걸맞은 칭호라 할 수 있습니다.당시 싸이가 어떤 연유로 말레이시아 재력가 조 로우를 YG 엔터테인먼트 양현석 대표에게 소개했는지는 알 수 없지만, 적어도 그의 진심만큼은 믿을 수 있습니다.한 번 좌절을 겪은 적이 있는 그가 세계적인 스타로 거듭날 수 있었던 원동력은 어진 성품과 꾸준한 성실성을 두루 갖췄기 때문입니다.그러니 국민들께서 조금 더 객관적인 시각에서 넓은 아량으로 이번 사안을 바라봐 주시길 간절히 호소하는 바입니다.2019. 5. 30.싸이 갤러리 일동[안별 기자 newsflash@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"
			YG ""양현석 성접대 의혹, 사실 아냐...지인 초청으로 동석만""
		",2019.05.27. 오전 10:27,None,None,None
"""YG 접대 재력가들, 여성들에게 500만원대 샤넬백 줘""",2019-05-28 15:11,조선일보,None,"
			양현석 YG엔터테인먼트 대표의 성접대 의혹이 제기된 가운데, 재력가들이 성접대 여성들에게 400만~500만원짜리 샤넬백들도 선물한 것으로 알려졌다.



MBC 시사프로그램 ‘스트레이트’ 예고편. /MBC 캡쳐28일 MBC 라디오 ‘심인보의 시선집중’에서는 YG 성접대 의혹을 취재한 MBC 시사프로그램 ‘스트레이트’의 고은상 취재기자가 등장했다.고 기자에 따르면 복수의 제보자는 성접대 당시의 참석자 면면과 인원수를 구체적으로 기억하고 있었다. 제보자는 ""YG 사람들과 아시아 재력가를 포함해 남성 8명 정도가 식당 가운데 앉아 있었고 그 주변으로 초대된 여성 25명 정도가 있었다""며 ""여성 중 10명 이상은 YG 측과 잘 알고 지내는 일명 정마담이 동원한 화류계 여성들이었던 걸로 알고 있다. 초대된 일반인 가운데 남양유업 창업자의 외손녀 황하나씨도 있었다""고 했다.고 기자에 따르면 정마담은 업소를 운영하면서 여성들을 관리하고 여성들을 투입시키는 걸 잘하는 화류 전문가로 알려졌다. 정계와 재계 쪽에도 끈이 있다고 정평이 난 것으로도 알려졌다.고 기자는 ""제보자에 따르면 성접대가 있었고 재력가 일행들이 그 많은 여성 중에 일부를 선택했고 숙소 등 모종의 장소로 이동했다고 했다""며 ""선택된 여성들이 계속 자리에 이어져서 나왔고 마지막에는 해외재력가들이 가져온 전용기를 타고 같이 출국해 유럽으로 건너가기도 했다. 또 당시 투입됐던 여성들에게 재력가가 식사자리에서 400만~500만원대 샤넬백 명품백을 직접 나눠주고 고맙다는 식으로 말했다""고 했다.이어 ""초반부 10명하고 후반부에 들어왔던 손님들까지 해서 샤넬백을 돌렸다고 제보자는 밝혔다""고 했다.고 기자는 ""양 대표의 말을 듣고 싶어서 YG 홍보 담당에게 연락을 했는데 ‘대표 인터뷰를 하고 싶다’는 문자는 읽었지만 그 이후로는 문자를 읽지 않고 있다""며 ""그러다가 저희 예고가 나가니까 양 대표가 직접 저희 간부를 통해서 연락이 왔다. 이어 해명이 첫날하고 둘째 날 약간 달라졌는데 ‘그 자리에 간 건 자기도 초대를 받아서 간 거다’라고 했다""고 했다.이어 ""저희가 들은 내용들 하나하나씩 거의 두 달 한 달 넘게 확인했다""며 ""99%가 팩트였다. 마지막 쟁점은 성접대 부분인데 그 부분에 대해서 해명이 엇갈리고 있지만 구체적인 장소와 이름 등이 나왔기 때문에 이런 의혹을 자신감 있게 보도할 수 있었다""고 했다.[안별 기자 newsflash@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 -	 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"YG 양현석 성접대 의혹 나와... ""초대 여성만 25명""",2019-05-27 7:28,조선일보,None,"
			MBC 스트레이트가 양현석 YG엔터테인먼트 대표의 성접대 의혹을 담은 예고편을 공개해 파장이 예상된다.



MBC 스트레이트 캡처스트레이트는 26일 ‘추적 YG 양현석, 클럽 성접대 의혹’이라는 제목의 영상을 공개했다. 공개된 영상에는 ‘버닝썬 사태 한 달 전 VIP 테이블 태국인 재력가의 성폭행 사건’이라는 자막과 함께 피해 여성의 인터뷰가 담겼다.마약 피해를 주장하는 한 여성은 ""저한테는 정말 큰 사건이고 정말 죽을 뻔했다""며 ""태국 사람이 준 술이 위스키였다""라고 말했다.그는 태국인 재력가 밥씨와 YG의 자회사인 YDX의 이사 등의 관계를 언급했다. 이 여성은 ""(YGX 이사는) 약간 (태국인 재력가 밥씨를) 챙기는 것 같은 느낌. 뭔가 안내하는 역할""이라고 말했다.스트레이트는 ""2014년 7월 YG가 동남아시아 재력가 2명에게 성접대를 했다는 구체적인 증언을 입수했다""며 ""당시 초대된 여성만 25명 이상으로 클럽에서 술자리가 성접대로 이어졌다""고 전했다.YG 양현석의 성접대 의혹 27일 오후 8시 55분에 방송된다.[안소영 기자 newsflash@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 -	 			[네이버에서 조선일보 받고 경품도 받기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"YG 출신 프라임, 3년 전 댓글 화제 ""접대 지긋해 YG 나와""",2019-05-28 16:14,조선일보,None,"
			양현석 YG엔터테인먼트 대표가 성접대 의혹에 휘말린 가운데, YG 소속 그룹 무가당 출신의 프라임이 3년 전 양 대표에 대해 언급했던 댓글이 재조명을 받고 있다.



프라임. /프라임 인스타그램 캡쳐지난 2016년 프라임(본명 정준형)은 SBS 예능프로그램 ‘꽃놀이패’에 출연하는 유병재를 위해 정규 편성에 힘 썼다는 내용의 기사에 ""내가 계속 밤마다 현석이형 술 접대 했으면 이때쯤 저 자리였겠지""라며 ""난 그 어두운 접대자리가 지긋지긋해서 6년 만에 뛰쳐나와 비포장도로를 택했고 지금이 즐겁다""고 했다. 이후 글이 화제되자 프라임은 해당 댓글을 삭제하며 ""무서워서 지운 게 아니라 기사에 언급된 다른 분에게 미안해서 지운 것""이라고 밝혔다.



프라임이 당시 올렸던 댓글. /온라인 커뮤니티 캡쳐프라임은 ""술 접대를 나간 건 그 자리를 직접 보고 함께 한 수많은 남녀 지인들과 클럽 관계자들이 다 안다""며 ""몇 년 뒤 무가당 멤버가 됐다. 계약하고 스케줄보다 술자리 호출이 많았고 건강 악화까지 이어졌다. 나보다 유명하거나 높은 사람들이 오면 대리기사를 불러 정리하고 아침에 집에 혼자 들어가는 것을 수년간 했다""고 했다.프라임은 2006년 무가당에서 활동하며 양 대표의 부인 이은주와 함께 활동한 바 있다.[안별 기자 newsflash@chosunbiz.com]- Copyrights ⓒ 조선일보 &amp; chosun.com, 무단 전재 및 재배포 금지 - 			[네이버 메인에서 조선일보 받아보기]	[조선닷컴 바로가기]	[조선일보 구독신청하기] 
"
"
			""양현석 성접대 자리, 황하나도 있었다""...YG와 무슨 관계?
		",2019.05.28. 오전 9:15,None,None,None
