TITLE,DATE,
"양현석, YG 직원들에 호소 ""진실 곧 밝혀질 것""",2019-05-30,
YG 성접대 의혹 외국인 재력가는 말레이시아 전 총리 비자금 관리책,2019-05-29,
"YG 양현석에 ""제발 상식대로 살자"" 일침한 男배우",2019-05-29,
"경찰, 'YG 관리대상' 태국인 재력가 성폭행 의혹 수사",2019-05-28,
"싸이 YG 성접대 연루설에 팬들 ""객관적 시선 부탁""",2019-05-30,
"
			YG ""양현석 성접대 의혹, 사실 아냐...지인 초청으로 동석만""
		",2019-05-27,
"""YG 접대 재력가들, 여성들에게 500만원대 샤넬백 줘""",2019-05-28,
"YG 양현석 성접대 의혹 나와... ""초대 여성만 25명""",2019-05-27,
"YG 출신 프라임, 3년 전 댓글 화제 ""접대 지긋해 YG 나와""",2019-05-28,
"
			""양현석 성접대 자리, 황하나도 있었다""...YG와 무슨 관계?
		",2019-05-28,
"양현석 ""YG 6000평 신사옥 7월 완공""…완공 2개월 남아",2019-05-27,
"
			YG 소속 위너 이승훈, 비투비 정일훈 머리 가격 논란 ""정식으로 사과""
		",2019-05-28,
"
			유병재, 매니저 유규선과 YG 동반 퇴사
		",2019-05-21,
"""아이콘도 위너도 안돼""…버닝썬 논란에 대학가 축제 'YG 가수 보이콧'",2019-05-20,
"""버닝썬 시끄러운데 YG 소속 가수를 초대?"" 논란에 명지대 총학 사과",2019-05-14,
"'국세청의 중수부', YG엔터테인먼트 특별세무조사 전격 착수",2019-03-20,
"[아무튼, 주말] '재벌 잡는 칼' 빼든 국세청, 기획사 YG에 100명 투입… 역외탈세까지 전방위 조사",2019-03-30,
양민석 YG 대표 “조사는 성실히”…질문엔 “죄송·모른다·말못해”,2019-03-22,
"[아무튼, 주말] 클럽에서 태어난 제국, 제국에서 추락한 '약국'… 휘청이는 YG",2019-03-23,
승리 스캔들에 YG엔터 이틀새 1337억 증발,2019-03-13,
"양현석, 승리 홍대 클럽 실소유자 의혹… YG '묵묵부답'",2019-03-06,
"[단독]승리 소속사 YG, 새벽에 ‘파쇄차’ 불러 박스 수십개 보냈다",2019-02-28,
"양현석 성접대 의혹...""정마담이 화류계 여성 동원했다""",2019-05-28,
"YG, 승리와 선긋기…""승리가 썼다는 법인카드, 개인이 부담""",2019-04-25,
"[단독] ""승리 동업자, 성접대 시인… 호텔비는 승리가 YG카드로 내""",2019-04-25,
"'YG 효녀들'…블랙핑크, K팝 걸그룹 최초 美빌보드 메인 2주 연속 진입",2019-04-24,
"승리 얼굴 모자이크 처리한 YG, '흔적 지우기' 나서",2019-03-27,
"국세청, YG 특별세무조사 착수… 승리 입영 3개월 연기 허용",2019-03-21,
버닝썬 잠잠하자 강남 클럽 성업…'그알' 방송 틀고 조롱,2019-05-29,
"YG ""승리 은퇴 수용… 전속계약 종료""",2019-03-13,
"YG ""승리, 경찰에 자진 출두해, 마약·버닝썬 의혹 수사 협조""",2019-02-27,
"승리 베트남서 찍힌 '해피벌룬 흡입' 사진 논란...YG ""허위 사실""",2019-02-27,
"YG 양현석 “승리, 사건 당일 클럽 이미 떠나…사임은 軍문제 때문”",2019-01-31,
美 이어 한국 연예계 뒤흔든 라우 텍 조… 말레이시아 5조원대 부패 스캔들 몸통,2019-05-31,
"""日사업가 성접대 전날 어떤 여자들인지 우리가 먼저 보려고…""",2019-05-24,
"
			싸이 2년여만에 컴백...7월 정규 9집 발표
		",2019-05-21,
제니 '솔로' 뮤비 3억 뷰 돌파…한국 여성 솔로로는 최초,2019-05-14,
軍 연기하고 18차례 경찰 출석한 승리의 '승부수'…구속 여부 쟁점은?,2019-05-14,
승리 17번째 소환… 이번엔 버닝썬 자금 횡령 혐의,2019-05-03,
"경찰, '승리 성접대 의혹' 일본 사업가 일행 성매수 확인",2019-05-02,
"
			강성훈 ""요즘 아이돌, 더럽게 못생겼다""...외모 비하 논란
		",2019-05-13,
승리 영장기각에 '힘빠진 경찰'...軍연기 만료시점도 다가와,2019-05-15,
"고준희 측 ""'뉴욕 여배우' 근거 없는 소문에 피해 커""…악플러 12명 고소",2019-05-05,
"블랙핑크, K팝 걸그룹 최초 美 빌보드 메인 차트 3주째 올라",2019-05-01,
"경찰, 승리 구속영장 다음주 신청할 듯…성접대·횡령 혐의 등",2019-05-03,
"경찰 ""강남클럽 VIP 14명  단톡방서 몰카 공유"" 재수사 착수…승리는 이르면 이번주 영장",2019-04-29,
"박진영, 이수만 제치고 ‘연예인 주식부자 1위' 올라…양현석도 '승리여파'에 흔들",2019-04-21,
승리 동업자의 성접대 받은 일본인들도 수사,2019-04-26,
"
			고준희 ""승리 카톡방 속 여배우, 저 아니에요""...'퍼퓸' 하자하고 법적대응 방침 밝혀
		",2019-04-02,
'연예인-경찰 가교 역할' 유리홀딩스 대표 유인석은 누구인가,2019-03-23,
"블랙핑크, 기자간담회 갑자기 취소… ""강원 산불 피해 아픔 공감""",2019-04-05,
엘리엇의 완패… 현대車 주총서 제안 모두 부결,2019-03-23,
"'김학의 사건'에 민주당 ""황교안 수사해야"" vs 한국당 ""채동욱이 수사 책임자""",2019-03-22,
"與 ""황교안 수사"" 野 ""드루킹·문다혜 특검""",2019-03-23,
"승리·정준영·양현석 등 검찰 고발… 시민단체 ""도덕성 결여·공동 책임""",2019-03-16,
"'솔로 복귀' 박봄 ""ADD 투병 중…명백히 마약한 적 없다""",2019-03-13,
"승리 은퇴선언하자, 이젠 ""빅뱅 해체하라""",2019-03-11,
