TITLE,DATE,PRESS,REPORTER,CONTENT
"
			걸그룹 하나 만들기, 30억 든다
		",2022.12.27. 오전 12:30,None,None,None
"
			배용준, 홈페이지 운영 중단에 은퇴설 “박수진과 하와이 거주”
		",2022.11.14. 오후 2:05,None,None,None
"
			SM, 첫 지속가능경영보고서 발간…“최고의 문화콘텐츠 선보이는 것”
		",2022.11.11. 오전 11:46,None,None,None
"
			'스맨파' 첫 탈락에 심사위원 향한 악플…보아 측 ""고소 준비""
		",2022.09.21. 오후 5:40,None,None,None
"
			강타·정유미, 올가을에 결혼?…양측 ""결정된 바 없다""
		",2022.05.27. 오후 3:37,None,None,None
"
			크러쉬·레드벨벳 조이 열애설 인정…“최근 호감 갖고 만나기 시작”
		",2021.08.23. 오전 10:52,None,None,None
"
			크러쉬·레드벨벳 조이 열애설 인정…“최근 호감 갖고 만나기 시작”
		",2021.08.23. 오전 10:52,None,None,None
"
			SM A&amp;R직원, 엑소·보아 곡에 아내 작사가로 몰래 올려…“부적절 업무 징계”
		",2021.05.06. 오후 9:50,None,None,None
"
			SM A&amp;R직원, 엑소·보아 곡에 아내 작사가로 몰래 올려…“부적절 업무 징계”
		",2021.05.06. 오후 9:50,None,None,None
"
			샤이니 태민, 5월 31일 입대한다…“나의 1막 돌이켜보는 느낌”
		",2021.04.20. 오전 10:33,None,None,None
"
			샤이니 태민, 5월 31일 입대한다…“나의 1막 돌이켜보는 느낌”
		",2021.04.20. 오전 10:33,None,None,None
"
			태연, 라비와 열애설 부인 ""친한 선후배 사이""
		",2020.12.27. 오후 1:34,None,None,None
"
			일간지 인턴기자 윤아냐, 서울청 특수팀 형사 설현이냐
		",2020.12.15. 오전 12:03,None,None,None
"
			'김준수 출연' 청원에 KBS ""의사 안밝혔는데 어떻게 섭외해요""
		",2020.12.14. 오후 8:12,None,None,None
"
			tvN '낮과밤' 설현 vs JTBC '허쉬' 윤아, 이번엔 누가 웃을까
		",2020.12.14. 오후 4:41,None,None,None
"
			데뷔 20년 보아 “나훈아 선생님 무대 보고 반성…난 아기더라”
		",2020.12.02. 오전 12:03,None,None,None
"
			데뷔 20주년 '아시아의 별' 보아 '""아직 아기…30주년이 목표""
		",2020.12.01. 오후 4:38,None,None,None
"
			엑소 첸, 득녀 반년 만에 입대 ""더 성장하겠다""
		",2020.10.27. 오전 12:59,None,None,None
"
			아이린 “어리석은 태도와 경솔한 언행으로 상처줬다”…갑질 인정
		",2020.10.22. 오후 10:16,None,None,None
"
			슈퍼엠 “빌보드 1위로 데뷔 부담…어려운 시기 희망 되길”
		",2020.09.25. 오후 1:26,None,None,None
"
			아직도 주말극 황태자로 보이니? ‘악의 꽃’으로 깨어난 김지훈
		",2020.09.19. 오전 10:30,None,None,None
"
			수영·티파니·서현 빼고···소녀시대 멤버 다섯명 SM과 재계약
		",2020.09.08. 오후 3:32,None,None,None
"
			샤이니 온유, 제대 ""좋은 모습으로 찾아뵙겠다""
		",2020.07.20. 오전 11:41,None,None,None
"
			동방신기 최강창민 9월 결혼 “앞으로 인생 함께 하고픈 사람”
		",2020.06.12. 오후 4:51,None,None,None
"
			BTS 정국 등 4명, 이태원 주점갔다 코로나 검사…소속사 사과
		",2020.05.18. 오후 3:32,None,None,None
"
			다음달 결혼하는 이연희, 차기작은 7월 공개될 SF드라마
		",2020.05.15. 오후 6:12,None,None,None
"
			슈퍼엠은 네이버 브이라이브, 트와이스는 유튜브 오리지널, 왜?
		",2020.04.29. 오후 3:58,None,None,None
"
			유노윤호, 마스크 디자인 특허 출원…“음료 섭취 가능”
		",2020.03.26. 오후 7:46,None,None,None
"
			대만계 미국인 엠버, 美 사재기에 ""살아남기 위해 서로 밟지 말자""
		",2020.03.18. 오전 1:05,None,None,None
"
			'결혼 발표' 엑소 첸 탈퇴 요구에…SM ""멤버 변동 없다""
		",2020.02.20. 오후 6:49,None,None,None
"
			강타·정유미, 열애 인정…SM “좋은 감정갖고 만나고 있다”
		",2020.02.04. 오전 10:26,None,None,None
"
			엑소 첸 결혼 “소중한 인연 만나…결혼식은 비공개”
		",2020.01.13. 오후 3:31,None,None,None
"
			엑소 첸 결혼 “소중한 인연 만나…결혼식은 비공개”
		",2020.01.13. 오후 3:31,None,None,None
