TITLE,DATE,PRESS,REPORTER,CONTENT
"
			블랙핑크 로제, 16살 연상 배우 강동원과 열애설…YG는 ""사실 아니다""
		",2023.04.17. 오후 5:48,None,None,None
"
			송민호, 오늘 육군훈련소 입소…“사회복무요원 대체 복무”
		",2023.03.24. 오후 1:46,None,None,None
"
			블랙핑크 리사, 성북동 75억 주택 주인 됐다…롯데 전무 살던 집
		",2023.02.01. 오후 8:43,None,None,None
"
			박보검, YG 아닌 더블랙레이블과 계약…테디 손잡았다
		",2023.01.30. 오전 8:51,None,None,None
"
			YG “이찬혁·이새롬 열애설? 아티스트 사생활…확인 어렵다”
		",2022.10.20. 오후 2:32,None,None,None
"
			블랙핑크 “빌보드 1위, 팬들이 만들어 준 영광의 순간…기쁜 마음”
		",2022.09.26. 오후 12:10,None,None,None
"
			뷔·제니 열애설 또 불지핀 사진 한장…소속사는 이번에도 침묵
		",2022.08.24. 오후 2:35,None,None,None
"
			BTS 뷔·블핑 제니 열애설, 제주서 데이트? 소속사는 말이 없다
		",2022.05.23. 오후 8:03,None,None,None
"
			'4년 만의 컴백' 빅뱅, 다음달 5일 신곡 발표…승리 탈퇴 후 첫 신곡
		",2022.03.21. 오후 1:11,None,None,None
"
			넥슨, YG·네이버 등 5개사 손잡고 만든 YN C&amp;S에 150억 투자
		",2022.01.24. 오전 11:39,None,None,None
"
			'활동 끊고 가정 충실' 2년···빅뱅 태양·민효린 득남, 부모 됐다
		",2021.12.06. 오후 6:51,None,None,None
"
			""커플 팔찌"" 블랙핑크 지수-손흥민 열애설에…YG ""사실무근""
		",2021.10.10. 오전 10:15,None,None,None
"
			26살 아이콘 바비, 아빠 됐다…깜짝 결혼 발표 뒤 ""아들 얻어""
		",2021.09.27. 오후 5:17,None,None,None
"
			CL “여성 참가자 처음 나온다 해서 출연 결심”
		",2021.07.14. 오전 12:02,None,None,None
"
			‘슈퍼밴드 2’ 씨엘 ""밴드 음악 듣고 자라..여성 참가자들 응원”
		",2021.07.13. 오후 1:23,None,None,None
"
			젝키 장수원 결혼소식 전해 “평생 함께 하고픈 사람 만났다”
		",2021.06.12. 오전 10:41,None,None,None
"
			지누션 지누, 임사라 변호사와 재혼…2세 소식도
		",2021.03.25. 오전 7:25,None,None,None
"
			싸이 ‘강남스타일’ 뮤비, 한국 가수 최초 유튜브 40억뷰 돌파
		",2021.03.07. 오후 2:15,None,None,None
"
			첫 솔로 출격한 '악뮤' 이수현 ""당신도 에일리언일지 몰라요""
		",2020.10.17. 오전 9:00,None,None,None
"
			첫 솔로 출격한 '악뮤' 이수현 ""당신도 에일리언일지 몰라요""
		",2020.10.17. 오전 9:00,None,None,None
"
			밀리언셀러 예약 블랙핑크 “누구나 좌절 경험…다시 일어나길”
		",2020.10.02. 오후 4:39,None,None,None
"
			밀리언셀러 예약 블랙핑크 “누구나 좌절 경험…다시 일어나길”
		",2020.10.02. 오후 4:39,None,None,None
"
			‘뚜두뚜두’ 이어 또…블랙핑크 ‘킬 디스 러브’ 뮤비 10억 뷰
		",2020.09.02. 오후 4:04,None,None,None
"
			‘뚜두뚜두’ 이어 또…블랙핑크 ‘킬 디스 러브’ 뮤비 10억 뷰
		",2020.09.02. 오후 4:04,None,None,None
"
			블랙핑크, 유튜브 구독자 4400만 세계 4위
		",2020.08.18. 오전 12:06,None,None,None
"
			블랙핑크, 유튜브 구독자 4400만 세계 4위
		",2020.08.18. 오전 12:06,None,None,None
"
			블랙핑크, 21년차 에미넴도 넘어섰다…유튜브 구독자 4400만명 돌파
		",2020.08.17. 오후 3:14,None,None,None
"
			블랙핑크, 21년차 에미넴도 넘어섰다…유튜브 구독자 4400만명 돌파
		",2020.08.17. 오후 3:14,None,None,None
"
			블랙핑크 제니 '솔로(SOLO)' 뮤비 유튜브 5억뷰…'유튜브 퀸' 입증
		",2020.07.28. 오전 9:05,None,None,None
"
			블랙핑크, 유튜브 구독자 4320만명…전 세계 여성 아티스트 1위
		",2020.07.24. 오전 11:54,None,None,None
"
			YG “아이콘 구준회·김진환, 경미한 부상…음주운전자 엄중 조치할 것”
		",2020.07.14. 오전 10:47,None,None,None
"
			앨범 힘 못써도 BTS 제쳤다…'유튜브 최강자' 블랙핑크 전략
		",2020.06.30. 오후 4:51,None,None,None
"
			김희애, 가장 기억에 남은 장면…“지선우 인생 중 큰 사건”
		",2020.05.17. 오후 1:29,None,None,None
"
			자칭 ""노산 아이콘""이라던 최지우, 45세에 건강하게 득녀
		",2020.05.16. 오후 2:33,None,None,None
"
			송민호, 강원도 양양 클럽 공연에…YG ""개인적 여행, 주의 당부""
		",2020.05.12. 오후 4:09,None,None,None
"
			YG, 빅뱅과 재계약…“올해 컴백 준비 전폭적 지원 나설 것”
		",2020.03.11. 오전 9:34,None,None,None
"
			YG 신인그룹 트레저, 12인조로 개편해 곧 정식 데뷔
		",2020.01.06. 오전 10:31,None,None,None
"
			이하이, YG와 전속계약 종료…“좋은 소식으로 인사드리겠다”
		",2019.12.31. 오후 7:31,None,None,None
"
			“최지우 내년 5월 엄마된다…행복하게 태교 전념”
		",2019.12.23. 오후 3:34,None,None,None
"
			공민지 ""수익금 1원도 배분받지 못해""…소속사와 법적 공방 예고
		",2019.12.04. 오후 7:43,None,None,None
"
			블랙핑크 ‘뚜두뚜두’ 뮤비 10억뷰 돌파…K팝 그룹 최초
		",2019.11.11. 오후 8:44,None,None,None
"
			씨엘, YG와 전속계약 종료…YG “각별한 마음으로 응원하겠다”
		",2019.11.08. 오후 4:19,None,None,None
"
			빅뱅 태양·대성 제대…YG “전역 장소 용인으로 변경”
		",2019.11.04. 오후 12:35,None,None,None
"
			지드래곤, 철원 아닌 용인서 전역한다…돼지 열병 탓
		",2019.10.25. 오후 6:25,None,None,None
"
			빅뱅 멤버 연달아 전역…YG ""돼지열병 지역인 부대 방문 자제 권고""
		",2019.10.23. 오후 1:13,None,None,None
"
			빅뱅 지드래곤 26일 전역한다…향후 행보에 관심
		",2019.10.20. 오후 5:31,None,None,None
"
			악동뮤지션 이수현 ""아직 중졸…그 길 안 가도 되는 사람 있는 듯""
		",2019.10.08. 오후 11:44,None,None,None
"
			YG 떠나라는 팬들 요청에 악동뮤지션의 대답은
		",2019.09.26. 오전 7:57,None,None,None
"
			팀 탈퇴 비아이 “겁나서 못했다” 해명…YG “계약 해지”
		",2019.06.12. 오후 5:32,None,None,None
"대마 혐의' 빅뱅 탑, 이정재가 꽂았다? 오겜2 캐스팅 논란",2023-06-30 7:54,중앙일보,현예슬 기자,"
  



드라마 '오징어게임'에서 성기훈 역을 맡은 배우 이정재. 연합뉴스       배우 이정재 측이 넷플릭스 드라마 '오징어 게임' 시즌2에 합류한 빅뱅 출신 최승현(탑)의 캐스팅에 관여했다는 의혹에 대해 ""사실이 아니다""라고 반박했다.       이정재의 소속사 아티스트컴퍼니는 29일 ""이정재 배우가 '오징어 게임 2' 캐스팅에 관여했다는 일부 보도는 사실이 아니다""라는 입장을 밝혔다.       이어 ""작품의 캐스팅은 감독님과 제작사의 권한""이라며 ""특히 이정재 배우는 '오징어 게임 2'에 대한 많은 관심으로 많은 배우분이 출연을 위해 노력하고 오디션을 통해 결정된다는 점을 누구보다 알고 있다""고 덧붙였다.       이같은 의혹은 같은 날 오전 넷플릭스가 '오징어 게임' 시즌2 추가 출연진을 발표하면서 불거졌다. 출연진 중에는 빅뱅 출신인 최승현도 포함됐다.       



넷플릭스가 29일 '오징어 게임' 시즌2 추가 출연진을 공식 발표했다. 사진 넷플릭스 인스타그램 캡처       이를 두고 연예매체 디스패치는 평소 친분이 두터운 이정재가 최승현이 재기할 수 있게 '동생 구하기'에 나섰다고 보도했다. 이에 이정재 측은 곧바로 해명에 나선 것이다.       한편 최승현은 지난 2016년 10월 자택에서 대마초를 흡연한 혐의로 징역 10월, 집행유예 2년을 선고받은 바 있다.      당시 그는 네티즌들이 ""자숙해라. 복귀하지 말라""는 댓글을 달자 ""네. 저도 할 생각 없습니다. 동물 사진이나 보세요""라고 답글을 달았다. 또 라이브 방송을 통해서도 ""한국에서 컴백은 안 할 것이고, 컴백 자체를 안 하고 싶다""고 사실상 은퇴 의사를 밝혔다.      지난달에는 ""빅뱅을 떠났나""라는 댓글에 ""나는 이미 탈퇴한다고 얘기했다. 지난해부터 난 내 인생의 새 챕터를 마주하고 있다""고 답했다. 지난 2월 YG엔터테인먼트와 전속계약이 만료됐다.  
"
