TITLE,DATE,PRESS,REPORTER,CONTENT
"""배우 서신애도 당했다""···수진, 학폭 논란 6개월만에 탈퇴 [전문]",2021-08-14 20:53:07,중앙일보,고석현 기자,"
  



그룹 (여자)아이들 수진. 뉴스1       '학교폭력'(학폭) 의혹으로 논란을 빚은 아이돌 그룹 '(여자)아이들' 멤버 서수진이 팀을 탈퇴한다.      14일 소속사 큐브엔터테인먼트 측은 ""서수진에 관련된 논란으로 심려를 끼쳐드린 점 고개 숙여 사과드린다""며 ""금일부로 서수진의 팀 탈퇴를 결정했다""고 밝혔다. 그러면서 ""향후 (여자)아이들은 5인 체제로 활동을 이어나갈 예정""이라며 ""더욱 성숙한 음악과 무대를 보여드릴 수 있도록 변함없는 지원과 최선의 노력을 다하겠다""고 덧붙였다.      한편 서수진의 학폭 주장은 지난 2월 SNS를 통해 처음 제기됐다. 네티즌 A씨는 ""서수진이 (중학생 시절) 화장실에 제 동생과 동생 친구를 불러다가 서로 뺨을 때리게 했다. '이제부터 ○○○ 왕따'라는 단체문자를 돌리기도 했다""며 ""내 동생의 돈을 뺏어가고 괴롭힌 애가 아이돌이 돼서 TV에 뻔뻔하게 얼굴들고 나온다""고 주장했다.      뒤 이은 폭로에서 A씨는 ""나쁜 일을 한 사람은 꼭 돌려받는다고 생각했다""며 ""하지만 저렇게 연예인이 돼서 저의 학창시절은 망쳐놓고, 아무 것도 모르는 팬들에게 둘러싸여 수줍고 착한 이미지로 활동하는 것이 괴롭고 고통스러웠다""고 주장했다. 또 배우 서신애도 자신의 동생과 함께 서수진에게 피해를 당했다고도 했다.      



배우 서신애. 권혁재 사진전문기자       이 주장이 나온 뒤 배우 서신애는 명확하게 피해자임을 밝히진 않았지만, 자신의 인스타그램에 ""변명은 필요없다(None of your excuse)""는 문구를 올려 관심을 끌었다. 또 미국 가수 빌리 아일리시(Billie Eilish)의 노래 '데어포 아이 앰(Therefore I Am)' 재생 화면을 캡처해 게재했는데, 해당 곡에는 ""난 네 친구도 무엇도 아니야"" ""네 입에 내 예쁜 이름 올리지마"" 등의 가사가 담겨있었다.      소속사 측은 당초 ""서신애 소속사로 연락을 해도 돌아오는 대답은 없었다""며 학폭 의혹을 부인하며 A씨를 모욕·명예훼손 혐의로 경찰에 고소장을 접수하기도 했지만, 학폭의혹 6개월 만에 결국 이날 서수진이 팀을 탈퇴하는 것으로 사건이 일단락됐다.     소속사 입장 전문 큐브엔터테인먼트입니다.   먼저, 당사 소속 서수진에 관련된 논란으로 심려를 끼쳐드린 점 고개 숙여 사과드립니다.    당사는 금일부로 서수진의 팀 탈퇴를 결정했음을 알려드립니다.    향후 (여자)아이들은 5인 체제로 활동을 이어나갈 예정이며, 당사는 (여자)아이들이 더욱 성숙한 음악과 무대를 보여드릴 수 있도록 변함없는 지원과 최선의 노력을 다하겠습니다.    감사합니다.  
"
"'학폭 논란' 수진 ""나는 안 괴롭혀···서신애 명확하게 밝혀라""",2021-03-20 11:14:21,중앙일보,이해준 기자,"
  



걸그룹 (여자)아이들 멤버 수진. [큐브엔터테인먼트 제공]           걸그룹 (여자)아이들 수진이 중학교 시절 동급생이었던 배우 서신애를 괴롭혔다는 의혹을 다시 한번 부인했다. 수진은 ""서신애가 명확한 입장을 밝혀주기를 강력히 요청한다""고 말했다.      수진은 19일 오후 팬 커뮤니티를 통해 ""(학교 폭력 의혹과 관련된) 입장을 밝힐 때마다 서신애는 타이밍 맞춰 (소셜미디어에) 글을 올렸고, 많은 사람이 내가 서신애에게 폭력을 가했다고 오해하게 됐다""며 밝혔다.      그는 ""소속사인 큐브엔터테인먼트 측에서 서신애의 소속사로 연락해도 돌아오는 대답은 없었다""며 ""학창 시절 어떠한 괴롭힘도, 뒤에서 욕을 한 적도 없다""고 주장했다.      지난달 한 누리꾼은 자신의 친동생이 과거 수진에게 폭력을 당했다면서 서신애 역시 수진으로부터 괴롭힘을 당했다고 주장하는 글을 온라인에 게재했다.      수진 측은 모두 사실이 아니라고 입장을 발표하자 서신애는 자신의 소셜미디어에 ""None of your excuse""(변명할 필요 없다)라는 게시글을 올렸다.      



수진의 학폭 논란에 피해자로 알려진 배우 서신애. 일간스포츠           소속사가 수진의 활동 중단을 알리자 지난 4일에도 서신애는 ""그대들의 찬란한 봄은 나에게 시린 겨울이었고 혹독하게 긴 밤이었다""는 글을 올렸다.      수진은 이날 올린 글을 통해 그동안 자신을 두고 제기된 다른 학교 폭력 의혹에 대해서도 조목조목 반박했으며 소속사도 수진의 학교폭력 가해를 주장한 글 게시자와 악플러 등을 허위사실 유포 혐의 등으로 고소했다.      지난 17일에는 수진의 동창이라고 주장하는 누리꾼 A씨가 수진의 행동을 목격했다며 ""(수진의) 잡아떼는 태도에 화가 나서 고민 끝에 증언하기로 결심했다""고 학폭 의혹을 또다시 제기했다. A씨는수진이 일진이었으며, 피해자와 단순히 다툰 것이 아니라 수진이 피해자를 은근히 따돌렸고, 두 사람은 친구 관계로 보기 어려웠다고 주장했다. 또한 1학년 2학기 말 수진을 포함한 무리의 친구들에 대한 '비공식 학폭위'도 열렸다고 주장했다.        이에 소속사 큐브엔터테인먼트(이하 큐브) 측은 ""피해자라고 주장하는 이들의 일방적인 이야기로 사실이 아니다""라며 ""무분별한 허위사실 유포에 대해서는 법적으로 대응할 것이며 곧 공식입장 밝히도록 하겠다""라고 입장을 밝혔다.      이해준 기자 lee.hayjune@joongang.co.kr   ▶ 소름돋게 잘 맞는 초간단 정치성향테스트▶ 넌 뉴스를 찾아봐? 난 뉴스가 찾아와!▶ 당신이 궁금한 코로나, 여기 다 있습니다ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지
		"
"
			'학폭 의혹' (여자)아이들 수진, 큐브 떠난다…전속계약 해지
		",2022.03.05. 오후 4:15,None,None,None
"
			펜타곤 홍석, 군입대 7개월 만에 의병 전역 “공황장애 악화”
		",2022.12.26. 오후 11:09,None,None,None
"
			""결혼해줘"" 커플링 자랑했는데…가수 현아·던, 7년만에 결별
		",2022.11.30. 오후 7:32,None,None,None
"‘슈룹’ 13명 왕자, 누가 시청자 마음 빼앗을 상인가",2022-11-23 00:02:00,중앙일보,민경원 기자,"
  



드라마 ‘슈룹’에서 왕세자 자리를 놓고 경합을 벌이는 무안대군(윤상현), 일영대군(박하준), 계성대군(유선호), 성남대군(문상민). [사진 tvN]           tvN 토일드라마 ‘슈룹’의 왕자 대결이 뜨겁다. 중전(김혜수)의 장남(배인혁)인 세자가 죽고 택현(擇賢·어진 사람을 뽑음)으로 새로운 세자를 책봉하기 위한 경합을 마쳤지만, 13명 왕자들의 매력 대결은 계속해서 이어지고 있다. 1회 7.6%(닐슨코리아)로 시작한 드라마 시청률은 12회 13.4%까지 오르며 왕자를 연기한 배우들이 차세대 스타로 눈도장을 확실하게 찍었다는 평이다.      가장 눈에 띄는 인물은 왕세자 최종 후보에 오른 성남대군·보검군·의성군이다. 중전의 차남 성남대군은 태어나기 전부터 왕의 친자가 아니라는 소문에 휘말려 어린 시절을 성 밖에서 보낸 애물단지 신세였지만 형의 죽음 이후 단단하게 거듭나 세자 자리를 차지한다. 공희정 드라마평론가는 성남대군 역의 문상민(22)에 대해 “처음에는 다소 밋밋했는데 위기에 처할 때마다 새로운 면모를 하나씩 끄집어내면서 배우로서 성장하고 있는 모습이 돋보인다”며 “정적의 딸인 세자빈(오예주)을 맞이해 보여줄 로맨스도 기대된다”고 말했다.      제작진은 특정 역할에 배우들이 지원하는 형식이 아닌 모든 가능성을 열어둔 상태로 오디션을 진행했다. 김형식 PD는 “10~20대 남자 배우들을 대상으로 여러 차례 오디션을 봤다. 문상민은 다른 작품 스케줄로 계속 미팅을 못 하다가 마지막 오디션에 참여했는데 키도 크고 잘 생긴 친구여서 첫인상이 강렬했다. 여자 스태프들의 술렁이는 반응을 보고 캐스팅을 결심했다”고 밝혔다. 190㎝ 키의 문상민은 모델로 경력을 시작해 2019년 플레이리스트 웹드라마 ‘크리스마스가 싫은 네 가지 이유’로 데뷔했고, 넷플릭스 ‘마이 네임’ 등에 출연했다.      보검군 역의 김민기(20)는 중궁전 시녀 출신인 태소용(김가은)의 아들이지만 종학(宗學·조선시대 왕족 교육 기관) 1등을 놓치지 않는 영특함과 주변에 흔들리지 않는 올곧음을 잘 표현해냈다. 2020년 tvN D 웹드라마 ‘언어의 온도’로 데뷔한 이후 tvN ‘여신강림’, SBS ‘라켓소년단’, KBS1 ‘태종 이방원’ 등 다양한 작품에 출연하면서 다져온 기본기가 빛을 발했다. 김 PD는 “김민기는 오디션에서 어떤 배역을 요청하든 훌륭하게 연기했다”고 말했다. 공희정 평론가는 “예전에는 신인 배우들이 일일드라마나 주말 연속극을 통해 선배들에게 연기 지도를 받았다면, 요즘은 웹드라마에서 또래 배우들과 먼저 호흡을 맞추고 그 중 눈에 띄면 OTT나 TV 드라마로 넘어오는 추세”라고 분석했다.      악역 의성군 역 강찬희(22)의 연기 변신도 주목할 만하다. 2016년 아이돌 그룹 SF9으로 이름을 알렸지만, 2009년 MBC ‘선덕여왕’ 등 아역 배우로 연기를 먼저 시작했다. 김 PD는 “JTBC ‘SKY캐슬’에서 모범생 황우주 연기를 인상 깊게 봐서 정반대인 의성군 역을 제안했다”고 밝혔다. 강찬희는 “궁중에서 자기 자리를 빼앗긴 열등감 등 억눌려있는 게 많은 캐릭터라 도전해보고 싶었다”며 “정통 사극 속 악역보다는 현대물에 기반을 둔 얄밉고 교활한 모습이 엿보이도록 캐릭터를 만들어나갔다”고 말했다.      왕세자 대결에서는 밀렸지만 중전의 4남인 계성대군 역의 유선호(20)도 강렬한 인상을 남겼다. “껍데기만 남자일 뿐 속에 여인을 품었다”는 황귀인(옥자연)의 고발처럼 조선 시대 궁궐에서 허락받지 못할 성 정체성을 지녔지만 부드러우면서도 기품있는 연기로 서사를 확실하게 챙겼다. 유선호는 2017년 ‘프로듀스 101’ 시즌2에서 큐브엔터테인먼트 소속 연습생으로 연예계 생활을 시작했다.      이밖에 중전의 3남 무안대군 역의 윤상현(20)은 연기 경험이 전무한 신인이고, 세자 역 배인혁(24)은 현재 SBS 월화드라마 ‘치얼업’에서 연희대 응원단장으로 활약 중인 4년차 배우다. 중전의 5남인 일영대군 역의 박하준(16)과 옥숙원(이화겸)의 아들 호동군 역의 홍재민(9)에 대해 김 PD는 “앳되고 사랑스러운 면모로 현장에서도 귀여움을 받았다”고 전했다.      정덕현 대중문화평론가는 “‘슈룹’은 중전 김혜수가 원톱으로 끌고 가는 드라마인데 왕자들이 기대 이상의 연기를 보여주면서 그들의 차기작이 주목된다”며 “KBS2 ‘성균관 스캔들’(2010)의 송중기와 유아인, ‘화랑’(2016~2017)의 박형식과 김태형처럼 새로운 스타가 탄생하기 좋은 포맷”이라고 말했다. 김 PD는 “제가 ‘마이 네임’의 문상민, ‘라켓소년단’의 김민기, JTBC ‘언더커버’의 유선호 등을 인상 깊게 본 것처럼 다른 감독들도 ‘슈룹’에서 이들의 연기를 눈여겨보고 다음 캐스팅까지 이어질 수 있으면 좋겠다”고 말했다.  
"
13명 왕자 뜨거운 대결…'슈룹' 누가 시청자 마음 뺏을 상인가,2022-11-22 11:09:04,중앙일보,민경원 기자,"
  



드라마 '슈룹'에서 왕세자 자리를 두고 경합을 벌이는 왕자들. 사진 tvN           tvN 토일드라마 ‘슈룹’의 왕자 대결이 뜨겁다. 중전(김혜수)의 장남(배인혁)인 세자가 죽고 택현(擇賢·어진 사람을 뽑음)으로 새로운 세자를 책봉하기 위한 경합을 마쳤지만, 왕자만 13명에 달하는 만큼 이들의 매력 대결이 계속해서 이어지고 있는 것. 1차로 체력 확인을 위한 달리기와 활쏘기, 2차 어사 신분으로 설정된 인물을 찾아 궁에 데려오기, 3차로 성균관 유생 투표에 이르기까지 다양한 미션이 주어지면서 이를 차례로 해결해나가는 모습이 오디션 프로그램을 방불케 한다. 덕분에 1회 7.6%(닐슨코리아)로 시작한 드라마 시청률은 12회 13.4%까지 오르며 왕자를 연기한 배우들이 차세대 스타로 눈도장을 확실하게 찍었다는 평이다.      ━   “스태프 술렁임 보고 성남대군 낙점”      



드라마 '슈룹'에서 성남대군 역을 맡은 배우 문상민. 사진 tvN            가장 눈에 띄는 것은 최종 관문까지 오른 성남대군ㆍ보검군ㆍ의성군이다. 중전의 차남인 성남대군 역의 문상민(22)은 태어나기 전부터 왕의 친자가 아니라는 소문에 휘말려 어린 시절을 성 밖에서 보낸 애물단지 신세였지만 형의 죽음 이후 단단하게 거듭나 세자 자리를 차지하면서 시선을 사로잡았다. 공희정 드라마평론가는 “처음에는 다소 밋밋했는데 위기에 처할 때마다 새로운 면모를 하나씩 끄집어내면서 배우로서 성장하고 있는 모습이 돋보인다”며 “호감은 있지만 정적의 딸인 세자빈(오예주)을 맞이해 보여줄 로맨스도 기대된다”고 말했다.        제작진은 특정 역할에 배우들이 지원하는 형식이 아닌 모든 가능성을 열어둔 상태로 오디션을 진행했다. 김형식 PD는 “10~20대 남자 배우들을 대상으로 여러 차례 오디션을 봤다. 문상민은 다른 작품 스케줄로 계속 미팅을 못 하다가 마지막 오디션에 참여했는데 키도 크고 잘 생긴 친구여서 첫인상이 강렬했다. 여자 스태프들의 술렁이는 반응을 보고 캐스팅을 결심했다”고 밝혔다. 문상민은 “캐릭터마다 매력이 달랐기 때문에 자연스러운 연기를 보여주기 위해 노력했다”고 말했다. 190cm 키에 훤칠한 외모를 자랑하는 문상민은 모델로 경력을 시작해 2019년 플레이리스트 웹드라마 ‘크리스마스가 싫은 네 가지 이유’로 데뷔했고, 넷플릭스 ‘마이 네임’ 등에 출연했다.      ━   “김민기·유선호 어떤 배역도 훌륭”      



 드라마 '슈룹'에서 보검군 역을 맡은 배우 김민기. 사진 tvN       



드라마 '슈룹'에서 의성군 역을 맡은 배우 강찬희. 사진 tvN            보검군 역의 김민기(20)는 중궁전 시녀 출신인 태소용(김가은)의 아들이지만 종학(宗學·조선시대 왕족 교육 기관) 1등을 놓치지 않는 영특함과 주변에 흔들리지 않는 올곧음을 잘 표현해냈다. 2020년 tvN D 웹드라마 ‘언어의 온도’로 데뷔한 이후 tvN ‘여신강림’, SBS ‘라켓소년단’, KBS1 ‘태종 이방원’ 등 다양한 작품에 출연하면서 다져온 기본기가 빛을 발했다. 김 PD는 “김민기는 오디션에서 어떤 배역을 요청하든 훌륭하게 연기했다”고 말했다. 공희정 평론가는 “예전에는 신인 배우들이 일일드라마나 주말 연속극을 통해 선배들에게 연기 지도를 받았다면, 요즘은 웹드라마에서 또래 배우들과 먼저 호흡을 맞추고 그 중 눈에 띄면 OTT나 TV 드라마로 넘어오는 추세”라고 분석했다.      황귀인(옥자연)의 아들로 가장 먼저 태어난 의성군 역의 강찬희(22)의 연기 변신도 주목할 만하다. 2016년 아이돌 그룹 SF9으로 이름을 알렸지만, 2009년 MBC ‘선덕여왕’ 등 아역 배우로 연기를 먼저 시작했다. 김형식 PD는 “JTBC ‘SKY캐슬’에서 모범생 황우주 연기를 인상 깊게 봐서 정반대인 의성군 역을 제안했다”고 밝혔다. 강찬희는 “궁중에서 자기 자리를 빼앗긴 열등감 등 억눌려있는 게 많은 캐릭터라 도전해보고 싶었다”며 “감독님과 대화를 통해 정통 사극 속 악역보다는 현대물에 기반을 둔 얄밉고 교활한 모습이 엿보이도록 캐릭터를 만들어나갔다”고 말했다.       ━   연기 경험 없는 신인도 과감히 발탁       



드라마 '슈룹'에서 계성대군 역을 맡은 배우 유선호. 사진 tvN       



드라마 '슈룹'에서 세자 역을 맡은 배우 배인혁. 사진 tvN            왕세자 대결에서는 밀렸지만 중전의 4남인 계성대군 역의 유선호(20)도 강렬한 인상을 남겼다. “껍데기만 남자일 뿐 속에 여인을 품었다”는 황귀인의 고발처럼 조선 시대 궁궐에서 허락받지 못할 성 정체성을 지녔지만 부드러우면서도 기품있는 연기로 서사를 확실하게 챙겼다. 김 PD는 “남자 배우가 소화하기 어려운 폭넓은 모습과 섬세한 감정을 표현해내야 했기 때문에 가장 고민이 많았던 캐릭터인데 유선호가 준비해온 연기를 보니 상상 속의 이미지보다 더 계성대군 같았다”고 말했다. 유선호는 2017년 ‘프로듀스 101’ 시즌 2에서 큐브엔터테인먼트 소속 연습생으로 연예계 생활을 시작했다.        이밖에 중전의 3남 무안대군 역의 윤상현(20)처럼 연기 경험이 전무한 신인이 있는가 하면, 일찍이 죽음을 맞이했지만 묵직한 존재감을 보여주고 있는 세자 역의 배인혁(24) 같은 배우도 있다. 2019년 데뷔한 배인혁은 SBS 월화드라마 ‘치얼업’에서 연희대 응원단장으로 활약 중이다. 김 PD는 “배인혁은 처음엔 대군 역할로 미팅했는데 보자마자 마음속에서 세자로 정해뒀다. 윤상현은 어른인 척, 남자인 척 속이 다 보이지만 유쾌하고 밉지 않은 무안대군의 느낌을 잘 살렸다”고 말했다. 중전의 5남인 일영대군 역의 박하준(16)과 옥숙원(이화겸)의 아들 호동군 역의 홍재민(9)에 대해서도 “앳되고 사랑스러운 면모로 현장에서도 귀여움을 받았다”고 덧붙였다.       정덕현 대중문화평론가는 “‘슈룹’은 중전 김혜수가 원톱으로 끌고 가는 드라마인데 왕자들이 기대 이상의 연기를 보여주면서 그들의 차기작이 주목된다”며 “KBS2 ‘성균관 스캔들’(2010)의 송중기와 유아인, ‘화랑’(2016~2017)의 박형식과 김태형처럼 새로운 스타가 탄생하기 좋은 포맷”이라고 말했다. 김 PD는 “제가 ‘마이 네임’의 문상민, ‘라켓소년단’의 김민기, JTBC ‘언더커버’의 유선호 등을 인상 깊게 본 것처럼 다른 감독들도 ‘슈룹’에서 이들의 연기를 눈여겨보고 다음 캐스팅까지 이어질 수 있으면 좋겠다”는 바람을 밝혔다.    
"
"
			이휘재, 가족과 돌연 캐나다行…“비난 여론, 상실감에 괴로워해”
		",2022.09.15. 오후 7:39,None,None,None
"""YG 허락 받아야""…2NE1, 美코첼라 비밀리에 등장한 까닭",2022-05-09 07:00:00,중앙일보,배정원 기자,"
  



미국 코첼라페스티벌 무대에 깜짝 등장한 걸그룹 2NE1. 왼쪽부터 박봄, 공민지, 씨엘, 산다라박. 코첼라=APㆍ연합뉴스           지난달 미국 최대 음악 축제 코첼라의 백미는 걸그룹 투애니원(2NE1)의 ‘내가 제일 잘 나가’ 무대였다. 씨엘(CL) 공연에 박봄·산다라박·공민지가 깜짝 등장해 7년 만에 ‘완전체’로 무대에 섰다. 안타깝게 해체한 비운의 K팝 아이돌이 다시 뭉친 모습에 해외 관객은 환호했다. 미국 음악 전문지 롤링스톤은 2NE1의 무대를 ‘올해 코첼라 명장면’ 중 하나로 꼽았다.        그런데 이 공연은 극비리에 준비됐다. 네 멤버 모두 기존 소속사인 YG엔터테인먼트를 떠나 각자 다른 기획사에서 활동 중이기 때문이다. 다 같이 모여 노래할 순 있지만, 2NE1을 사용해 공연 등의 유료화 사업을 벌이려면 YG의 허락이 필요하다. 혹은 상표권을 양도받아야 한다. 이러한 절차 없이 콘서트 홍보물 또는 신규 앨범에 2NE1의 이름을 쓸 경우 상표권 침해 소송에 휘말릴 수 있다. 완전체 무대가 홍보 없이 조심스럽게 준비된 이유다. 다만 YG엔터테인먼트 관계자는 2NE1 공연에 대해 “특별히 밝힐 입장이 없다”면서 “법적 대응에 나설 계획은 없다”고 말했다.      ━   H.O.T 외칠 수 없었던 재결합 무대        



1세대 아이돌 H.O.T는 2018년 재결합 콘서트를 열면서, 그룹명을 사용할 수 없었다. 법적 공방은 여전히 진행중이다. [사진 솔트엔터테인먼트]           K팝 아이돌의 상표권 논쟁은 어제오늘의 일이 아니다. 1세대 아이돌인 H.O.T도 MBC 예능 방송을 통해 17년 만에 성사된 재결합 공연에서 H.O.T 대신 ‘하이 파이브 오브 틴에이저’(High-five of Teenage)를 사용할 수밖에 없었다. 보이 그룹 비스트는 전 소속사 큐브엔터테인먼트와의 갈등으로 8년간 사용한 그룹명을 포기하고, 2017년부터 하이라이트로 활동하고 있다.        법률상 또는 산업 관행으로 따져봤을 때 상표권은 엔터사가 가져가는 게 맞다. 한국에서는 소속사가 아이돌 그룹을 기획하고, 투자해 음원을 만들고 데뷔시키는 게 일반적이다. 돈을 대고, 실패 리스크를 짊어진 쪽이 당연히 수익 권리도 가져가야 한다는 논리다. SM엔터테인먼트의 경우 특허권, 디자인권, 미술저작물 등 다양한 지식재산권(IP)을 가지고 있는데, 그중에서도 소유한 상표권만 1862건에 달한다.       ━   아이돌 상표권 가치는 누가 만들었나         



아이돌 그룹 비스트는 소속사와의 분쟁 끝에 하이라이트라는 이름으로 활동하고 있다. [사진 어라운드어스]           최근 엔터테인먼트 산업의 급성장으로 다른 견해가 나오고 있다. 제조업 중심의 사고와 잣대로 엔터 산업을 평가해서는 안 된다는 목소리다. 아이돌 그룹이 인기를 얻기까지 멤버들의 노력이 있기 때문에 소속사가 권리를 독점할 수 없다는 얘기다. 기획사에서 아무리 좋은 곡을 만들어도 멤버들이 열심히 하지 않으면 성공을 장담할 수 없다. 상품의 경우, 기획자가 상표권을 독점해도 이견이 거의 없지만, 살아 숨 쉬는 아이돌은 자신의 브랜드 가치를 높이기 위해 막대한 시간과 노력을 기울이기 때문에 권리를 인정해줘야 한다는 견해다.        실제로 최근 상표권 분쟁에선 아이돌에게 유리한 판례가 나오고 있다. 신화는 두 번의 앨범에 신화라는 이름을 쓰지 못했지만, 4년 법정 싸움 끝에 아이돌 최초로 팀의 상표권을 보유하게 됐다. 걸그룹 티아라 역시 팀이름을 지켰다. 이들은 전 소속사 MBK엔터테인먼트의 상표권 출원에 이의를 제기했고 특허청은 티아라 멤버의 손을 들어줬다.      H.O.T는 재결합 콘서트를 앞둔 시점에 김경욱 SM엔터테인먼트 전 대표가 개인의 자격으로 갖고 있던 상표권을 주장해 문제가 됐다. 김 전 대표가 등록한 상표권은 무효라는 대법원 확정판결은 이미 지난 2020년에 나왔다. 하지만 김 전 대표가 민사소송을 제기하면서 분쟁은 현재 진행 중이다. 민사 소송 1심에선 H.O.T 재결합 공연 기획자가 승소했다.       김 전 대표는 “당시 MBC 예능 방송의 상표권 사용은 허락했으나, 공연은 상업용이기 때문에 문제가 된 것”이라며 “엄밀히 말해 H.O.T가 아닌 공연기획자와 법적 다툼을 벌이는 것”이라고 말했다.      ━   제작자와 아이돌, 누구 공(功)이 더 큰가        



아이돌 상표권 문제는 결국 아이돌 멤버와 기획사 중 어느 쪽의 기여도가 더 큰지를 계산하는 것에서부터 매듭을 풀어야 한다. 사진은 방탄소년단(BTS). [사진 하이브]           아이돌 상표권 관련 변화는 있지만, 여전히 풀어야 할 과제는 많다. 문화체육관광부는 2018년 대중문화예술인 표준전속계약서에 ‘계약 기간이 종료된 후에는 상표권 등의 권리를 기획사가 가수에게 이전해야 한다’(8조)고 권고했다. 하지만 여기엔 ‘기획사가 상표 개발에 상당한 비용을 투자하는 등 특별한 기여를 한 경우엔 정당한 대가를 요구할 수 있다’는 내용도 포함돼 있다. 결국 누구의 공(功)이 얼마나 큰지 협의하라는 말인데, 이는 단순한 문제는 아니다. 예를 들어, 방시혁 하이브 의장과 방탄소년단(BTS) 멤버 중 누가 더 BTS 성공에 기여도가 큰지 따져야 하는데, 처한 입장에 따라 결론은 다를 수 있다.        하재근 문화평론가는 “한국 아이돌은 기획사에서 상당 기간 투자해 위험을 감수하고 만든 것은 사실이지만, 그렇다고 마냥 100% 기획사 소유라고 말하기는 어렵다”며 “해당 아이돌의 공헌도가 성공에 얼마나 결정적이었고, 얼마나 수익을 발생시켰는지 등 기여도를 인정해 기획사가 아이돌과 상표권을 공유하는 방향으로 가야 하는데 객관적인 기준을 마련하기 어려운 게 현실”이라고 말했다.    
"
법원 “라이관린·큐브 사이 전속계약효력 존재하지 않아”,2021-06-17 19:33:02,중앙일보,이지영 기자,"
  



일간스포츠       법원이 그룹 워너원 출신 가수 라이관린(20)이 큐브엔터테인먼트(큐브)와 맺은 전속계약을 무효로 판단했다.      17일 서울중앙지법 민사합의48부(이기선 부장판사)는 라이관린이 큐브를 상대로 제기한 전속계약 효력 부존재 확인 청구에 대한 선고 공판을 진행했다.        이날 재판부는 “원고와 피고 사이 체결된 전속계약 효력이 존재하지 않음을 확인한다”며 원고 승소로 판결했다.      엠넷 ‘프로듀스 101’ 시즌2를 통해 워너원으로 데뷔한 라이관린은 지난 2019년 1월 워너원 활동을 마친 뒤 유닛 활동, 중국 드라마 ‘초연나건소사’ 촬영 등 한국과 중국을 오가며 활동했다.      이후 지난 2019년 7월 라이관린은 변호인을 통해 큐브에 전속계약의 해지를 통보했고, 서울중앙지방법원에 위 전속계약의 효력정지를 구하는 가처분 신청서를 제출했다.        당시 라이관린 측은 “큐브가 라이관린의 중국 내에서의 독점적 매니지먼트 권한을 제3자인 타조엔터테인먼트에 양도하고, 그 대가로 라이관린에게 지급한 전속계약금의 수십 배에 이르는 돈을 지급받았다”고 주장했다.        이에 큐브는 “라이관린의 매니지먼트 업무를 진행해 오면서 모든 일정과 계약 진행 시 당사자에게 설명하고 동의를 받아서 진행했다”고 반박했다.      같은 해 11월 서울중앙지방법원은 라이관린이 큐브를 상대로 제기한 전속계약 효력정지 가처분 신청에 대해 1심에서 기각했다. 큐브는 이에 대해 “법원의 결정에 따라 라이관린과 전속계약 관계를 유지하면서, 당사자 간 대화를 통해 원만한 해결 방안을 모색할 계획”이라고 입장을 밝혔다.      그리고 지난해 5월 라이관린이 큐브를 상대로 낸 전속계약효력정지가처분 신청 항소심도 기각됐고, 라이관린의 변호인 측은 가처분 신청사건과 별개로 전속계약의 효력이 없음을 확인받기 위한 본안소송을 제기한 바 있다. 이어 네 차례 변론기일이 진행됐고, 재판부는 양측 사이에 전속계약효력이 존재하지 않는다는 판결을 내렸다.        한편 큐브는 이날 보도자료를 통해 “법원의 판결을 존중해 항소는 하지 않을 계획”이라고 밝혔다.      이어 “당사자와 충분히 대화하고 오해를 풀지 못한 점에 대해 안타깝게 생각한다”며 “당사는 라이관린의 앞날을 응원하며 이번 일로 많은 분께 심려를 끼쳐드린 점 죄송하다”고 덧붙였다.      이지영 기자 lee.jiyoung2@joongang.co.kr  ▶ 그가 들려주는 이야기, 이상언의 '더 모닝'▶ 건강한 주식 맛집, 앤츠랩이 차린 메뉴▶ '실검'이 사라졌다, 이슈는 어디서 봐?ⓒ중앙일보(https://joongang.co.kr), 무단 전재 및 재배포 금지
		"
