TITLE,DATE
"""배우 서신애도 당했다""···수진, 학폭 논란 6개월만에 탈퇴 [전문]",2021-08-14 20:53
"'학폭 논란' 수진 ""나는 안 괴롭혀···서신애 명확하게 밝혀라""",2021-03-20 11:14
"
			'학폭 의혹' (여자)아이들 수진, 큐브 떠난다…전속계약 해지
		",2022.03.05. 오후 4:15
"
			펜타곤 홍석, 군입대 7개월 만에 의병 전역 “공황장애 악화”
		",2022.12.26. 오후 11:09
"
			""결혼해줘"" 커플링 자랑했는데…가수 현아·던, 7년만에 결별
		",2022.11.30. 오후 7:32
"‘슈룹’ 13명 왕자, 누가 시청자 마음 빼앗을 상인가",2022-11-23 0:02
13명 왕자 뜨거운 대결…'슈룹' 누가 시청자 마음 뺏을 상인가,2022-11-22 11:09
"
			이휘재, 가족과 돌연 캐나다行…“비난 여론, 상실감에 괴로워해”
		",2022.09.15. 오후 7:39
"""YG 허락 받아야""…2NE1, 美코첼라 비밀리에 등장한 까닭",2022-05-09 7:00
법원 “라이관린·큐브 사이 전속계약효력 존재하지 않아”,2021-06-17 19:33
'코로나 담당' 복지부차관 확진…방송가는 '런닝맨' 줄확진 비상,2022-02-11 18:26
"수진 일부 팬 ""너도 가만 안둬""…학폭 폭로자에 악플 테러",2021-08-15 13:18
가요계도 코로나 초비상…장민호·비투비 이민혁 확진,2021-07-17 17:41
‘대마 161차례 흡입 혐의’ 비투비 前멤버 정일훈에 징역 4년 구형,2021-05-20 16:48
"
			‘마약혐의’ 정일훈, 비투비 탈퇴…“깊이 반성하고 책임 통감”
		",2020.12.31. 오후 3:28
코로나發 위기에도 강한 '스튜디오 까에' 석달새 매출 11배 비결,2021-01-15 17:43
"서신애, 수진 학폭 폭로 ""2년간 복도 등 어디서나 욕설·비난""",2021-03-26 13:12
"
			브레이브걸스 사인 CD 중고거래 의혹에…이휘재 ""관리 소홀"" 사과
		",2021.03.22. 오후 12:04
"(여자)아이들 수진 소속사 ""학폭 주장 게시자·악플러 고소""",2021-03-20 0:22
'학폭의혹' 수진 활동중단···뒤늦게 주목받는 서신애 그 에세이,2021-03-05 12:31
"
			학폭 논란 수진, 활동 중단 ""다툼은 했으나 폭력은 없었다""
		",2021.03.04. 오후 10:05
"수진 측 ""학폭 허위"" 다음날, 동창 서신애 ""변명 그만"" 의미심장 글",2021-02-22 6:40
데뷔 직전 억울한 탈락…'프듀' 조작 피해자 12명 밝혀졌다,2020-11-18 11:55
"""뺨때리기 시켜"" 학폭 폭로에…걸그룹 수진 측 ""허위유포""",2021-02-21 18:38
조작 논란에도 GO! ‘아이즈원’ 마지막 항해…이가은·한초원은 지금?,2020-12-07 15:34
"정일훈, 5년간 가상화폐로 상습 마약...소속사 ""무거운 책임감""",2020-12-21 21:30
"BTS·슈퍼주니어 온라인 콘서트, 세계가 ‘미래의 공연’ 미리 봤다",2020-06-16 0:05
"수익 220억 방방콘, AR 무장 슈주쇼···K팝 온라인공연의 진화",2020-06-15 15:10
소속사에 전속계약 해지 통보한 라이관린 “왜인지 알고 싶다”,2019-07-22 23:21
칼군무·걸크러시…걸그룹 새 성공공식,2020-04-27 0:05
"
			청순발랄 대신 걸크러시에 칼군무...(여자)아이들이 보여주는 걸그룹 새 성공공식
		",2020.04.26. 오후 4:51
"
			워너원 라이관린, 소속사에 전속계약 해지 통보…큐브 “사유 없다”
		",2019.07.20. 오후 8:32
