TITLE,DATE,PRESS,REPORTER,CONTENT
"FNC엔터테인먼트, 한성호·김유식 공동대표이사 선임",2022-11-07 16:04,한국경제,김수영 기자,"
""시스템 개선 통해 새로운 도약 준비할 것""



FNC엔터테인먼트 한성호, 김유식 대표이사FNC엔터테인먼트가 7일 임시주주총회와 이사회를 통해 한성호 전 총괄 프로듀서와 김유식 전 경영지원부문장을 공동대표이사로 선임했다.한성호 대표이사는 FNC의 최대주주로서 책임 경영 및 콘텐츠 경쟁력 강화를 위해 5년 만에 다시 대표이사로 복귀했다.김유식 대표이사는 롯데, 삼성, SK 등 국내 주요 대기업 전략기획 출신으로 2016년에 FNC에 입사해 경영지원부문장을 역임했다.FNC는 이번 공동대표이사 선임에 대해 ""엔터테인먼트 회사의 본질인 아티스트 육성 및 콘텐츠 제작 등 IP 경쟁력 강화를 위한 인사""라면서 ""이번 공동대표이사 변경 및 경영전반 시스템 개선을 통해 새로운 도약을 준비할 것""이라고 밝혔다.
"
"
			""FT아일랜드·씨엔블루 잇는다""…정용화의 자신감 '하이파이유니콘' [종합]
		",2023.06.26. 오후 6:23,None,None,None
"
			FNC엔터도 NFT 사업 진출…판매 플랫폼 12월 1일 론칭
		",2021.11.24. 오전 9:26,None,None,None
"
			'FNC 출신' 김영선 그레이트엠 대표, 보이그룹 론칭한다
		",2023.01.12. 오후 1:44,None,None,None
"
			유재석, FNC 떠날까…카카오·안테나 ""논의했지만 확정 아냐""
		",2021.07.06. 오후 4:52,None,None,None
"FNC엔터 자회사, SK텔레콤 자회사 200억 투자 유치",2021-05-18 10:10,한국경제,김소연 기자,"
오디오콘텐츠 플랫폼 드림어스컴퍼니 FNC인베스트먼트 200억 투자""음악 IP 뿐 아니라 음악 사업 투자 이어갈 것""



FNC엔터테인먼트 자회사 FNC인베스트먼트가 200억 원 투자를 유치했다. 드림어스컴퍼니는 18일 ""FNC엔터테인먼트 산하 음악IP(지적재산권) 투자회사인 FNC 인베스트먼트에 200억을 투자하는 플랫폼-콘텐츠 파트너십을 체결했다""며 ""양사는 FNC 인베스트먼트를 통해 경쟁력 있는 음악 IP 뿐만 아니라 다양한 음악사업 기회에 대한 투자를 이어간다는 목표""라고 밝혔다. FNC엔터테인먼트 측은 ""투자 유치를 통해 본격적인 음악 관련 투자 확대에 나설 것""이라고 전했다. FNC인베스트먼트는 음악 IP 확보 및 콘서트, 페스티벌 등 다양한 음악 관련 사업에 투자하는 FNC엔터테인먼트 자회사다. 지난 3월 음악 IP (지적재산권)투자로 인기 가수 음원 총 372곡의 저작인접권을 확보했고, 음악 플랫폼 기업 미디어스코프에 지분 투자를 하는 등 음악 관련 사업의 투자를 전문으로 하고 있다.



/사진=드림어스컴퍼니드림어스컴퍼니는 아이리버를 전신으로 한 SK텔레콤 자회사로 오디오 콘텐츠를 전문으로 하는 음악 플랫폼 플로를 서비스하고 있다. 2017년 아티스트 MD사업, 2018년 음원음반 유통사업을 통해 사업 포트폴리오 확장을 시작했고, 2019년에는 사명 변경 및 CI 전면 개편과 함께 음악플랫폼 플로(FLO)와 공연사업을 론칭하는 등 공격적 행보를 이어왔다. 코로나로 인한 전반적인 음악 시장 위축과 스트리밍 서비스의 경쟁 심화에도 불구하고, 지속적으로 사업구조를 개편해온 결과, 지난 3년간 연 평균 48%의 매출 성장률을 기록 중이다.드림어스컴퍼니는 FNC인베스트먼트의 음악 컨텐츠 투자 확대를 지원하고, 유통 및 마케팅 분야에 자사가 지닌 역량을 결합하는 형태로 시너지를 도모해 나가겠다는 계획이다.안석준 FNC인베스트먼트 대표는 ""투자자를 확보하고 파트너십을 구축한 FNC인베스트먼트는 설립 목적에 따라 음악 IP 확보 및 콘서트, 페스티벌 등 다양한 음악 관련 사업에 투자할 계획이다. 더불어 양사 사업에 기여할 수 있는 다양한 관련 분야에 투자를 확대해 나갈 예정이다""고 말했다.최소정 드림어스컴퍼니 전략그룹장(CSO)은 ""드림어스컴퍼니는 그동안 음악 생태계 전반을 아우르는 포트폴리오 확장을 통해 성장과 수익이라는 두 마리 토끼를 잡으며 경쟁력을 확보해왔다""며 ""앞으로도 콘텐츠 산업 내 다양한 파트너들과 함께 국내 음악시장 성장에 기여하며 함께 성장하겠다""고 밝혔다.김소연 한경닷컴 기자 sue123@hankyung.com▶ 경제지 네이버 구독 첫 400만, 한국경제 받아보세요▶ 한경 고품격 뉴스레터, 원클릭으로 구독하세요▶ 한국경제신문과 WSJ, 모바일한경으로 보세요 ⓒ 한국경제 &amp; hankyung.com, 무단전재 및 재배포 금지
		"
"
			AOA 설현, '10년 동행' FNC 떠난다…""업무 종료 협의"" [공식]
		",2022.10.20. 오후 3:55,None,None,None
"
			FNC, 트로트·걸그룹 전문 레이블 설립 [공식]
		",2021.02.03. 오전 8:53,None,None,None
"
			FNC, 자회사 설립…150억원 투자로 372곡 저작인접권 양수 [공식]
		",2021.03.03. 오전 9:11,None,None,None
[단독]'국민MC' 유재석 30억 투자해 안테나 3대 주주됐다,2023-06-26 17:48,한국경제,None,"
이 기사는 06월 26일 17:30 마켓인사이트에 게재된 기사입니다.



'국민 MC'이자 인기 연예인인 유재석 씨가 약 30억원을 투자해 카카오엔터테인먼트의 자회사이자 컨텐츠제작사인 안테나의 3대 주주에 올랐다. 그동안 소속 기획사들의 구설수로 속앓이를 해온 유 씨가 직접 소속사에 주주가 된 첫 사례다. 유 씨는 주주로서 책임감을 갖고 음악 제작사로 출발한 안테나의 본격적인 예능 콘텐츠 분야 확장을 돕기 위해 자신이 먼저 투자를 제안한 것으로 알려졌다. 유재석, 안테나 3대주주 올라 26일 투자은행(IB)업계에 따르면 유재석 씨는 지난 9일 카카오엔터테인먼트로부터 자회사인 안테나 주식 2699주(지분율 20.7%)를 30억원에 인수했다. 같은 날 32억원을 투자해 지분 21.37%를 확보하게 된 2대 주주인 유희열 안테나 대표에 이어 3대 주주에 오르게 됐다. 그간 유 씨가 안테나 내 별도의 임원 등을 겸직하고 있지 않아 투자 사실은 별도로 공개되지 않았다. 유 씨와 유 대표는 2021년엔 안테나의 모회사인 카카오엔터가 단행한 유상증자에 함께 참여해 카카오엔터 주주에 올랐다. 추후 안테나가 직접 상장하거나 안테나의 성장을 기반으로 카카오엔터가 증시 상장에 성공하면 유 씨도 차익을 거둘 것으로 예상된다.엔터테인먼트 업계에선 유재석 씨의 지분 매입을 이례적인 행보로 내다보고 있다. 그간 몸담았던 소속사들이 횡령과 주가조작 혐의들에 휩싸이면서 자신의 지분 투자에 선을 그어왔기 때문이다. 유 씨는 2004년 자신 외에도 강호동 신동엽 등 유명 연예인을 대거 보유했던 코스닥상장사인 디초콜릿이앤티에프와 계약을 맺었지만, 최대주주가 무자본 M&amp;A 등으로 검찰 수사를 받으며 회사가 상장폐지됐다. 유 씨도 횡령 문제로 장기간 출연료 미지급 사태를 겪었다. 이후 2010년부터 개인 소속사를 차려 활동하다 2015년 FNC엔터테인먼트로 이직했지만 다른 소속 연예인들과 달리 수차례 소속사 지분 매입 권유를 거절했다. 이번 안테나의 투자 유치에선 유재석 씨가 유희열 대표와 오랜기간 논의 끝에 자신의 지분매입을 카카오 측에 먼저 제의한 것으로 알려졌다. 인기 싱어송라이터인 유 대표가 1997년 창업한 안테나는 유 대표가 2021년 카카오엔터에 지분 100%를 약 100억원에 매각하면서 카카오엔터의 자회사로 편입됐다. 지난 9일 유 씨와 유 대표가 일부 지분을 재매입해 지금의 지배구조를 갖췄다. 유 씨는 그간 안테나 내 제작 영역 중 자신의 전문 분야인 예능 등 콘텐츠 분야에 적극적으로 참여해 안테나의 영상 분야 진출과 후배 양성에 힘을 써 왔다. 더 나아가 직접 회사에 주주로 등재해 안테나 성장을 도우려는 차원의 결정으로 풀이된다.



  엔터 사업 지형도 바뀐다 유 씨의 참전으로 카카오의 숙원사업이던 차세대 ‘엔터제국’ 만들기도 가시화됐다. 엔터·콘텐츠 업계에서는 ‘IP전쟁’이라는 말이 나올 정도로 지식재산권(IP)확보가 사업 확장의 핵심이다. IP는 웹툰 등 창작물에 부여한 권리를 의미한다. 최근에는 영향력 있는 배우와 아이돌 등도 IP로 분류하기도 한다. 카카오엔터가 지난 1월 약 1조2000억원의 해외 투자를 유치한 뒤 최우선 과제로 삼은 것도 IP확보다. 엔터업계 관계자는 “유 씨의 적극적인 참여로 예능 쪽 IP확보에 큰 동력을 얻은 셈”이라고 평가했다.카카오엔터는 사업을 크게 웹툰·웹소설이 속한 ‘스토리’ 부분과 K-POP이 속한 ‘뮤직’, 영화와 예능을 관리하는 ‘미디어’ 등 세 축을 중심으로 운영하고 있다. 최근에는 자회사인 안테나 등 연예기획사를 통해 ‘미디어’와 ‘뮤직’ 분야를 대폭 강화하는 중이다. 넷플릭스와 디즈니플러스 등 OTT플랫폼이 생겨나면서 한국 연예인들의 글로벌 진출이 용이해졌기 때문이다. 유 씨 본인도 예능 ‘더 존: 버텨야 산다’를 통해 디즈니플러스에 진출했다. 뮤직 부문에선 연초 인수한 SM엔터와 인기 아이돌그룹 아이브를 보유한 스타쉽엔터, 아이유 씨가 소속된 이담엔터 등을 통해 다양한 아티스트IP를 선점하고 있다.음악소속사로 출범한 안테나는 지난해 독립 예능 스튜디오 '안테나 플러스'를 통해 유튜브 채널 ‘뜬뜬’을 개설하고, '핑계고' 등 다양한 콘텐츠들을 선보이는 등 제작 영역에 힘을 쏟고 있다. 업계는 유재석 씨의 주주 합류로 컨텐츠 영역에 적극적인 확장 의지를 밝히고 있는 카카오엔터와 카카오가 시너지를 낼 것으로 보고 있다. 안테나는 기존 소속해있던 정승환, 루시드폴, 권진아, 정재형, 샘김 등의 가수는 물론 최근 이효리와 이상순 씨도 영입하면서 세를 넓히고 있다. 
"
"
			지민, AOA 탈퇴 이어 FNC도 떠났다…""계약 종료"" [공식]
		",2022.01.13. 오후 5:29,None,None,None
"
			FNC재팬 1호 걸그룹 프리킬, 멤버 5인 확정…전원 중학생
		",2022.01.24. 오전 10:29,None,None,None
"프랙시스, 비욘드뮤직 2000억원 추가 투자",2023-05-31 9:40,한국경제,이동훈 기자,"
추가 음원 IP 인수 위해 BW 발행이 기사는 05월 30일 14:23 마켓인사이트에 게재된 기사입니다.



사모펀드(PEF) 운용사 프랙시스캐피탈이 국내 최대 음원 지식재산권(IP) 전문 투자업체인 비욘드뮤직에 2000억원 가량을 투자했다. 회사는 신규 투자금을 통해 국내외 유명 아티스트들의 음원 IP를 사들인다는 방침이다.30일 투자은행(IB)업계에 따르면 프랙시스캐피탈이 비욘드뮤직의 신주인수권부사채(BW)와 구주 인수 등에 2000억원을 투자했다. 프랙시스캐피탈은 2021년말 회사 경영권을 인수한 데 이어 추가 투자를 단행했다. 프랙시스캐피탈이 보유한 비욘드뮤직의 지분은 60% 가량이다.  BW를 주식으로 전환할 경우 회사 지분은 80%까지 올라갈 것으로 전망된다. 프랙시스캐피탈은 추가 음원 IP 인수를 위해 추가 투자를 단행했다. 비욘드뮤직은 아델과 존 레전드, 셀린 디 등 글로벌 유명 아티스트들의 음원 IP를 보유한 국내 최대 규모의 음원 IP 투자회사다.  현재 약 2만7000여곡에 대한 IP를 보유하고 있다. 지난해 3월엔 국내 엔터테인먼트 업체인 FNC엔터테인먼트의 IP 보유 자회사인 FNC인베스트트를 470억원에 인수했다. 지난해 4월엔 인터파크의 음악사업부까지 사들이면서 덩치를 키웠다. 음원 IP 투자는 해외에선 '송캐피탈'이라고 불리면서 대체 투자의 한 영역으로 인정받고 있다. 소비자들이 음원 스트리밍이나 다운로드를 할 때 수익이 발생하는 구조다. 장기간 안정적으로 수익을 거둘 수 있어 인프라성 투자에 관심이 있는 대형 PEF들이 다수 투자하고 있다. 미국 최대 PEF 중 한 곳인 블랙스톤은 2021년 영국의 음원 IP 회사인 '힙노시스'에 1조원 이상의 투자를 했다. 미국의 음원 IP 업체인 '프라이머리 웨이브 뮤직'도 블랙록, 오크트리캐피탈, 브룩필드 등으로부터 대규모 투자를 받았다. 한 IB업계 관계자는 ""최근 힙노시스가 해외 유명 팝 아티스트인 저스틴 비버의 290여곡을 2500억원에 사들였다""며 ""음원 IP 시장이 계속 커지면서 해당 분야에 대한 투자자들의 관심이 더 올라갈 것""이라고 말했다. 
"
"
			유재석, FNC와 결별…""새로운 도전 원한다는 뜻 존중"" [전문]
		",2021.07.06. 오후 5:31,None,None,None
"
			정해인, FNC와 세 번째 계약…'9년째 의리 잇는다'
		",2021.05.11. 오전 11:18,None,None,None
"
			박지안, FNC엔터와 전속계약…""지원 아끼지 않을 것""
		",2021.05.18. 오전 11:34,None,None,None
"
			이홍기, FNC 이사 되나…""이단아 아닌 모범생""
		",2021.05.06. 오전 10:18,None,None,None
"
			'FNC 저격수' 이홍기, 재계약 당시 '라스' 효과 경험→달라진 계약서 공개
		",2021.05.05. 오전 8:24,None,None,None
"
			'테니스 전설' 이형택, FNC엔터와 전속계약…유재석·정형돈과 한솥밥
		",2021.02.01. 오전 11:00,None,None,None
"
			엔플라잉, FNC엔터와 재계약 [공식]
		",2021.02.19. 오전 9:37,None,None,None
"
			'라스' 이홍기, 소속사 저격수→FNC 청정구역 ""이미지 실추 조항 글씨 커져""
		",2021.05.06. 오전 9:04,None,None,None
"
			나캠든 측 ""이혼 후 떨어져 지낸 父 SNS에 고통…단호히 대처""
		",2023.04.25. 오전 11:40,None,None,None
"
			TV조선, 종합 엔터테인먼트 자회사 비스타컴퍼니 설립
		",2022.12.27. 오후 2:26,None,None,None
