TITLE,DATE,PRESS,REPORTER,CONTENT
"
			JYP, 3년간 698명 아동 치료비 지원…박진영도 10억 기부
		",2022.12.28. 오후 2:18,None,None,None
"
			엔믹스 지니, 돌연 팀 탈퇴·JYP 전속계약 해지
		",2022.12.09. 오전 8:13,None,None,None
"JYP, 4분기 실적 개선 기대감에 52주 신고가 경신",2022-12-12 11:04,한국경제,None,"




사진= JYP엔터테인먼트JYP엔터테인먼트가 올해 4분기 실적이 개선될 전망이라는 소식에 52주 신고가를 기록했다.12일 오전 10시35분 기준 JYP엔터테인먼트는 전 거래일 대비 900원(1.38%) 오른 6만5900원에 거래되고 있다. 장초반 6만7800원까지 오르며 52주 신고가를 경신했다. 시가총액도 2조3000억원을 웃돌고 있다.JYP엔터테인먼트에는 최근 외국인 투자자들의 매수세가 몰리고 있다. 외국인은 지난달 15일 이후 20거래일 가까이 순매수를 지속하고 있다.증권업계에서는 엔터테인먼트 기업들의 해외 진출이 올해 4분기를 비롯해 내년까지 실적 호조가 긍정적으로 작용할 것이라고 봤다. JYP엔터테인먼트의 내년도 영업이익 컨센서스(시장 추정치)는 1237억원으로 올해보다 약 23% 늘어난 수치다. 박하경 한국투자증권 연구원은 ""글로벌 팬덤 수혜가 확대된 것이 콘서트 재개를 계기로 가시화될 것""이라며 ""음반과 음원 매출은 JYP 내 아티스트의 성장으로 전년 대비 16% 증가했다""고 말했다. JYP의 공연 매출은 해외 투어 확대로 전년 대비 80% 증가하고, 상품기획(MD) 매출은 콘서트 재개에 이어 온라인 자사 몰 개설 효과로 614억원을 기록할 것이라고  추정했다.같은 시간 YG엔터테인먼트도 전일 대비 900원(1.99%) 오른 4만6100원에 거래되고 있다. 중국의 리오프닝(경기 활동 재개)이 본격화되고 한한령(한류 금지령)이 해제될 것이라는 기대감에 따라 K-엔터주가 동반 상승하고 있다.장지혜 DS 투자증권 연구원은 ""글로벌 인기에 힘입은 K-콘텐츠의 제작물량과 제작단가, 마진 상승으로 점차 실적 회복세를 보일 것""이라며 ""한류 주요 이용 연령층이 10~20대다. 올해 4분기에도 글로벌 MZ세대를 사로잡으며 성장해 나갈 것""이라고 설명했다.
"
"""JYP엔터, 분기 최대 실적…내년도 흥행 기대, 목표가↑""-키움",2022-11-15 7:35,한국경제,신현아 기자,"
목표가 8만3500원 제시



키움증권은 15일 JYP엔터테인먼트에 대해 내년 앨범 흥행과 콘서트 규모 확장 등에 따른 성장세가 예상된다며 목표주가를 기존 7만5000원에서 8만3500원으로 올렸다. 투자의견은 '매수'를 유지했다. 올 3분기 JYP엔터테인먼트는 매출 951억원, 영업이익 275억원을 기록했다. 전년 동기 대비 매출은 66%, 영업이익은 51% 증가했다. 영업이익의 경우 시장추정치(277억원)에 부합했으며, 분기 기준 최고 수준을 기록했다. 이는 스트레이키즈, 콘서트 관련 티켓 및 MD(기획상품) 매출 증가, 북미 등 신규 매출 포인트 발생에 따른 것이란 게 키움증권의 설명이다. 올 3분기 누적 앨범 판매량은 672만장으로 지난해 동기(541만장) 대비 늘었다. 이남수 키움증권 연구원은 스트레이키즈, 잇지, 엔믹스 등의 앨범이 반영되는 올 4분기는 역대 최대 판매량 기록을 갈아치울 것으로 전망했다. 이에 따라 올해 앨범 판매량 추정치를 기존 970만장에서 1100만장으로 상향했다. 스트레이키즈 자카르타 공연, 잇지 미주 공연과 올 3분기 이연 인식된 일본 콘서트를 추가로 반영해 4분기 실적도 높여 잡았다. 4분기 매출액은 1095억원, 영업이익은 281억원을 추정했다. 전년 동기 대비 매출은 72%, 영업이익은 72% 각각 증가한 수치다. 이 연구원은 ""더블 밀리언 셀러로 성장한 스트레이키즈, 북미 흥행을 공고히 만든 트와이스, 신인 잇지와 엔믹스 성장세를 감안하면 내년의 앨범 흥행도 결정적""이라고 말했다. 이어 ""월드투어 규모 확장과 콘서트 MD, JYP360의 성장성까지 예상하면 아티스트 지적재산권(IP) 활용은 더욱 긍정적일 것""이라며 ""여기에 국내 1, 해외 3팀의 신인까지 더해져 아티스트 라인업도 더 공고해질 것""이라고 전망했다. 
"
"""이번엔 JYP""…신한카드, '스트레이 키즈·있지' 카드 내놨다",2022-10-24 11:24,한국경제,김수현 기자,"




사진=신한카드신한카드는 JYP엔터테인먼트 체크카드 2종을 출시했다고 24일 밝혔다.해당 체크카드는 차세대 케이팝 아이돌로 기대를 모으는 스트레이 키즈(Stray Kids)와 있지(ITZY) 2종으로 구성됐다. 아티스트 로고와 응원봉 색상으로 디자인됐다.JYP 체크카드는 팬덤의 선한 영향력을 선순환할 수 있도록 국내외 가맹점에서 결제 시 이용액의 일정 비율이 기부금으로 적립되는 것이 특징이다.이 카드는 이용하면 예스24를 통해 국내 콘서트 및 공연 예매 시 결제액 5% 캐시백 혜택을 받을 수 있다. 팬클럽 가입액도 5%가 캐시백 된다. 멜론, 플로(FLO)에서는 음원 구매 및 스트리밍 결제액의 5%를 캐시백으로 받을 수 있다.신한카드 관계자는 ""아티스트의 선한 영향력을 함께하고자 하는 팬덤을 위해 JYP 체크카드를 내놓게 됐다""며 ""앞으로도 팬들을 위한 다양한 부가 서비스와 팬덤 문화를 카드 비즈니스에 반영해 차별화된 혜택을 제공할 것""이라고 말했다.
"
"""JYP·와이지, 향후 4개 분기 실적 가시성 가장 높아""-유안타",2022-09-01 8:17,한국경제,신민경 기자,"




블랙핑크. 이미지=한경DB유안타증권은 1일 JYP엔터테인먼트와 와이지엔터테인먼트를 각각 엔터 업종 최선호주와 차선호주로 유지한다고 밝혔다. 두 기업 모두 향후 4개 분기(올해 3분기~내년 2분기) 실적 가시성이 가장 높다는 판단에서다.이혜인 유안타증권 연구원은 ""올 3분기 블랙핑크와 엔믹스의 앨범이 발매되고 4분기엔 스트레이키즈와 잇지, 트레저의 앨범이 발매될 것으로 보인다""고 밝혔다.아울러 엔터4사 중 내년 상반기 대규모 글로벌 투어 일정이 예정돼 있는 기업도 JYP엔터테인먼트(스트레이키즈)와 와이지엔터테인먼트(블랙핑크) 두 곳이라는 설명이다. 이 연구원은 두 기업의 기존 목표주가인 8만4000원과 9만2000원을 유지했다.에스엠에 대해선 기존 목표주가 11만2000원에서 10% 내린 10만원을 제시했다. 올해 데뷔할 예정이었던 신인 남자 2개 그룹의 데뷔 시점이 내년으로 연기된 데다 올 3분기와 4분기 이익을 소폭 내렸기 때문이다. 최대주주 지분 매각 지연으로 단기 모멘텀도 다소 약해졌다고 이 연구원은 덧붙였다. 다만 ""에스엠의 현 주가는 엔터 4사 중 평가가치(밸류에이션) 부담은 가장 적은 상태""라고 했다.
"
마스크 벗고 희비 엇갈리는 '엔터주'…하이브 울고 SM·JYP 웃고,2022-10-17 16:01,한국경제,배태웅 기자,"




국내 엔터테인먼트 기업들이 올 3분기 실적 발표를 앞둔 가운데 주가 희비가 크게 엇갈리고 있다. 영업이익 증가가 예상되는 JYP엔터테인먼트와 SM 주가가 선방하는 가운데 하이브는 매출 핵심인 방탄소년단(BTS)의 이탈로 이익 하락이 예상되며 부진을 면치 못하고 있다.17일 에프앤가이드에 따르면 JYP와 SM의 3분기 영업이익 컨센서스(증권사 추정치 평균)는 각각 274억원, 253억원으로 집계됐다. 각각 전년대비 50.5%, 79.4% 늘어날 것으로 전망됐다. 코로나19 사태가 진정되면서 해외 공연이 늘어나고 이에 따라 소속 아이돌 그룹의 앨범 판매도 늘어날 것으로 예상되고 있어서다.반면 하이브의 3분기 영업이익은 전년대비 10.2% 감소한 589억원에 그칠 것으로 전망됐다. BTS의 단체활동 중단으로 앨범 판매량이 급감하면서 영업이익 전망치도 함께 줄어들었다.



주가도 이러한 실적 전망을 따라가고 있다. 올해 하반기가 시작된 7월1일 이후 SM과 JYP는 각각 11.3%, 19.5% 상승했다. 특히 SM은 이수만 SM 총괄프로듀서와 관련한 지배구조 문제가 해결되면서 주가 하방 압력이 사라졌다는 분석이 나온다. 앞서 SM은 지난 14일 SM은 이 총괄프로듀서의 개인회사 라이크기획과 맺어온 프로듀싱 라이선스 계약을 조기종료하겠다고 밝혔다.박성국 교보증권 연구원은 “SM은 라이크기획에 별도 매출의 최대 6%를 인세로 지급해 수익성에 영향을 미쳤다”며 “계약종료로 실적개선뿐만 아니라 불투명한 지배구조 등 동종 기업 대비 주가가 할인받던 요소들도 정상화될 것”이라고 내다봤다.반면 하이브는 올 하반기에만 주가가 17.8% 빠지면서 부진을 면치 못하고 있다. 이달 하나증권을 비롯해 5개 증권사는 하이브의 목표주가를 일제히 낮췄다.이기훈 하나증권 연구원은 “하이브는 BTS의 군입대가 지연되면서 주가가 저점을 잡지 못하고 있지만 12월에는 저점이 어느 정도 보일 것”이라며 “JYP는 2분기부터 4분기까지 사상 최대 실적을 경신할 것으로 예상된다”고 설명했다.
"
"
			데이식스, JYP와 재계약…K팝 대표 밴드 명성 이어간다 [공식]
		",2022.09.26. 오전 8:31,None,None,None
"'덕질'에는 불황 없다…돈 쓸어담는 버블·위버스, 주가는?",2022-12-08 16:16,한국경제,임현우 기자,"




그룹 뉴진스가 지난달 30일 일본 교세라 돔 오사카에서 '2022 MAMA AWARDS' 레드카펫 행사에 참석해 포토타임을 갖고 있다. 엠넷 제공'팬심'에는 불황도 비껴간다. 국내 양대 팬 커뮤니티 앱인 '버블'과 '위버스'가 도입한 유료 구독 모델이 좋은 반응을 얻으면서 이들 업체 주가도 탄력을 받을 것이란 전망이 나오고 있다.8일 IBK투자증권은 버블 운영업체 디어유의 내년 매출을 올해보다 63.2% 늘어난 792억원, 영업이익은 72.5% 증가한 277억원으로 전망했다. 예상대로라면 영업이익률이 35.0%에 이른다. 디어유는 SM엔터테인먼트 계열사로 JYP엔터테인먼트도 2대 주주로 참여하고 있다. 이환욱 IBK투자증권 연구원은 ""버블의 구독 수가 분기마다 10만 건 이상 늘어 150만~160만 건에 달했다""며 ""연말에는 보수적으로 추정해도 220만 건이 될 것""이라고 말했다.버블은 월 4500원을 내면 좋아하는 연예인과 메시지를 주고받을 수 있는 서비스다. 월 8000원을 내면 두 명, 월 1만1500원으론 세 명의 연예인을 구독할 수 있다. ""내가 좋아하는 스타가 내 이름을 불러주는 경험을 할 수 있다""는 게 인기 요인이다. K팝 열풍에 힘입어 해외 매출 비중이 70%를 넘어섰다. 현재 국내외 연예인 380명이 입점했으며 SM·JYP 소속 신인가수 등이 계속 추가되고 있다.이날 디어유 주가는 3만2900원으로, 연초보다는 59.3% 낮지만 최근 한 달 새 23.9% 급등했다. 디어유는 시범 운영 중인 '라이브 서비스'를 내년 상반기 정식 출시하고 아이템, 이모티콘 등 유료 상품 판매를 늘릴 계획이다. 현재 8000원 수준인 가입자당 평균 매출(ARPU)을 끌어올리는 효과가 기대된다. 이남수 키움증권 연구원은 ""팬덤 문화의 특성상 구독 유지에 강한 비탄력성(가격이 올라도 해지하지 않는 속성)이 존재하고 가격 업셀링(고가 상품 구매 유도)이 가능하다""고 했다.



한경DB'엔터 대장주' 하이브도 유료 구독 상품을 활용해 방탄소년단(BTS)의 매출 공백을 상당 부분 메울 것이라는 관측이 나오고 있다. 하이브는 이달 1일 걸그룹 뉴진스에 유료 구독 서비스를 처음 도입했다. 뉴진스 전용 앱 '포닝'에서 멤버와의 대화, 사진·동영상 관람 등이 가능한 이용권을 팔기 시작했다. 버블과 달리 월 9900원만 내면 뉴진스 멤버 전원(5명)을 구독할 수 있어 팬들 반응이 좋다.하이브는 포닝과 같은 방식의 구독권을 내년 상반기 중 주력 앱 '위버스'에도 확대 도입할 예정이다. 위버스에는 BTS, 블랙핑크, TXT, 엔하이픈, 세븐틴, 트레저, 르세라핌 등 정상급 아이돌이 다수 입점했다. 이혜인 유안타증권 연구원은 ""위버스 구독권 가격이 포닝과 동일하다면 구독 수 100만 건 달성 시 연간 매출 1100억원, 영업이익 475억원을 추가 창출할 수 있다""고 전망했다. 위버스는 월간 이용자(MAU)가 700만명을 넘는 대형 글로벌 플랫폼인 만큼 '1년 내 100만 구독 달성'은 어렵지 않다고 내다봤다.이날 하이브 주가는 14만5000원으로 한 달 전보다 11.1% 반등했다. 위버스는 올해 말 네이버 '브이라이브'와 통합을 앞두고 있어 MAU 확장에 탄력이 붙을 것이란 예상이 나온다.팬 커뮤니티 시장은 위버스와 버블이 사실상 '선점'을 끝낸 분위기다. 엔씨소프트는 지난해 1월 비슷한 콘셉트의 '유니버스'를 내놨지만, 초기 확장이 기대보다 더디자 매각을 저울질하고 있다. 엔씨소프트 측은 ""다양한 방안을 검토 중이지만 확정된 것은 없다""고 밝혔다.
"
