TITLE,DATE,PRESS,REPORTER,CONTENT
"
			SM엔터 찾은 英하원 ""한류와 메타버스 큰 관심""
		",2022.05.24. 오후 1:33,None,None,None
[부고] 탁영준 SM엔터테인먼트 대표 모친상,2022-05-25 17:04,한국경제,김수영 기자,"
			▶김희경씨 별세, 탁영준씨(SM엔터테인먼트 대표) 모친상 = 25일, 서울아산병원 장례식장 22호실, 발인 27일 오전 05시 20분, 장지 양주 대원정사.
"
"이수만 ""SM 새 먹거리는 메타버스…NFT도 진출할 것""",2022-05-22 10:32,한국경제,방준식 기자,"
미국 스탠퍼드대서 한국학 컨퍼런스 주제 연설바이낸스, 더 샌드박스와도 메타버스 사업 협업



이수만 총괄 프로듀서 미국 스탠퍼드대 한국학 컨퍼런스 연설. SM엔터 제공이수만 SM엔터테인먼트(이하 SM) 총괄 프로듀서가 5월 20일(현지시간) 미국 스탠퍼드 대학교 벡텔 컨퍼런스 센터에서 개최된 한국학 컨퍼런스 2일차 메인 연설자로 초청받아 ‘K팝의 미래 비전’을 주제로 연설을 했다.‘K팝 퍼스트 무버’로 단상에 오른 이수만 총괄 프로듀서는 “세계화와 기술혁명의 돌풍 속에서 K팝과 한류는 더욱 ‘콘텐츠’의 힘을 증명하며 지역과 국경, 세대와 이데올로기를 넘어 세계인의 마음을 하나로 연결하고 있다"" 며 ""SM의 비전을 통해 전 세계의 수많은 미래의 아티스트, 창작자, 프로슈머들에게 그 꿈을 이루게 하는 시작이 될 것”이라고 연설을 시작했다.이날 이수만 총괄 프로듀서는 SM이 가진 콘텐츠를 프로듀싱하는 기술인 ‘CT(Culture Technology)’에 대해 설명했다. 그는 ""K팝 문화를 프로듀싱하는 전 과정을 하나의 기술로서 공식을 만들어 매뉴얼화하는 작업과 함께, 콘텐츠를 만들어내는 프로듀싱 노하우를 체계화해서 발전시키고자 ‘CT’라고 명명했다”고 설명했다. 이어 “CT는 4단계의 스텝으로 정리해, 캐스팅-트레이닝-콘텐츠 프로듀싱-마케팅이라는 매니지먼트 시스템을 체계화한 저의 독자적인 프로듀싱 시스템""이라며  CT는 K팝의 성장동력이며 SM의 근본적인 운영체계""라고 말했다.



미국 스탠퍼드대 한국학 컨퍼런스 현장 이미지 (왼쪽부터 신기욱 스탠퍼드대 아시아태평양 연구소장, 이수만 SM 총괄 프로듀서, 엑소 수호, 마시 권 스탠퍼드대 교수). SM엔터 제공SM의 메타버스 비전에 대해서도 밝혔다. 블록체인 기술로 게임을 하며 돈을 버는 P2E(Play2Earn)처럼, K팝 창조 활동을 하며 즐기는 P2C(Play2Create) 시대가 올 것이라고 강조 했다. 그는 ""앞으로 새로운 문화생태계 안에서 누구나 창조할 수 있는 생태계를 구축하고 있다"" 며 ""누구나 오리지널 콘텐츠인 IP를 활용해 재창조하는 활동 통해 즐기면서 수익을 창출할 수 있을 것""이라고 말했다. 이어 SM 오리지널 IP(지적재산권)를 활용한 NFT(대체불가토큰) 사업에 대한 비전도 제시했다. 그는 ""SM의 킬러 콘텐츠와 IP를 활용해 고객들이 새로운 NFT 작품을 재창조 할 수 있게 돕는 다면, 누구나 창조자가 될 수 있는 메타버스 세상이 열릴 것""이라고 말했다. 이어 SM은 글로벌 코인 거래소 '바이낸스'와 가상 부동산 '더 샌드박스'와의 협업을 통해 가상 현실 공간인 '뮤직 네이션 SM타운'에서 쓰이는 디지털 여권 'SM 메타 패스포트'도· 출시할 계획이라고 말했다.한편, 5월 19~20일(현지시간) 양일간 진행된 이번 컨퍼런스는 미국 스탠퍼드대 아시아태평양 연구소가 한국학 전문 센터 ‘코리아 프로그램’ 창립 20주년을 기념한 자리다. 이수만 총괄 프로듀서와 엑소 수호 외에도 반기문 전 UN 사무총장, 김숙 전 UN 대표부 대사, 박준우 전 EU 대사 등 인사들이 참석했다.
"
뛰는 JYP엔터 기는 SM엔터…엇갈린 엔터주들,2022-03-31 11:24,한국경제,신민경 기자,"
""기업가치 저평가""…주주행동 맞닥뜨린 SM주총 표결 앞두고 주가 급등락 반복JYP, 콘서트 재개·신인 수익화로 '상승세'한 달 새 시총 격차 확대돼



사진제공=JYP엔터테인먼트국내 대표 연예계 기획사 두 곳의 희비가 엇갈리고 있다. JYP엔터테인먼트가 콘서트 재개와 저연차 아이돌 그룹들의 빠른 수익화 등 풍부한 상승 동력(모멘텀) 속에서 연중 신고가를 새로  쓰더니 시가총액에서 에스엠(SM엔터테인먼트)을 추월한 지 오래가 됐다. 반면 SM엔터는 매각이 막바지 진통을 겪고 있는 데다 기업가치 저평가 문제를 지적한 투자자의 주주행동까지 맞닥뜨리고 있다.31일 한국거래소에 따르면 이날 오전 10시29분 현재 코스닥시장에서 JYP엔터는 전일 대비 100원(0.16%) 오른 6만900원에 거래되고 있다. 시가총액은 2조1000억원을 넘기면서 코스닥 17위를 차지하고 있다. 같은 시간 에스엠은 800원(1.01%) 상승한 8만400원을 기록 중이다. 시가총액은 1조8800억원가량으로 22위를 지키고 있다.JYP엔터는 올해초부터 주가가 상승세를 타면서 에스엠을 바짝 따라 붙더니, 이제는 앞서가면서 격차를 벌리고 있는 형국이 됐다. 최근 한 달 해 시가총액 격차는 계속 벌어졌다. 이달 첫 거래일인 2일만 해도 시총 22위인 에스엠이 303억원 차이로 시총 21위인 JYP엔터와 큰 차이가 없었다. 이후 JYP엔터는 꾸준한 우상향 그래프를 그린 반면 에스엠은 주춤한 양상을 보였다.JYP엔터는 소속 아티스트들의 희소식이 주가를 견인하고 있다. 대표그룹인 트와이스는 일본에서 발표한 네 번째 베스트 앨범이 오리콘 주간 합산 앨범 랭킹 1위를 기록하는 등의 성과를 나타냈다. 공연소식도 꾸준하다. 오는 4월에 일본 도쿄돔에서 공연이 예정됐고, 지난 2월 미주 투어에 이어 오는 5월부터 다시 한번 미국을 찾아 앙코르 공연을 가진다. 최든 데뷔한 7인조 신인 걸그룹 '엔믹스' 또한 반응이 좋은 편이다.



지난 23일 종가 기준으로 시총 2조원을 넘기더니 전일인 30일에는 그룹 스트레이 키즈의 '빌보드 200' 1위 소식이 전해지면서 장중 한때 연중 최고가인 6만2300원을 기록했다. 지난 1월27일 종가가 3만7600원인 점을 감안하면 주가는 두 달 만에 66% 급등한 셈이다.투자자별 수급을 살펴보면 개인은 지난 24일부터 순매수세를 보였다. 24일 37억원, 25일 18억원, 28일 3억원, 29일 15억원어치를 각각 사들였다. 다만 신고가를 경신한 30일에는 차익실현 등을 이유로 92억원가량을 순매도했다.최근 JYP엔터 주가는 작년 4분기 호실적을 시작으로 연간 100만명 수준의 월드투어 재개 시점이 뚜렷해지면서 상승세를 나타냈다. 여기에 내년 한국과 미국, 일본, 중국에서 각각 신인그룹이 한 팀씩 데뷔할 전망이어서 증권가는 최소 2024년까지 사상 최대 실적이 지속될 것이라고 보고 있다. 이런 이유로 이달 들어서만 증권사 5곳이 JYP엔터의 목표주가를 기존보다 높였다.이화정 NH투자증권 연구원은 ""기존 라인업의 콘서트 재개와 엔믹스 등 신인그룹의 빠른 수익화 등을 감안할 때 단기적인 실적 성장은 물론 구조적인 성장 가능성도 엿보인다""며 ""자사몰 전개와 미국 중국 등으로의 아티스트 육성 시스템 수출 시장 확대가 기대되기 때문""이라고 말했다.



사진=SM엔터테인먼트 제공반면 에스엠 주가는 잔뜩 긴장한 상태다. 최근 고질적인 기업가치 저평가 문제를 두고 투자사인 얼라인파트너스자산운용이 주주행동에 나선 영향이다. 작년 말 기준 얼라이언스파트너스운용이 보유한 SM 지분은 0.21%(4만8500주)다. 특수관계자 지분인 0.70%(16만3194주)를 합산할 경우 지분율은 0.91%가 된다.얼라인파트너스는 SM의 이번 정기 주총을 앞두고 상법상 주주제안으로 감사(곽준호 KCF테크놀러지스 전 CFO) 선임 안건을 올렸다. 이사회의 독립성·전문성 결여가 SM엔터의 기업가치 저평가의 배경이라는 지적과 함께다. 같은 맥락에서 최대주주 개인회사인 라이크기획과의 프로듀싱 계약 해지를 골자로 하는 주주서한을 보내기도 했다. 사측이 감사 후보로 임기영 한라그룹 비상근 고문을 추천한 만큼, 주총에선 양편간 팽팽한 표 대결이 이뤄질 전망이다. 감사위원 선임에 있어선 대주주 의결권을 3%로 제한하는 '3%룰'이 적용된다. 때문에 이수만 프로듀서가 18.48%의 압도적인 지분율을 보유하고 있더라도 얼라인파트너스운용이 승산 가능성이 점쳐질 수 있는 것이다.표결 결과에 따라 이날 에스엠 주가 방향성이 결정될 것으로 보인다. 주가는 이날 상승세로 개장했다가 이내 전일 대비 2.76% 떨어진 7만7400원까지 떨어졌다. 하지만 주총이 시작할 9시30분께 주가는 다시 상승세로 전환했다.
"
"카카오, CJ 제치고 SM엔터 품는다",2022-03-11 11:17,한국경제,None,"
이 기사는 03월 11일 11:15 “마켓인사이트”에 게재된 기사입니다.



이수만 SM엔터테인먼트 총괄 프로듀서카카오가 국내 대표 연예기획사 SM엔터테인먼트를 품는다. 카카오는 이번 인수로 국내 대표 연예기획사로 거듭난다는 계획이다.11일 투자은행(IB) 업계에 따르면 카카오의 엔터테인먼트 계열사인 카카오엔터테인먼트(카카오엔터)는 SM엔터테인먼트의 최대주주 이수만 총괄 프로듀서가 보유한 지분 18.72%를 인수하기로 하고 막바지 협상을 벌이고 있다.거래 구조는 카카오엔터가 이 프로듀서 지분을 모두 인수한 뒤, 이 프로듀서가 카카오엔터테인먼트에 재출자하는 방식으로 논의 중인 것으로 알려졌다. 카카오엔터 측은 SM엔터가 발행할 신주도 인수해 보유 지분율을 끌어올릴 계획이다. 전체 거래 금액은 약 1조원 안팎 수준이다. 양측은 이달 내 주식매매계약(SPA)을 체결할 예정이다.SM엔터는 원래 CJ ENM이 유력한 인수 후보로 거론됐으나 지난해 말 양측간 협상이 결렬된 것으로 알려졌다. 양측은 거래 금액에 대해선 큰 틀에서 합의했지만, 향후 메타버스, 대체불가능토큰(NFT) 등 상호간 펼칠 사업 계획 등에 대한 이견을 좁히지 못한 것으로 전해졌다. 이후 SM엔터가 다시 카카오와 협상을 재개하면서 양측간 협상은 급물살을 타게 됐다.카카오는 SM엔터 인수로 하이브, YG엔터테인먼트와 함께 국내 3대 연예기획사로 발돋움하게 될 전망이다. 카카오의 SM엔터 인수는 네이버와 벌이는 글로벌 컨텐츠 시장에서 주도권을 쥐기 위한 연장선상이다. 카카오엔터는 안테나 등 수십여개의 계열사를 보유하고 있지만, 네이버에 비해 다소 역량이 부족하다는 평가가 많았다. 에스파, NCT, 슈퍼주니어, 소녀시대 등 SM엔터 소속 스타들이 가진 지적재산권을 카카오 플랫폼에 접목하면 글로벌 시장에서도 영향력을 키울 수 있을 것으로 예상된다.



이번 인수로 카카오엔터의 상장(IPO)에도 한 층 속도가 붙을 전망이다. 현재 카카오엔터의 기업가치는 약 12조원으로 평가된다. 카카오엔터는 내년까지 20조원의 몸값을 목표로 상장을 추진 중이다. 이를 위해 국내외에 1조원 이상 투자를 계획 중이라 밝힌 바 있는데, SM엔터의 인수도 그 일환으로 풀이된다. 카카오엔터는 지난 5월 ‘국민 MC’ 유재석과 유희열 정재형, 루시드폴, 페퍼톤스 등 작곡가, 보컬을 포함한 아티스트들이 소속된 안테나를 인수하기도 했다.SM엔터도 카카오로의 합류를 통해 기존 ‘디어유’를 비롯한 플랫폼사업의 경쟁력을 한 층 고도화할 전망이다. 카카오 계열 두나무 등과 연계해 NFT 사업에서도 시너지를 꾀할 것으로 풀이된다. 플랫폼 ‘위버스’를 앞세워 사업 영역을 넓히고 있는 하이브와 경쟁구도를 펼 것으로 전망된다.IB업계 관계자는 ""카카오는 이 프로듀서가 CJ와 협상을 진행중일 때도 SM엔터 측에 지속적으로 인수에 대한 관심을 가져왔다""며 ""양측이 올해 들어 다시 협상 테이블에 앉으면서 카카오가 SM측의 요구를 전폭적으로 수용한 것으로 안다""고 말했다.
"
"SM엔터, 주주들에게 '에스파' 친필 사인 뿌리는 까닭",2022-03-16 9:39,한국경제,차준호 기자,"
SM엔터 주총 앞두고 표대결 치열이 기사는 03월 15일 17:06 “마켓인사이트”에 게재된 기사입니다.



에스파 카리나 /사진=한경DBSM엔터테인먼트(SM엔터)가 이달 말 정기 주주총회를 앞두고 투자자들의 표심 잡기에 총력을 기울이고 있다. 얼라인파트너스자산운용과 신임 감사 선임을 놓고 표대결을 앞둔 상황에서 회사 측 추천 감사후보를 선임하기 위한 행보다. SM엔터는 소속 아티스트인 에스파의 친필 사인까지 제시하면서 기관 표심 확보에 '올인'하고 있다.15일 투자은행(IB)업계에 따르면 SM엔터는 이달 31일 정기주주총회를 앞두고 약 5만7000여명에 달하는 기관투자가와 소액주주들을 방문하며 의결권 위임을 요청하고 있다. 회사는 기관투자자들을 대상으로한 투자자설명회(NDR)을 열고 의결권을 위임할 경우 SM엔터 내 아티스트인 에스파 멤버 카리나의 친필 사인까지 배포한 것으로 알려졌다. 또 대행사를 통해 소액주주들을 직접 방문해 위임 의사를 묻고 있다. 일각에선 2015년 앨리엇과 분쟁 과정에서 삼성물산 직원들이 수박을 들고 소액주주들을 방문한 사례가 재현되는 것 아니냐는 관전평도 나온다.SM엔터가 주주 표심 확보에 총력을 기울이는 것은 사모펀드(PEF)운용사인 얼라인파트너스 측과 감사선임을 둔 표대결을 앞두고 있어서다. KKR 출신 이창환 대표가 설립한 얼라인파트너스는 SM엔터의 지배구조 개편을 주장하며 곽준호 케이씨에프테크놀러지스(현 SK넥실리스) 전 CFO를 신규 감사 후보로 추천했다.SM엔터도 창사 이후 처음으로 배당에 나선 데 이어 즉각 임기영 한라그룹 비상근 고문을 감사 후보로 내세워 대응에 나섰다. 임 고문은 IBK투자증권 대표이사 사장을 거쳐 2009년부터 약 4년간 대우증권 대표이사 사장을 역임한 인물이다. 기존 SM엔터의 감사는 이강복 감사가 2016년 선임 이후 현재까지 연임해 왔다. 이 감사는 이수만 총괄프로듀서와 서울대 동문이자 장기간 한국문화산업포럼 공동대표를 함께 지내는 등 최측근 인사로 분류 돼 독립성 문제가 지적돼 왔다.얼라인파트너스는 SM엔터 지배구조에 취약점으로 꼽혀온 이 프로듀서의 개인회사인 '라이크기획'으로의 일감몰아주기 문제도 재점화하며 공세를 펼치고 있다. 과거 KB자산운용 등 여러 기관들도 라이크기획과의 단절을 요구해왔지만 SM엔터는 이를 이행하지 않았다. 얼라인파트너스는 SM엔터가 이 프로듀서의 개인 회사인 라이크기획과 20년 넘게 지속 중인 프로듀서 용역 계약을 종료해야한다고 다시 한 번 주장했다.얼라인파트너스는 “에스엠의 저평가 이유 중 가장 큰 요인은 라이크기획과의 프로듀서 용역 계약 문제”라며 “에스엠은 지난해 3분기까지 181억원을 라이크기획에 인세로 지급하는 등 상장 후 현재까지 총 1427억원을 지급했다”고 밝히며 회사 측에 공개주주서한을 보낸 바 있다.SM엔터 입장에선 회사의 회계장부 열람권을 보유한 감사선임을 얼라인파트너스 측에 넘길 경우 라이크기획과의 계약 문제 등을 외부에 노출하게 된다. 이를 토대로 소수주주들이 이수만 프로듀서의 책임을 묻고 이사회 개편을 요구하는 등 경영권 분쟁에 나서는 걸 사전 차단하기 위한 행보로 풀이된다.
"
"""엑소·NCT 성과 지배구조에 묻혀""…얼라인파트너스, SM엔터에 주주제안",2022-02-21 16:27,한국경제,차준호 기자,"
이 기사는 02월 21일 16:25 “마켓인사이트”에 게재된 기사입니다.



골드만삭스·KKR 출신 이창환 대표가 이끄는 얼라인파트너스자산운용은 21일 SM엔터테인먼트(SM엔터)의 2021년도 정기주주총회에 곽준호 케이씨에프테크놀러지스(現 SK넥실리스) 전(前) CFO의 감사 선임을 안건으로 상정하는 주주제안을 했다고 밝혔다.이창환 대표는 “SM엔터는 케이팝 산업의 선구자로, 전세계 한류 열풍을 이끌며 뛰어난 사업 성과를 창출하고 있다”며, “다만 거버넌스 측면에서 아쉬움이 있다는 자본시장 인식으로 인해, 주식시장에서 가치를 제대로 평가받지 못하고 있다”고 주주제안의 배경을 설명했다. SM엔터는 NCT, EXO를 중심으로 지난 한 해 1731만장의 음반을 판매해, 동기간 방탄소년단 중심으로 1425만장을 판매한 하이브, 스트레이키즈와 트와이스를 중심으로 644만장을 판매한 JYP엔터테인먼트를 누르고 업계 1위에 올랐다. 이러한 성과에도 불구하고 회사의 시가총액은 1조 5763억원으로, 하이브(10조8553억원)의 6분의 1에도 미치지 못하고 있다는 게 얼라인파트너스의 주장이다. SM엔터의 주가는 지난해 3분기까지의 매출이 회사의 26%에 그친 JYP엔터테인먼트(1조4778억원)와 유사한 수준이다. 얼라인파트너스는 이같은 저평가에 대해 ""최근 잦은 분기순이익 어닝 쇼크 발생, 2021년 2월 국세청 세무조사를 통한 202억원의 세금 추징, 오랜 기간 지속되고 있는 최대주주와의 대규모 특수관계인 거래, 주주환원정책의 부재 등 다양한 요인으로 인해 자본시장의 신뢰도가 저하되어 있는 것이 주요 이유""라고 설명했다. 실제로, 2019년에는 KB자산운용에서 공개주주서한을 보내 유사한 문제들에 대해 에스엠에 변화를 요구한 바도 있다.얼라인파트너스는 ""최대주주인 이수만 SM엔터 총괄프로듀서 지분의 M&amp;A도 만일 진행된다면 100% 지분 매수가 아닌 대주주 지분에 한해서 프리미엄을 지급하며 매수하는 거래가 될 것""이라 덧붙였다. 이어 ""소수주주가 추천한 독립적인 감사 선임이 인수기업의 주주와 SM엔터 주주간에 발생할 수 있는 구조적 이해상충에 대한 우려를 완화하고 회사 주주가치를 보호하는데 도움이 될 것""이라고 설명했다.곽준호 감사 후보는 GS홈쇼핑 해외사업팀과 SK하이닉스 금융팀을 거쳐, 글로벌 사모펀드 KKR에 의해 오비맥주 자금팀에 영입되어 성공적인 투자 성과 창출에 기여하였고, 이후 KKR의 또다른 피투자회사인 전지박 세계 1위 기업 케이씨에프테크놀러지스의 경영지원본부장 CFO를 맡았다.곽 감사 후보는 “주주들께서 기회를 주신다면, 이때까지의 경험과 전문성을 살려 한국을 대표하는 종합 엔터테인먼트 기업 에스엠에 걸맞는 자본시장 신뢰를 확보하고 저평가 해소에 기여할 수 있도록 최선을 다하겠다”고 말했다.얼라인파트너스는 2021년 설립된 사모펀드 운용사로, 골드만삭스와 KKR 출신의 이창환 대표를 중심으로 경영권 바이아웃, M&amp;A, 피투자기업 가치증대, 상장기업 조사연구 경험을 보유한 인력들로 구성되어 있다. 코리아 디스카운트 현상에 주목해 바이아웃PE 스타일의 기업 리서치를 통해 발굴한 소수의 확신있는 국내 상장기업에 집중적으로 장기투자하는 운용사다.
"
"유재석·유희열, 원금 건질까…카카오엔터 '20조 만들기' 제동 [차준호의 썬데이IB]",2022-05-30 9:38,한국경제,차준호 기자,"
[한경 CFO Insight]자본시장 슈퍼갑 카카오도 돈 줄 막히나이 기사는 05월 27일 08:27 마켓인사이트에 게재된 기사입니다.



사진=JTBC 제공카카오엔터테인먼트(카카오엔터)가 주요 글로벌 사모펀드(PEF)를 대상으로 5000억원 규모의 상장전투자유치(프리IPO)를 추진 중이다. 카카오엔터가 발행한 신주를 투자자가 인수하는 방식이다. 막바지 협상 중인 SM엔터테인먼트(SM엔터) 인수 대금을 확보하고 재무구조를 개선하기 위한 행보로 풀이된다.다만 복수의 후보들이 약 13조~15조원까지 거론되는 카카오엔터의 기업가치를 두고 투자에 난색을 보이면서 투자자 물색에 어려움을 겪어왔다. 현재 한 곳의 재무적투자자(FI)와 논의를 진행하고 있지만 카카오엔터 측이 희망하는 몸값을 낮추거나 투자금 회수방안을 투자자에 보장하지 않으면 성사가 불투명할 것이란 전망이 우세하다. 업계에선 ""유동성 파티의 최전선에 있던 카카오 핵심 계열사마저 투자유치에 난항을 보일만큼 시장 상황이 급변했다""는 평가도 나온다.지난해 말 회사의 기업가치를 12조원으로 평가해 유상증자에 참여한 유희열·유재석 씨가 투자 원금 이상을 회수할 지 여부도 업계의 관심사다. 카카오엔터는 ""(자본확충을 위해) 다양한 방안을 검토중이나 현재 확정된 바 없다""는 입장이다.



 ""20兆 상장"" 자신하던 카카오엔터…PEF들 ""몸값 과도""카카오엔터는 카카오뱅크와 카카오페이를 이을 차기 IPO 주자로 주목받아온 카카오의 핵심 계열사다. 지난해 초 음원사업과 연예기획사업을 꾸려온 카카오M(옛 로엔엔터테인먼트)과 웹툰·웹소설 계열사인 카카오페이지가 합병해 탄생했다. 설립 이후 6년간 콘텐츠 제작사 및 연예 기획사들을 잇따라 인수해 계열사 47곳을 거느리는 대형사로 성장했다.지난해에도 북미기반의 웹툰 및 웹소설 플랫폼 래디시와 타파스를 인수하고 아티스트 유희열 씨가 세운 안테나를 인수하는 등 광폭 행보를 보였다. 당시 유희열 씨와 안테나 소속 연예인인 유재석씨가 카카오엔터의 유상증자에 참여하며 몸값이 12조원까지 평가됐다. 지난해 4월엔 이진수 카카오엔터 대표가 외신 인터뷰에서 ""20조원 이상의 기업가치로 상장에 나서겠다""며 자신감을 보여오기도 했다.



카카오그룹 내에서도 입지가 탄탄했던 카카오엔터에 대한 투자업계 분위기가 급랭한 것은 지난해 말 무렵이다. 당시 카카오엔터는 글로벌 PEF운용사인 KKR을 포함한 컨소시엄으로부터 약 1조원의 신규 투자 유치를 두고 협상을 벌여온 것으로 알려졌다. 당시 회사 기업가치는 18조원으로 평가됐다. 하지만 투자자 측이 막바지에 투자를 보류하면서 현금을 확보하는 데 실패했다. 이후 대형 PEF를 중심으로 제한적인 투자 유치에 돌입했지만 복수의 PEF들이 투자 의사를 접었다.이미 카카오엔터에 투자해 2대 주주에 올라있는 앵커PE가 다시 한 번 우군으로 참여할지 여부도 관건이다. 앵커PE는 2016년 카카오페이지에 약 1250억원, 2020년엔 카카오M에 2098억원을 투자했다. 이후 카카오페이지와 카카오M이 지난해 합병하면서 카카오엔터 지분 17.14%를 보유한 2대주주에 올랐다. 총 3300억원을 투자해 확보한 지분가치가 2조원 이상(카카오엔터 기업가치 12조원 가정시)까지 커졌다.'슈퍼甲' 카카오마저…프리IPO 급랭 현실화 IB업계에선 코로나19 이후 국내에서 가장 적극적으로 유동성을 흡수해온 카카오의 핵심계열사가 프리IPO에 난항을 겪는 것을 두고 ""시장 분위기가 변하긴 변했다""는 평가가 나온다. 카카오의 핵심 계열사들은 PEF로부터 투자유치를 받는 과정에서 다른 기업들이 일반적으로 투자자들에 보장해주는 IPO 확약·콜옵션·드래그얼롱(동반매도청구권) 등 투자자보호장치를 전혀 보장하지 않았다. 지난해 5월 일본 웹툰 플랫폼인 카카오픽코마를 8조8000억원으로 평가해 6000억원을 투입한 앵커에쿼티파트너스(앵커PE)도 어떠한 보장 없이 유상증자에 참여했다.그럼에도 PEF들의 구애가 끊이지 않았다. TPG컨소시엄 등 PEF로부터 5000억원을 투자받아 출범한 이후 몸값 10조원의 핵심 계열사로 성장한 카카오모빌리티, 프리IPO 이후 1년도 안 돼 상장하며 PEF에 단기간 수 배의 차익을 돌려준 카카오뱅크 등 성공사례가 이어지면서다.글로벌 PEF 내 관계자는 ""지난해 초 카카오엔터 프리IPO가 진행됐다면 대형 PEF 모두가 핵심 투자 운용역을 한 번이라도 만나려 줄을 섰을 것""이라며 ""카카오엔터가 과연 투자 조건을 양보하는 등 시장 상황에 적응하는 지 여부도 관전 요인이 될 것""이라고 말했다.업계에선 카카오엔터가 이번 추가 투자금 확보에 실패할 경우 자금 운용에도 차질을 겪을 가능성도 거론된다. 카카오엔터는 SM엔터 인수를 두고 1조원에 달하는 현금이 유출될 상황이지만 현재 회사의 현금 및 현금성 자산은 연결기준 2400억원 수준이다.다른 금융권 관계자도 ""금융권에서 인수금융을 활용하거나 단기자금을 확보하는 방안도 검토해 SM엔터 거래를 마무리 지을 가능성도 있지만 이렇게 시장환경이 급변할 것이라곤 카카오엔터 내부적으로도 판단을 못한 것 같다""고 말했다. 
"
"
			520만 유튜버 어썸하은, 업로드 뜸하다 했더니…SM 行
		",2022.04.20. 오전 11:30,None,None,None
"네이버, SM엔터 인수전 손 뗐다…카카오-CJ '2파전'",2022-04-22 11:52,한국경제,강경주 기자,"




이수만 SM엔터테인먼트 총괄 프로듀서 [사진=SM엔터테인먼트]네이버가 SM엔터테인먼트 지분 투자를 하지 않기로 최종 결정했다.22일 금융감독원 전자공시시스템에 따르면 김남선 네이버 최고재무책임자(CFO)는 ""당사는 사업 경쟁력 강화의 일환으로 다양한 방안을 검토 중이나 본 건에 대한 투자 검토는 하지 않는 것으로 결정했다""고 공시했다. 네이버가 이 사안 관련 방침을 확정해 알린 것은 이번이 처음이다.네이버는 카카오 등과 SM엔터테인먼트 최대주주인 이수만 대표 프로듀서(19.21%)의 지분 일부 또는 전부를 인수하기 위해 물밑 경쟁을 벌여온 것으로 알려졌다.네이버와 카카오는 지난해 5월 양사가 이 대표 프로듀서의 지분을 놓고 경쟁하고 있다는 언론 보도가 나온 뒤 한국거래소로부터 해명 요구를 받았다. 이후 양사는 짧게는 1개월, 길게는 6개월 간격으로 ""현 시점에서 구체적으로 결정된 사안은 없다""는 등의 해명 공시를 올려왔다.작년 10월에는 CJ ENM 역시 이 대표 프로듀서의 지분을 인수하고자 나선 것으로 알려져 관심을 모았다. CJ ENM 측은 ""음악 콘텐츠 사업 강화를 위해 SM엔터테인먼트 지분 인수 및 사업 시너지 등을 검토 중""이라며 ""최신 변동 사항은 없다""고 밝혔다. 카카오 측도 ""여러 방안을 지속적으로 검토 중이나 결정된 바는 없다""라는 원론적 입장만 전했다.



김남선 네이버 CFO [사진=네이버 제공]
"
