TITLE,DATE,PRESS,REPORTER,CONTENT
"
			'YG 신인' 베이비몬스터, 5인조 확정…양현석 ""5월 12일 공개""
		",2023.04.28. 오전 9:53,None,None,None
"
			로제·강동원 열애설 지속되자…YG ""사실 아냐"" [공식]
		",2023.04.17. 오후 5:12,None,None,None
"
			""블랙핑크 로제가 마약을…"" 中 허위 루머, YG 강경 대응 예고
		",2023.04.14. 오전 7:26,None,None,None
"
			블랙핑크 트레이닝 시키고, YG엔터 경영하고…게임 출시 예고
		",2023.04.14. 오전 9:42,None,None,None
음악·OTT·웹툰·게임으로 본 엔터테인먼트 M&amp;A 트렌드는 ? [삼정KPMG CFO Lounge],2023-04-20 15:02,한국경제,None,"
[한경 CFO Insight]김이동  삼정KPMG M&amp;A센터장 부대표이 기사는 04월 19일 10:32 마켓인사이트에 게재된 기사입니다.



행복과 위로를 주는 음악, 재미와 함께 삶의 의미를 생각하게 하는 드라마·영화·웹툰. 우리는 엔터테인먼트·미디어를 통해 감동하고, 결심하고, 때로는 꿈을 꾼다. 이와 같은 음악·영상·웹툰·게임 등 엔터테인먼트 산업에서 최근 주목할 만한 M&amp;A(인수·합병)가 다수 이뤄지고 있다.음악 산업의 경우 최근 카카오와 하이브의 SM엔터테인먼트 지분 투자 사례, 하이브의 미국 힙합 레이블 QC뮤직(QC미디어홀딩스) 및 엔터테인먼트 기업 이타카홀딩스 인수 사례 등 국내외 IP(지식재산권) 다각화와 경쟁력 강화를 위한 투자가 늘어나고 있다. 음악·엔터사는 다른 엔터·음반사를 인수한 후 본사 산하에 다양한 제작사를 두는 멀티 레이블 체제를 확대 중이다. 이를 통해 콘텐츠 비즈니스의 펀더멘털인 IP 포트폴리오를 강화하고, 시장의 저변을 넓히는 전략을 모색하고 있다. 또한 음악·엔터 기업은 공연 등 다양한 이벤트를 진행할 수 있는 메타버스 플랫폼이나 음원, 아티스트 관련 NFT(대체불가토큰) 비즈니스를 위한 블록체인 플랫폼에 투자하며 웹(Web) 3.0 생태계에 앞장서 대응하고 있다. 한 예로 2022년 하이브, YG엔터테인먼트 등은 국내 블록체인 플랫폼 개발사 람다256에 투자하며 블록체인 관련 사업의 전문성 확대를 모색하고 있다. 그 밖에도 음악·엔터 기업은 음악 시장 외 게임 산업, 커뮤니티 플랫폼 사업 등에 진출하며 사업 및 수익모델을 다각화하고 있다. 음원 저작권 조각투자와 같이 새롭게 형성된 시장에서도 투자가 이뤄지고 있다. 



영상 콘텐츠 산업은 OTT(온라인동영상서비스) 플랫폼을 중심으로 한 영상 시청 트렌드가 가속화됨에 따라 기업들도 새로운 트렌드에 대응하는 수단으로 M&amp;A를 적극 활용했다. OTT 플랫폼은 구독자를 확보하기 위해 양질의 콘텐츠 제작 역량을 M&amp;A를 통해 확보하고자 했다.미국의 디즈니, 아마존과 국내 티빙 등 국내외 대형 OTT 플랫폼 보유 기업은 우수한 콘텐츠를 자사의 플랫폼에 확보하기 위해 M&amp;A를 추진했다. 미국 디즈니의 21세기폭스 인수, 아마존의 MGM 인수 등 종합 콘텐츠 제작사 인수 행보와, 국내 티빙의 케이티시즌 인수 등 경쟁 OTT 플랫폼을 향한 M&amp;A가 이뤄졌다. 한편 우수한 콘텐츠를 제작하는 역량의 중요성이 강조되며, 콘텐츠 제작사도 적극적인 M&amp;A 행보를 보였다. 스튜디오드래곤, 에스엘엘중앙 등 국내 콘텐츠 제작사는 성공적인 콘텐츠 창작 경험을 보유한 제작사에 투자하며 우수한 제작 역량 확보를 위해 움직였다. 또한 영상 콘텐츠의 시청 플랫폼이 온라인으로 옮겨가며 ‘더 글로리’, ‘피지컬 100’ 등 국내 콘텐츠가 해외에서 적극 소비되는 등 영상 콘텐츠 시장의 국경 장벽이 낮아졌다. 해외 콘텐츠 플랫폼에 콘텐츠 공급이 용이해지면서 해외 시청자의 니즈에 맞는 콘텐츠를 생산할 수 있는 글로벌 콘텐츠 제작사를 인수하는 전략도 다수 수립되고 있다. 



웹툰 산업은 글로벌 시장 공략에 적극적이다. 최근 카카오엔터테인먼트는 미국 웹툰·웹소설 플랫폼 우시아월드, 타파스, 래디쉬 등을 인수했으며, 네이버웹툰은 북미 웹소설 플랫폼 왓패드를 인수했다. 또한 2022년 JTBC 드라마 ‘재벌집 막내아들’ 사례처럼 웹툰·웹소설 기반의 원천 콘텐츠 IP가 드라마 등으로 활용되어 흥행하는 사례가 증가하면서, 웹툰·웹소설 기업에 대한 투자가 확대되고 있다. 콘텐츠 기업들은 자사의 스토리 역량 강화를 위해 경쟁력 있는 콘텐츠 IP 및 작가를 보유한 웹툰·웹소설 플랫폼 인수에 나서며, 웹툰·웹소설 원작으로 출발한 IP를 드라마, 영화, 게임 등으로 확장하고자 한다.최근 사회 전반의 AI(인공지능) 열풍과 더불어 웹툰·웹소설 산업 내 AI 기술 관련 투자 또한 이뤄지고 있다. 카카오엔터테인먼트는 2018년 8월 AI 큐레이션 전문 국내 스타트업 마이셀럽스 지분 인수를 통해 취향 기반의 콘텐츠 추천 서비스를 도입했다. 네이버웹툰의 경우 2019년 12월 AI 기술 기업 비닷두 인수와 함께 조직 내 AI 전담 조직을 구축하며 AI 연구를 지속하고 있다. 향후 빠르게 발전하는 AI 기술에 대한 투자가 확대되며 콘텐츠 제작과 유통을 포함한 콘텐츠 생태계 전반의 혁신이 가속화될 것으로 보인다.신기술 확보를 위해 M&amp;A를 활용하는 움직임은 게임 기업들에게도 나타나고 있다. 클라우드 기술을 활용한 스트리밍 게임 플랫폼 개발, 메타버스 및 VR(가상현실) 기술을 활용한 VR 게임 디바이스 및 콘텐츠 개발 등 M&amp;A를 통한 게임 기업의 신성장동력 확보가 이뤄졌다. 국내 기업들은 특히 엔터테인먼트 기업과의 제휴를 통한 IP를 활용해 NFT, 디지털 휴먼 등 콘텐츠 IP 기반의 신사업 확장에 주력하고 있다.게임 산업의 M&amp;A에서는 게임 플랫폼 간의 규모 확대를 위한 경쟁과 새로운 동력을 찾기 위한 사업 다변화 트렌드 또한 부각된다. 게임 기업들은 콘텐츠의 지속적인 확보를 통해 규모의 경제 효과를 높이고, 클라우드와 메타버스 등의 신기술을 기반으로 한 비즈니스 기회를 모색한다. 마이크로소프트(엑스박스), 소니(플레이스테이션), 닌텐도(닌텐도 스위치) 등의 게임 디바이스 기업은 자사의 디바이스를 활용한 게임 플랫폼 경쟁에서 주도권을 차지하기 위해 게임 콘텐츠 기업 인수를 택했다. 다양한 게임을 제공하며 이용자를 유입하고 지속적으로 플랫폼을 구독하도록 하기 위해 마이크로소프트의 액티비전 블리자드 인수, 소니의 번지(Bungie) 인수 등의 게임 개발사를 둘러싼 대형 M&amp;A가 발표됐다. 다만, 이러한 M&amp;A 방식은 각국 정부의 독과점 우려로 이어질 수 있으므로, 오는 4월까지 독과점 우려를 해소하기 위한 대책을 제시해야 하는 액티비전 블리자드 인수 사례처럼, 각 기업이 대형 인수를 성사시키기 위해 내놓을 움직임에도 주목해야 한다. 엔터테인먼트·미디어 기업의 핵심 역량은 무형자산인 콘텐츠와 IP에 좌우되는 가운데, M&amp;A 전략을 수립할 때에는 무형자산 중심의 산업 특성이 중심에 놓여야 한다. 딜(Deal)소싱과 기업 밸류에이션(가치평가), 진행하는 딜의 성료에 이르기까지 콘텐츠 고유의 특징이 투영된 접근법이 필요하다. 아울러 서로 다른 콘텐츠의 가치와 가치를 연결해 여러 점을 선으로 만들고, 그 선을 이어 큰 그림으로 그려내는 ‘링킹닷츠(Linking dots)’ 기획력 또한 중차대하다. 사람의 생각과 꿈을 집대성해 또 다른 사람들의 꿈을 키워내는 엔터테인먼트 기업의 밸류에이션은 기존 방식과 달라야 한다. 기업의 가치는 기업이 창출하는 미래 현금흐름의 현재 가치의 합이라는 고전 이론은 통하지 않는다. 엔터테인먼트·미디어 기업에 부합하는 가치평가 요소를 기획해내고, 그 기업이 꾸고 있는 꿈을 함께 꾸려는 자가 많은지 등의 부가 요소까지 함께 고려해야, 꿈이 현실이 되는 콘텐츠 M&amp;A를 만들어낼 수 있다. 
"
"
			YG ""블랙핑크 지수 솔로 MV 촬영 중…해외 올로케이션""
		",2023.02.21. 오전 9:14,None,None,None
"
			'YG 신인' 베이비몬스터 마지막 멤버는 日 출신 20세 루카
		",2023.02.06. 오전 9:49,None,None,None
"
			'YG 신인' 베이비몬스터, 태국 출신 17세 파리타 공개
		",2023.02.02. 오전 11:37,None,None,None
"""블랙핑크 무난히 재계약"" 증권사 관측에 YG엔터 강세",2023-01-19 9:45,한국경제,신민경 기자,"




블랙핑크. 사진=YG엔터테인먼트YG엔터테인먼트 주가가 블랙핑크 재계약 가능성을 높게 점친 증권사 리포트에 힘입어 19일 장 초반 강세를 보이고 있다.이날 오전 9시34분 현재 YG엔터테인먼트는 전일 대비 1650원(3.32%) 오른 5만1300원에 거래되고 있다.앞서 이날 NH투자증권은 YG엔터테인먼트 종목 분석 보고서를 내고 블랙핑크 재계약 가능성이 높다고 관측했다. 이화정 NH투자증권 연구원은 ""여러 모멘텀이 존재함에도 여전히 주가가 경쟁사 대비 저평가 상태인 것은, 올 8월까지인 블랙핑크의 계약 만기가 가까워짐에 따라 관련 우려가 반영된 것""이라면서 ""재계약 관련해서 미리 부정적으로 짐작하고 대응할 필요는 없다. 블랙핑크 재계약은 무난한 진행이 예상되기 때문에 과도한 우려는 내려놓을 시점""이라고 말했다.아울러 이 연구원은 신인 걸그룹 '베이비몬스터'와 지드래곤(GD)의 활동 계획이 최근 공개된 가운데, 그간 지적돼 온 회사의 '과도한 단일 아티스트 의존도' 문제가 해소됐다는 진단도 내놓았다.한편 이날 YG엔터테인먼트는 공식 블로그에 '베이비몬스터'의 댄스 퍼포먼스 영상을 처음 공개했다. 영상에는 루카, 하람, 아사, 로라, 아현 다섯 멤버의 춤 연습 장면이 담겼다.
"
"
			YG 베이비몬스터, 13세 최연소 태국 멤버 치키타 '화제'
		",2023.01.24. 오전 11:15,None,None,None
