TITLE,DATE
"FNC엔터테인먼트, 한성호·김유식 공동대표이사 선임",2022-11-07 16:04
"
			""FT아일랜드·씨엔블루 잇는다""…정용화의 자신감 '하이파이유니콘' [종합]
		",2023.06.26. 오후 6:23
"
			FNC엔터도 NFT 사업 진출…판매 플랫폼 12월 1일 론칭
		",2021.11.24. 오전 9:26
"
			'FNC 출신' 김영선 그레이트엠 대표, 보이그룹 론칭한다
		",2023.01.12. 오후 1:44
"
			유재석, FNC 떠날까…카카오·안테나 ""논의했지만 확정 아냐""
		",2021.07.06. 오후 4:52
"FNC엔터 자회사, SK텔레콤 자회사 200억 투자 유치",2021-05-18 10:10
"
			AOA 설현, '10년 동행' FNC 떠난다…""업무 종료 협의"" [공식]
		",2022.10.20. 오후 3:55
"
			FNC, 트로트·걸그룹 전문 레이블 설립 [공식]
		",2021.02.03. 오전 8:53
"
			FNC, 자회사 설립…150억원 투자로 372곡 저작인접권 양수 [공식]
		",2021.03.03. 오전 9:11
[단독]'국민MC' 유재석 30억 투자해 안테나 3대 주주됐다,2023-06-26 17:48
"
			지민, AOA 탈퇴 이어 FNC도 떠났다…""계약 종료"" [공식]
		",2022.01.13. 오후 5:29
"
			FNC재팬 1호 걸그룹 프리킬, 멤버 5인 확정…전원 중학생
		",2022.01.24. 오전 10:29
"프랙시스, 비욘드뮤직 2000억원 추가 투자",2023-05-31 9:40
"
			유재석, FNC와 결별…""새로운 도전 원한다는 뜻 존중"" [전문]
		",2021.07.06. 오후 5:31
"
			정해인, FNC와 세 번째 계약…'9년째 의리 잇는다'
		",2021.05.11. 오전 11:18
"
			박지안, FNC엔터와 전속계약…""지원 아끼지 않을 것""
		",2021.05.18. 오전 11:34
"
			이홍기, FNC 이사 되나…""이단아 아닌 모범생""
		",2021.05.06. 오전 10:18
"
			'FNC 저격수' 이홍기, 재계약 당시 '라스' 효과 경험→달라진 계약서 공개
		",2021.05.05. 오전 8:24
"
			'테니스 전설' 이형택, FNC엔터와 전속계약…유재석·정형돈과 한솥밥
		",2021.02.01. 오전 11:00
"
			엔플라잉, FNC엔터와 재계약 [공식]
		",2021.02.19. 오전 9:37
"
			'라스' 이홍기, 소속사 저격수→FNC 청정구역 ""이미지 실추 조항 글씨 커져""
		",2021.05.06. 오전 9:04
"
			나캠든 측 ""이혼 후 떨어져 지낸 父 SNS에 고통…단호히 대처""
		",2023.04.25. 오전 11:40
"
			TV조선, 종합 엔터테인먼트 자회사 비스타컴퍼니 설립
		",2022.12.27. 오후 2:26
엔터사 끌어당기는 위버스…팬 커뮤니티 '통일'하나,2021-03-08 17:09
"'플로' 운영사 드림어스컴퍼니, 비욘드뮤직과 맞손…음원 IP 투자 늘린다",2022-03-14 14:16
"
			SF9 휘영·찬희, 방역수칙 위반 사과 [전문]
		",2022.01.27. 오후 5:22
"
			SF9 영빈, 3월 29일 육군 현역 입대…인성 이어 두 번째 [공식]
		",2022.02.15. 오전 9:38
"
			'술집 파티' 적발되고 콘서트…SF9 찬희·휘영, 황당한 팬 기만 [이슈+]
		",2022.01.28. 오전 11:03
"""잡주 취급받다가 '귀한 몸' 됐다""…유재석도 투자한 '이 주식'[연예 마켓+]",2021-11-20 14:42
"
			SF9 다원·휘영, 코로나19 확진 [공식]
		",2021.10.14. 오후 1:54
"
			SF9 인성, 코로나19 음성…컴백 쇼케이스는 불참 [공식]
		",2021.07.05. 오전 10:50
"
			엔플라잉 멤버 3명 코로나19 확진 [공식]
		",2021.09.03. 오후 3:56
"
			'몸값 100억설' 유재석, 최종 선택은 안테나…유희열 품으로 [공식]
		",2021.07.14. 오전 9:33
"
			SF9, '티어 드롭'으로 증명한 팀 컬러…'글로리' 세계관 성공적 마무리
		",2021.07.22. 오후 12:42
