TITLE,DATE
"
			JYP, 3년간 698명 아동 치료비 지원…박진영도 10억 기부
		",2022.12.28. 오후 2:18
"
			엔믹스 지니, 돌연 팀 탈퇴·JYP 전속계약 해지
		",2022.12.09. 오전 8:13
"JYP, 4분기 실적 개선 기대감에 52주 신고가 경신",2022-12-12 11:04
"""JYP엔터, 분기 최대 실적…내년도 흥행 기대, 목표가↑""-키움",2022-11-15 7:35
"""이번엔 JYP""…신한카드, '스트레이 키즈·있지' 카드 내놨다",2022-10-24 11:24
"""JYP·와이지, 향후 4개 분기 실적 가시성 가장 높아""-유안타",2022-09-01 8:17
마스크 벗고 희비 엇갈리는 '엔터주'…하이브 울고 SM·JYP 웃고,2022-10-17 16:01
"
			데이식스, JYP와 재계약…K팝 대표 밴드 명성 이어간다 [공식]
		",2022.09.26. 오전 8:31
"'덕질'에는 불황 없다…돈 쓸어담는 버블·위버스, 주가는?",2022-12-08 16:16
K팝 올해 더 높이 더 멀리 날았다…음반 수출 2825억 [연계소문],2022-12-24 14:02
"""급할 게 없다""…'한한령 해제' 기대감에도 '반전' 반응 [연계소문]",2022-12-18 13:06
"""아이돌 4세대로 간판교체""…엔터 대장주도 바뀔까",2022-11-16 16:22
"경기 침체에도 내년 영업이익률 30% 이상...""리노공업, 삼바 등 주목해야""",2022-11-21 17:05
"
			'영원한 딴따라' 박진영 컴백한다…21일 '그루브 백' 발매
		",2022.11.14. 오후 5:12
"걸그룹 '트리플에스' NFT, 편의점에서 만난다…GS25 독점 판매",2022-11-16 17:19
"
			트와이스 7년의 시간 돌아본다…전시회·팝업스토어 오픈
		",2022.10.25. 오전 9:46
"
			스트레이 키즈, 더블 밀리언셀러 등극…신보 218만장 팔아
		",2022.10.14. 오전 10:22
"코스피, 3거래일 연속 상승…2230선 회복",2022-10-06 9:22
"
			스트레이 키즈, 신보 선주문 224만장 돌파…더블 밀리언셀러 예고
		",2022.09.29. 오전 9:38
"남다른 걸그룹의 시도 ""어느 멤버가 뜰지 NFT 홀더들은 안다"" [긱스]",2022-09-06 16:10
신흥 부자 '롤모델' 초록뱀 원영식 회장…코스닥 쩐주에서 'CB 쩐주'로 활약,2022-11-22 18:10
게임·메타버스…신사업에 힘주는 K팝 기획사들,2022-11-20 17:34
"[스타워즈] 임진우, 다시 1위 탈환…성신양회로 하루 12% 수익",2022-10-25 8:02
"10월 넷째 주, 돈 되는 '알짜배기' 투자 정보는? [마켓PRO 위클리 리뷰]",2022-10-22 6:02
"코스피, 개인·외인 '사자'에 2200선 회복…카카오그룹株 낙폭 축소",2022-10-17 13:02
"[속보] 코스닥, 상승전환…680선 눈앞",2022-10-17 11:27
"
			스트레이 키즈, 일냈다…6개월만 또 美 '빌보드 200' 1위 [종합]
		",2022.10.17. 오전 7:24
"
			스트레이키즈 '빌보드 200' 또 1위
		",2022.10.17. 오후 6:22
"코스피, 2% 넘게 오르며 2200선 회복…코스닥 4% 넘게 ↑",2022-10-14 15:43
"코스피, 이틀 연속 상승 마감…코스닥은 외국인 이탈에 ↓",2022-10-05 15:43
"
			스트레이 키즈, 신보 선주문 237만장 돌파…더블 밀리언셀러 목전
		",2022.10.07. 오전 9:15
"
			덤덤한 듯 포근하게…수지, 음악으로 건넨 위로 '케이프' [신곡in가요]
		",2022.10.06. 오후 6:02
"[속보] 코스닥, 장중 하락 전환…700선 아래로",2022-10-05 10:09
"코스피, 장초반 약보합 흐름…삼성전자 또 신저가",2022-09-30 9:19
"코스피, 반발 매수세에 상승 마감…신약 임상 성공에 삼바 6%↑",2022-09-29 15:40
90년대생 컴퍼니빌더의 '종횡무진'…음원 IP 투자부터 뉴욕증시 진출까지 [긱스],2022-09-16 10:26
"코스피, 반발 매수세 유입되며 반등 시도…장초반 강보합세",2022-09-27 9:25
코스닥 700선 무너지고 환율 1430원 돌파…'블랙먼데이' 공포 [종합],2022-09-26 13:52
"
			""다섯 번 들으면 중독""…엔믹스, '믹스팝 굳히기' 주사위는 던져졌다 [종합]
		",2022.09.19. 오후 5:03
"코스피, 장중 2360선 깨져…LG엔솔 4%대 하락",2022-09-19 12:00
개미들 '패닉셀'에 무너졌다…코스피 3%·코스닥 5% 폭락,2022-09-26 16:00
"코스피, 외인·기관 팔자에 2380선 마감…삼성전자 상승 전환",2022-09-16 16:01
"'한류 ETF' 미국증시 첫 상장…""KPOP 티커 선점, 성공 자신""",2022-09-04 17:44
"라인 넥스트, 글로벌 NFT 플랫폼 '도시' 베타 버전 출시",2022-09-14 11:51
"
			량하 ""량현 2년째 연락두절…기다릴 수 있다""
		",2022.09.02. 오전 10:20
결국 본업이 최고…'시총 4조' JYP·'승승장구' YG [연계소문],2023-05-21 19:44
"JYP, 선한 영향력 쭉…서울아산병원에 치료비 2억원 기부 [공식]",2023-05-15 10:09
"JYP엔터 20% 폭등…""시총 6조 될 수도""",2023-05-16 17:53
"증권가, JYP엔터 목표가 잇따라 높여…""A2K 프로젝트 기대""",2023-05-16 8:39
미국판 트와이스 나온다…JYP 쓸어담는 외국인,2023-04-23 18:04
"JYP엔터, 트와이스 복귀…11.5만원 가능",2023-04-17 17:38
"JYP, 걸그룹 데뷔프로젝트 'A2K' 강력 모멘텀 될 수도…목표가↑-하나",2023-03-27 7:42
반도체 스타트업 찾은 과기부 장관…JYP는 벤처캐피털 설립 [Geeks' Briefing],2023-03-03 15:47
K팝 산업 투자하려면 JYP 사라,2023-03-02 14:42
하이브·SM 박 터지게 싸우는 와중에…JYP 조용히 웃는 이유,2023-02-22 10:56
"JYP 제쳤다…SM, 인수전 여파 9년만 코스닥 시총 10위권",2023-02-14 7:40
"코스피, 기관 '팔자'에 장중 하락 전환…코스닥은 상승세 유지",2023-05-31 13:14
