TITLE,DATE
"
			'YG 신인' 베이비몬스터, 5인조 확정…양현석 ""5월 12일 공개""
		",2023.04.28. 오전 9:53
"
			로제·강동원 열애설 지속되자…YG ""사실 아냐"" [공식]
		",2023.04.17. 오후 5:12
"
			""블랙핑크 로제가 마약을…"" 中 허위 루머, YG 강경 대응 예고
		",2023.04.14. 오전 7:26
"
			블랙핑크 트레이닝 시키고, YG엔터 경영하고…게임 출시 예고
		",2023.04.14. 오전 9:42
음악·OTT·웹툰·게임으로 본 엔터테인먼트 M&amp;A 트렌드는 ? [삼정KPMG CFO Lounge],2023-04-20 15:02
"
			YG ""블랙핑크 지수 솔로 MV 촬영 중…해외 올로케이션""
		",2023.02.21. 오전 9:14
"
			'YG 신인' 베이비몬스터 마지막 멤버는 日 출신 20세 루카
		",2023.02.06. 오전 9:49
"
			'YG 신인' 베이비몬스터, 태국 출신 17세 파리타 공개
		",2023.02.02. 오전 11:37
"""블랙핑크 무난히 재계약"" 증권사 관측에 YG엔터 강세",2023-01-19 9:45
"
			YG 베이비몬스터, 13세 최연소 태국 멤버 치키타 '화제'
		",2023.01.24. 오전 11:15
"양현석 복귀 후 새판 짜는 YG, 지디에 새 걸그룹까지…주가 급등",2023-01-02 14:50
"""YG엔터 저평가…블랙핑크 무난히 재계약할 듯""-NH",2023-01-19 8:00
블랙핑크 월드 투어·GD 복귀…YG엔터테인먼트 6% 올랐다,2023-03-17 18:29
"
			500만원까지 뛴 블랙핑크 티켓…음공협, 암표 근절 나선다
		",2023.04.28. 오후 4:01
"
			YG-대한항공 MOU 체결…블랙핑크 월드투어 후원
		",2023.03.15. 오후 2:06
"""YG엔터, 블랙핑크 재계약에 달린 주가…목표가는↑""-하나",2023-02-27 7:35
"
			빅뱅 태양 ""더블랙레이블 이적 이유? 계속 음악적으로 교류""
		",2023.04.25. 오전 8:22
"
			'YG 홀로 남은' 지드래곤 ""올해 새 앨범 준비 중""
		",2023.01.02. 오전 8:46
