TITLE,DATE
장민호 이어 비투비 이민혁도 확진…가요계 코로나 ‘초비상’,2021-07-17 20:06
"서신애도 피해 의혹···‘학폭 논란’ 수진, (여자)아이들 탈퇴 [전문]",2021-08-14 22:01
"
			가수 라이관린 측 “소송 자작극 주장은 루머... 법적 대응”
		",2020.11.26. 오후 5:37
"서신애, ‘학폭'  수진 겨냥 “잊혀지지 않는다, 울컥한 기억들”[전문]",2021-03-05 10:20
"비투비 정일훈, 상습 대마초 흡입 혐의… 소속사 “성실히 조사받겠다”",2020-12-21 22:46
"공개연애 현아·던 커플, 새 둥지서 내달 첫 앨범 낸다",2019-10-18 15:26
"KT에 팔리느냐, 디폴트냐… 속타는 딜라이브",2019-02-21 3:12
"걸그룹 르세라핌, 결국 학폭 의혹 논란 멤버 빼고 간다",2022-07-20 11:59
한물갔다고? ‘군대썰’ 풀며 아재美 뿜뿜하는 그들이 돌아왔다,2022-07-16 3:06
보살들 입는 펑퍼짐한 옷… 정국이도 니키도 입었네,2022-05-28 3:04
"20분에 5000만원… 3년 만의 대학축제, 연예인 몸값 껑충",2022-05-23 3:02
종부세 피하려 아파트 판 부자들이 찾는 다음 투자처는?,2021-12-21 13:01
"
			라이관린 손 들어준 법원… 판결문 들여다보니
		",2021.06.18. 오후 6:31
“서신애가 수진 미래 망쳐” 공격…엇나간 팬심에 피해자가 운다,2021-08-15 15:51
"“가만 안 둬, 너도 꼭…” 수진 팬들, 학폭 피해자 향해 ‘악플 테러’",2021-08-15 10:23
대마초 1억원어치 피워… 비투비 前멤버 정일훈 법정구속,2021-06-10 15:15
걸그룹 수진도 학폭 의혹…  “동생과 동생 친구들 서로 뺨 때리게 했다”,2021-02-21 21:03
수진 “서신애 괴롭힌 적 없어…입장 밝혀달라”,2021-03-20 11:09
"
			우한 폐렴 확산에… 아이돌도 국내외 일정 줄줄이 취소·연기
		",2020.01.31. 오후 4:31
"[아무튼, 주말] ""오빠, 화면에 저 보이면 하트 그려주세요""… 코로나도 못막는 영통 팬싸",2020-05-09 3:03
"용준형, ""'정준영 몰카 동영상' 봤다"" 뒤늦게 시인…하이라이트 탈퇴",2019-03-14 13:51
"""배우 서신애도 당했다""···수진, 학폭 논란 6개월만에 탈퇴 [전문]",2021-08-14 20:53
"'학폭 논란' 수진 ""나는 안 괴롭혀···서신애 명확하게 밝혀라""",2021-03-20 11:14
"
			'학폭 의혹' (여자)아이들 수진, 큐브 떠난다…전속계약 해지
		",2022.03.05. 오후 4:15
"
			펜타곤 홍석, 군입대 7개월 만에 의병 전역 “공황장애 악화”
		",2022.12.26. 오후 11:09
"
			""결혼해줘"" 커플링 자랑했는데…가수 현아·던, 7년만에 결별
		",2022.11.30. 오후 7:32
"‘슈룹’ 13명 왕자, 누가 시청자 마음 빼앗을 상인가",2022-11-23 0:02
13명 왕자 뜨거운 대결…'슈룹' 누가 시청자 마음 뺏을 상인가,2022-11-22 11:09
"
			이휘재, 가족과 돌연 캐나다行…“비난 여론, 상실감에 괴로워해”
		",2022.09.15. 오후 7:39
"""YG 허락 받아야""…2NE1, 美코첼라 비밀리에 등장한 까닭",2022-05-09 7:00
법원 “라이관린·큐브 사이 전속계약효력 존재하지 않아”,2021-06-17 19:33
'코로나 담당' 복지부차관 확진…방송가는 '런닝맨' 줄확진 비상,2022-02-11 18:26
"수진 일부 팬 ""너도 가만 안둬""…학폭 폭로자에 악플 테러",2021-08-15 13:18
가요계도 코로나 초비상…장민호·비투비 이민혁 확진,2021-07-17 17:41
‘대마 161차례 흡입 혐의’ 비투비 前멤버 정일훈에 징역 4년 구형,2021-05-20 16:48
"
			‘마약혐의’ 정일훈, 비투비 탈퇴…“깊이 반성하고 책임 통감”
		",2020.12.31. 오후 3:28
코로나發 위기에도 강한 '스튜디오 까에' 석달새 매출 11배 비결,2021-01-15 17:43
"서신애, 수진 학폭 폭로 ""2년간 복도 등 어디서나 욕설·비난""",2021-03-26 13:12
"
			브레이브걸스 사인 CD 중고거래 의혹에…이휘재 ""관리 소홀"" 사과
		",2021.03.22. 오후 12:04
"(여자)아이들 수진 소속사 ""학폭 주장 게시자·악플러 고소""",2021-03-20 0:22
'학폭의혹' 수진 활동중단···뒤늦게 주목받는 서신애 그 에세이,2021-03-05 12:31
"
			학폭 논란 수진, 활동 중단 ""다툼은 했으나 폭력은 없었다""
		",2021.03.04. 오후 10:05
"수진 측 ""학폭 허위"" 다음날, 동창 서신애 ""변명 그만"" 의미심장 글",2021-02-22 6:40
데뷔 직전 억울한 탈락…'프듀' 조작 피해자 12명 밝혀졌다,2020-11-18 11:55
"""뺨때리기 시켜"" 학폭 폭로에…걸그룹 수진 측 ""허위유포""",2021-02-21 18:38
조작 논란에도 GO! ‘아이즈원’ 마지막 항해…이가은·한초원은 지금?,2020-12-07 15:34
"정일훈, 5년간 가상화폐로 상습 마약...소속사 ""무거운 책임감""",2020-12-21 21:30
"BTS·슈퍼주니어 온라인 콘서트, 세계가 ‘미래의 공연’ 미리 봤다",2020-06-16 0:05
"수익 220억 방방콘, AR 무장 슈주쇼···K팝 온라인공연의 진화",2020-06-15 15:10
소속사에 전속계약 해지 통보한 라이관린 “왜인지 알고 싶다”,2019-07-22 23:21
칼군무·걸크러시…걸그룹 새 성공공식,2020-04-27 0:05
"
			청순발랄 대신 걸크러시에 칼군무...(여자)아이들이 보여주는 걸그룹 새 성공공식
		",2020.04.26. 오후 4:51
"
			워너원 라이관린, 소속사에 전속계약 해지 통보…큐브 “사유 없다”
		",2019.07.20. 오후 8:32
"
			워너원 라이관린, 큐브엔터테인먼트에 전속계약 해지 일방적 '통보'
		",2019.07.20. 오후 8:09
"
			라이관린-큐브, '권리 양도' 두고 입장 차…""동의 없었다""vs""계약 해지 사유 無·불순 세력 존재""
		",2019.07.23. 오후 4:52
"라이관린 ""전속계약 해지해달라"" vs 큐브 ""中 성공하자 누군가 부추겨"" [전문]",2019-07-23 16:29
"
			큐브, 새 유닛 선보인다…워너원 멤버 라이관린 출격
		",2019.02.20. 오후 6:51
"
			연예 마켓+ㅣ승리 성매매 알선 혐의…추락하는 YG, 빈자리 채울 신흥 강자는 누구?
		",2019.03.11. 오전 9:09
현아X이던 롤렉스 커플 시계 과시 … '능력자 여친의 힘',2019-04-04 10:28
"현아 x 스타일난다, 올 봄 패션 제안 '오늘 난 특별하게 드레스 업하길 원해'",2019-03-25 10:52
"
			""역대급 유닛 온다""...우석X관린, 3월 11일 데뷔 확정
		",2019.02.27. 오전 9:57
"
			싸이, 현아·이던 품었다…사랑까지 품어줄까
		",2019.01.28. 오전 9:24
"현아♥이던, 솔로들 더 슬프게 하는 리얼 커플의 '달달화보'",2019-01-18 13:41
"[마켓인사이트]에이핑크 소속사 플랜에이, 페이브엔터와 합병",2019-02-13 15:14
"
			현아♥이던, 싸이와 손 잡았다 … 신생 소속사 피네이션과 전속계약 체결
		",2019.01.27. 오후 11:07
"
			펜타곤 우석, 큐브 새 유닛 두번째 멤버…'우석X관린' 3월 데뷔 확정
		",2019.02.22. 오후 5:15
"
			(여자)아이들, 'LION' MV 2천만 뷰 돌파 기념…안무 연습 영상 공개
		",2019.11.28. 오전 8:17
"
			현아♥던, '아는형님' 동반 출연…""현아의 짝사랑, 던은 뽀뽀귀신""
		",2019.11.10. 오전 9:33
"
			현아 ""'플라워 샤워', 지나친 관심 받으면 썩는 꽃 나와 닮은 것 같았다""
		",2019.11.06. 오후 2:11
"현아♥던, 손 꼭 잡고 아름다운 경쟁 나섰지만…음원 성적은 '냉혹'",2019-11-06 15:12
"
			현아♥던, 아름다운 경쟁 시작됐다…가요계 유일무이 '애정 시너지' [종합]
		",2019.11.05. 오후 6:10
"현아♥던 ""열애 공개? 거짓말 무서웠다, 선택에 대한 책임 감수하기로""",2019-11-05 17:32
"
			현아 ""신경 써준 싸이 덕에 책임감 생겨, 열심히 하는 자극됐다""
		",2019.11.05. 오후 3:44
"
			던♥현아 커플사진 공개, 3년 차 연인의 달콤한 키스
		",2019.11.02. 오전 11:58
"
			""조커→구미호까지""…(여자)아이들, '싫다고 말해' 할로윈 버전 안무 영상 공개
		",2019.10.30. 오전 8:15
"
			""한국 행사 16시간 전 연락"" 라이관린, 취소 통보에 당혹
		",2019.10.18. 오후 2:53
"
			(여자)아이들 민니, 유튜버 웬지와 글로벌 콜라보…18일 'EMPIRE' 발표
		",2019.10.15. 오전 7:53
"
			씨엘씨(CLC), 'Devil' 안무 연습 영상 공개…칼군무로 중독성 눈길
		",2019.09.09. 오후 5:26
"
			워너원, 데뷔 2주년 모임가져 '끈끈 우정 과시'…강다니엘·군복무 윤지성 불참
		",2019.08.08. 오후 1:59
"
			펜타곤 미니 9집 'SUM(ME:R)', 美 빌보드 월드 앨범 차트 12위 진입
		",2019.07.29. 오후 5:03
"
			이휘재, 20년지기 매니저 경사 비용 전액지불 화제 '바늘과 실 같은 존재'
		",2019.07.15. 오후 4:14
"""한·중 콘텐츠 커머스로 새로운 K-뷰티 유통 기회 창출해야…""",2019-06-26 20:31
"6대기획사 연합 오디션 ""제2회 2019 메이킹아이돌 연합 오디션"" 개최...지원자격은?",2019-05-09 23:00
"
			비투비 프니엘, 오늘(13일) 새 솔로곡 발표…강성훈 논란 이상無
		",2019.05.13. 오후 4:55
"""뮤지컬 아이돌로 대중화 승부…美 시장 꼭 뚫겠다""",2019-05-07 17:38
'승리 게이트'에 YG·FNC 등 엔터주 시총 6000억 가까이 날아가,2019-03-17 10:08
"SKT, 싸이 설립 기획사에 50억 투자",2019-04-07 18:32
"""파괴적 혁신 중인 K팝·K게임…한국이 세계시장 '본부' 될 것""",2019-03-19 17:49
"
			펜타곤, ‘신토불이’ 안무 영상 공개…파워풀한 칼군무
		",2019.04.02. 오후 5:57
"코리아 인베스트먼트 페스티벌 2019, '핫스톡' CEO 총출동…참가신청 쇄도",2019-03-11 17:45
국내 최대 'IR 축제' 열립니다,2019-03-04 17:24
"
			하이라이트 측 ""용준형, 오는 4월 입대"" [공식입장]
		",2019.03.11. 오후 2:09
"
			라이관린, 5개국 아시아 팬미팅 투어 'Good Feeling' 개최
		",2019.03.06. 오후 1:27
"
			가을로 가는 기차, 25일 컴백…두 번째 싱글 '다시 이별' 발표
		",2019.02.19. 오후 6:21
"
			싸이 피네이션, 공격적 행보…제시 이어 현아·이던까지
		",2019.01.27. 오후 5:31
"
			""K팝 새바람 우리가 이끈다""…차세대 아이돌 잇따라 출격
		",2019.01.11. 오후 5:57
"
			트와이스, 걸그룹 최초 日돔투어 출격…'방탄소년단 동생' 신인그룹 데뷔 예고
		",2019.01.04. 오후 5:22
"
			싸이, 현아·이던 품었다
		",2019.01.27. 오후 4:08
