Date,Rank,Title,Artist,Score
2018-10-28,1,삐삐,아이유,10
2018-10-28,2,가을 타나 봐,바이브,10
2018-10-28,3,고백,양다일,10
2018-10-28,4,하루도 그대를 사랑하지 않은 적이 없었다,임창정,10
2018-10-28,5,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,10
2018-10-28,6,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"키드밀리 (Kid Milli), pH-1, 루피 (Loopy)",10
2018-10-28,7,시간이 들겠지 (Feat. Colde),로꼬,10
2018-10-28,8,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,10
2018-10-28,9,Way Back Home,숀 (SHAUN),10
2018-10-28,10,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),10
2018-10-28,11,우리 그만하자,로이킴,9
2018-10-28,12,헤어지는 중,펀치 (Punch),9
2018-10-28,13,이별길 (GOODBYE ROAD),iKON,9
2018-10-28,14,열애중,벤,9
2018-10-28,15,사이렌 (Siren),선미,9
2018-10-28,16,IDOL,방탄소년단,9
2018-10-28,17,사임사임 (Feat. CHANGMO),"수퍼비 (SUPERBEE), 쿠기 (Coogie), D.Ark (디아크)",9
2018-10-28,18,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), 양홍원, NO:EL",9
2018-10-28,19,flex (Prod. By 기리보이),"스윙스, 기리보이, 키드밀리 (Kid Milli), NO:EL",9
2018-10-28,20,내 생에 아름다운,케이윌,9
2018-10-28,21,억 (Feat. CHANGMO) (Prod. CHANGMO),수퍼비 (SUPERBEE),8
2018-10-28,22,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,8
2018-10-28,23,이별하러 가는 길,임한별,8
2018-10-28,24,미안해,양다일,8
2018-10-28,25,Change (Feat. GRAY) (Prod. 코드 쿤스트),키드밀리 (Kid Milli),8
2018-10-28,26,지나오다,닐로(Nilo),8
2018-10-28,27,Dance The Night Away,TWICE (트와이스),8
2018-10-28,28,꿈처럼 내린,다비치,8
2018-10-28,29,FAKE LOVE,방탄소년단,8
2018-10-28,30,비,폴킴,8
2018-10-28,31,밤편지,아이유,7
2018-10-28,32,I'm Fine,방탄소년단,7
2018-10-28,33,여행,볼빨간사춘기,7
2018-10-28,34,Power Up,Red Velvet (레드벨벳),7
2018-10-28,35,Friend,비투비,7
2018-10-28,36,Hate You (Feat. 우원재) (Prod. 코드 쿤스트),pH-1,7
2018-10-28,37,가을 안부,먼데이 키즈 (Monday Kiz),7
2018-10-28,38,벚꽃연가,첸 (CHEN),7
2018-10-28,39,119 (Feat. GRAY),"수퍼비 (SUPERBEE), 나플라 (nafla), 키드밀리 (Kid Milli), pH-1, 루피 (Loopy), OLNL (오르내림)",7
2018-10-28,40,동화,멜로망스,7
2018-10-28,41,그때 헤어지면 돼,로이킴,6
2018-10-28,42,너나 해 (Egotistic),마마무 (Mamamoo),6
2018-10-28,43,"셋 셀테니 (1, 2, 3!)",승리,6
2018-10-28,44,사랑을 했다 (LOVE SCENARIO),iKON,6
2018-10-28,45,봄날,방탄소년단,6
2018-10-28,46,Euphoria,방탄소년단,6
2018-10-28,47,너 없인 안 된다,비투비,6
2018-10-28,48,그날처럼,장덕철,6
2018-10-28,49,Forever Young,BLACKPINK,6
2018-10-28,50,SoulMate (Feat. 아이유),지코 (ZICO),6
2018-10-28,51,1도 없어,Apink (에이핑크),5
2018-10-28,52,선물,멜로망스,5
2018-10-28,53,GOD GOD GOD,EK,5
2018-10-28,54,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,5
2018-10-28,55,주지마,"로꼬, 화사 (Hwa Sa)",5
2018-10-28,56,매트리스,10CM,5
2018-10-28,57,넋두리,닐로(Nilo),5
2018-10-28,58,한(一),(여자)아이들,5
2018-10-28,59,You,멜로망스,5
2018-10-28,60,DNA,방탄소년단,5
2018-10-28,61,Answer : Love Myself,방탄소년단,4
2018-10-28,62,그리워하다,비투비,4
2018-10-28,63,HandClap,Fitz & The Tantrums,4
2018-10-28,64,좋은 날,멜로망스,4
2018-10-28,65,너에게,김민석 (멜로망스),4
2018-10-28,66,My Way,이수 (엠씨더맥스),4
2018-10-28,67,물어 (Prod. 기리보이),나플라 (nafla),4
2018-10-28,68,이별의 온도,린,4
2018-10-28,69,나,박원,4
2018-10-28,70,도망가지마,모트 (Motte),4
2018-10-28,71,죽겠다 (KILLING ME),iKON,3
2018-10-28,72,Shape of You,Ed Sheeran,3
2018-10-28,73,잘 지내요,정승환,3
2018-10-28,74,YOUNG,"백현 (BAEKHYUN), 로꼬",3
