Date,Rank,Title,Artist,Score
2019-01-01,1,180도,벤,10
2019-01-01,2,신용재,하은 (포맨),10
2019-01-01,3,SOLO,제니 (JENNIE),10
2019-01-01,4,아낙네,MINO (송민호),10
2019-01-01,5,MILLIONS,WINNER,10
2019-01-01,6,너를 만나,폴킴,10
2019-01-01,7,YES or YES,TWICE (트와이스),10
2019-01-01,8,내 생에 아름다운,케이윌,10
2019-01-01,9,첫눈에,헤이즈 (Heize),10
2019-01-01,10,Love Shot,EXO,10
2019-01-01,11,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,9
2019-01-01,12,가을 타나 봐,바이브,9
2019-01-01,13,삐삐,아이유,9
2019-01-01,14,고백,양다일,9
2019-01-01,15,아름답고도 아프구나,비투비,9
2019-01-01,16,Tempo,EXO,9
2019-01-01,17,흔한 이별,허각,9
2019-01-01,18,하루도 그대를 사랑하지 않은 적이 없었다,임창정,9
2019-01-01,19,Way Back Home,숀 (SHAUN),9
2019-01-01,20,이별하러 가는 길,임한별,9
2019-01-01,21,열애중,벤,8
2019-01-01,22,Bohemian Rhapsody (2011 Remaster),Queen,8
2019-01-01,23,"thank u, next",Ariana Grande,8
2019-01-01,24,IDOL,방탄소년단,8
2019-01-01,25,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"키드밀리 (Kid Milli), pH-1, 루피 (Loopy)",8
2019-01-01,26,봄바람,Wanna One (워너원),8
2019-01-01,27,동화 (feat. 아이유),김동률,8
2019-01-01,28,알았다면,장덕철,8
2019-01-01,29,습관 (Bad Habits),숀 (SHAUN),8
2019-01-01,30,지나오다,닐로(Nilo),8
2019-01-01,31,IndiGO,"저스디스 (JUSTHIS), 키드밀리 (Kid Milli), 양홍원, NO:EL",7
2019-01-01,32,우리 그만하자,로이킴,7
2019-01-01,33,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,7
2019-01-01,34,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),7
2019-01-01,35,시간이 들겠지 (Feat. Colde),로꼬,7
2019-01-01,36,너도 그냥 날 놓아주면 돼,윤건,7
2019-01-01,37,헤어지는 중,펀치 (Punch),7
2019-01-01,38,사이렌 (Siren),선미,7
2019-01-01,39,미안해,양다일,7
2019-01-01,40,Santa Tell Me,Ariana Grande,7
2019-01-01,41,밤편지,아이유,6
2019-01-01,42,너는 어땠을까,노을,6
2019-01-01,43,All I Want for Christmas Is You,Mariah Carey,6
2019-01-01,44,Dance The Night Away,TWICE (트와이스),6
2019-01-01,45,FAKE LOVE,방탄소년단,6
2019-01-01,46,Snowman,Sia,6
2019-01-01,47,Wind flower,마마무 (Mamamoo),6
2019-01-01,48,비,폴킴,6
2019-01-01,49,멋지게 인사하는 법 (Feat. 슬기 of Red Velvet),Zion.T,6
2019-01-01,50,행복,오반,6
2019-01-01,51,가을 안부,먼데이 키즈 (Monday Kiz),5
2019-01-01,52,봄날,방탄소년단,5
2019-01-01,53,너 없인 안 된다,비투비,5
2019-01-01,54,flex (Prod. By 기리보이),"스윙스, 기리보이, 키드밀리 (Kid Milli), NO:EL",5
2019-01-01,55,트라우마 (Trauma),EXO,5
2019-01-01,56,꿈처럼 내린,다비치,5
2019-01-01,57,그리워하다,비투비,5
2019-01-01,58,이별길 (GOODBYE ROAD),iKON,5
2019-01-01,59,수퍼비와 (Feat. BewhY) (Prod. BewhY),수퍼비 (SUPERBEE),5
2019-01-01,60,RBB (Really Bad Boy),Red Velvet (레드벨벳),5
2019-01-01,61,그때 헤어지면 돼,로이킴,4
2019-01-01,62,Gravity,EXO,4
2019-01-01,63,Wait,EXO,4
2019-01-01,64,I'm Fine,방탄소년단,4
2019-01-01,65,DNA,방탄소년단,4
2019-01-01,66,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유,4
2019-01-01,67,사랑 알 수 없나봐,폴킴,4
2019-01-01,68,그때가 좋았어,케이시 (Kassy),4
2019-01-01,69,닿은 순간 (Ooh La La La),EXO,4
2019-01-01,70,Universe,EXO,4
2019-01-01,71,첫눈처럼 너에게 가겠다,에일리(Ailee),3
2019-01-01,72,24/7,EXO,3
2019-01-01,73,에너제틱 (Energetic),Wanna One (워너원),3
2019-01-01,74,Goodbye,웬디 (WENDY),3
2019-01-01,75,Euphoria,방탄소년단,3
2019-01-01,76,크리스마스니까,"박효신, 성시경, 이석훈, 서인국, VIXX (빅스)",3
2019-01-01,77,오답 (Feat. 이민혁 of BTOB),김나영,3
2019-01-01,78,Sign,EXO,3
2019-01-01,79,"Finish Line Remix (Feat. pH-1, Woodie Gochild, HAON (김하온), Avatar Darko, Sik-K)",박재범,3
2019-01-01,80,여기 있을게 (Smile On My Face),EXO,3
2019-01-01,81,Beautiful,Wanna One (워너원),2
2019-01-01,82,사랑을 했다 (LOVE SCENARIO),iKON,2
2019-01-01,83,Save (Feat. 팔로알토)(Prod. 코드 쿤스트),루피 (Loopy),2
2019-01-01,84,여행,볼빨간사춘기,2
2019-01-01,85,그날처럼,장덕철,2
2019-01-01,86,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,2
2019-01-01,87,알러뷰,EXID,2
2019-01-01,88,Answer : Love Myself,방탄소년단,2
2019-01-01,89,선물,멜로망스,2
2019-01-01,90,가끔 (With You),EXO,2
2019-01-01,91,BOOMERANG (부메랑),Wanna One (워너원),1
2019-01-01,92,Damage,EXO,1
2019-01-01,93,후폭풍 (Bad Dream),EXO,1
2019-01-01,94,오아시스 (Oasis),EXO,1
2019-01-01,95,켜줘 (Light),Wanna One (워너원),1
2019-01-01,96,HandClap,Fitz & The Tantrums,1
2019-01-01,97,너나 해 (Egotistic),마마무 (Mamamoo),1
2019-01-01,98,Epiphany,방탄소년단,1
2019-01-01,99,불꽃놀이 (Flowerbomb),Wanna One (워너원),1
2019-01-01,100,주지마,"로꼬, 화사 (Hwa Sa)",1
2019-01-02,1,넘쳐흘러,엠씨더맥스 (M.C the MAX),10
2019-01-02,2,180도,벤,10
2019-01-02,3,벌써 12시,청하,10
2019-01-02,4,신용재,하은 (포맨),10
2019-01-02,5,SOLO,제니 (JENNIE),10
2019-01-02,6,MILLIONS,WINNER,10
2019-01-02,7,아낙네,MINO (송민호),10
2019-01-02,8,너를 만나,폴킴,10
2019-01-02,9,YES or YES,TWICE (트와이스),10
2019-01-02,10,내 생에 아름다운,케이윌,10
2019-01-02,11,첫눈에,헤이즈 (Heize),9
