Date,Rank,Title,Artist
2020-01-01,1,METEOR,창모 (CHANGMO)
2020-01-01,2,Psycho,Red Velvet (레드벨벳)
2020-01-01,3,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
2020-01-01,4,Blueming,아이유
2020-01-01,5,늦은 밤 너의 집 앞 골목길에서,노을
2020-01-01,6,Square (2017),백예린 (Yerin Baek)
2020-01-01,7,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영
2020-01-01,8,HIP,마마무 (Mamamoo)
2020-01-01,9,Love poem,아이유
2020-01-01,10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2020-01-01,11,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA"
2020-01-01,12,나의 오랜 연인에게,다비치
2020-01-01,13,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
2020-01-01,14,헤어진 우리가 지켜야 할 것들,"양다일, 김나영"
2020-01-01,15,조금 취했어 (Prod. 2soo),임재현
2020-01-01,16,십이월 이십오일의 고백,정승환
2020-01-01,17,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
2020-01-01,18,사랑이란 멜로는 없어,전상근
2020-01-01,19,안녕,폴킴
2020-01-01,20,이 번호로 전화해줘,바이브
2020-01-01,21,새 사랑,송하예
2020-01-01,22,빌었어,창모 (CHANGMO)
2020-01-01,23,"인기 (Feat. 송가인, 챈슬러)",MC몽
2020-01-01,24,첫 겨울이니까,"성시경, 아이유"
2020-01-01,25,있어줘요,장덕철
2020-01-01,26,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
2020-01-01,27,2002,Anne-Marie
2020-01-01,28,시든 꽃에 물을 주듯,HYNN (박혜원)
2020-01-01,29,포장마차,황인욱
2020-01-01,30,"Show Yourself (From ""Frozen 2""/Soundtrack Version)","Evan Rachel Wood, Idina Menzel"
2020-01-01,31,이별주,황인욱
2020-01-01,32,니 소식,송하예
2020-01-01,33,다시 만날까 봐,V.O.S
2020-01-01,34,Obsession,EXO
2020-01-01,35,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2020-01-01,36,시간의 바깥,아이유
2020-01-01,37,불티 (Spark),태연 (TAEYEON)
2020-01-01,38,BAND,"창모 (CHANGMO), Hash Swan, 김효은, ASH ISLAND"
2020-01-01,39,사랑에 연습이 있었다면 (Prod. 2soo),임재현
2020-01-01,40,기억해줘요 내 모든 날과 그때를,거미
2020-01-01,41,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz)
2020-01-01,42,Santa Tell Me,Ariana Grande
2020-01-01,43,bad guy,Billie Eilish
2020-01-01,44,차가워진 이 바람엔 우리가 써있어 (Bad Love),HYNN (박혜원)
2020-01-01,45,워커홀릭,볼빨간사춘기
2020-01-01,46,너를 만나,폴킴
2020-01-01,47,Señorita,"Shawn Mendes, Camila Cabello"
2020-01-01,48,숨겨진 세상 (Into the Unknown End Credit Version) (겨울왕국2),태연 (TAEYEON)
2020-01-01,49,술이 문제야,"장혜진, 윤민수(바이브)"
2020-01-01,50,그대라는 시,태연 (TAEYEON)
2020-01-01,51,Snowman,Sia
2020-01-01,52,가을밤 떠난 너,케이시 (Kassy)
2020-01-01,53,All I Want for Christmas Is You,Mariah Carey
2020-01-01,54,잘 살고 있다,V.O.S
2020-01-01,55,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB)
2020-01-01,56,Feel Special,TWICE (트와이스)
2020-01-01,57,허전해,폴킴
2020-01-01,58,중2병,"The Quiett, 팔로알토 (Paloalto), 염따, 딥플로우, 사이먼 도미닉"
