Date,Rank,Title,Artist
2022-06-01,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
2022-06-01,2,TOMBOY,(여자)아이들
2022-06-01,3,LOVE DIVE,IVE (아이브)
2022-06-01,4,사랑인가 봐,멜로망스
2022-06-01,5,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2022-06-01,6,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2022-06-01,7,나의 X에게,경서
2022-06-01,8,LOVE me,BE'O (비오)
2022-06-01,9,Feel My Rhythm,Red Velvet (레드벨벳)
2022-06-01,10,FEARLESS,LE SSERAFIM (르세라핌)
2022-06-01,11,취중고백,김민석 (멜로망스)
2022-06-01,12,GANADARA (Feat. 아이유),박재범
2022-06-01,13,사랑은 늘 도망가,임영웅
2022-06-01,14,ZOOM,제시 (Jessi)
2022-06-01,15,신호등,이무진
2022-06-01,16,INVU,태연 (TAEYEON)
2022-06-01,17,다정히 내 이름을 부르면,"전건호, 경서예지"
2022-06-01,18,듣고 싶을까,MSG워너비(M.O.M)
2022-06-01,19,ELEVEN,IVE (아이브)
2022-06-01,20,MY BAG,(여자)아이들
2022-06-01,21,우리들의 블루스,임영웅
2022-06-01,22,STAY,"Justin Bieber, The Kid LAROI"
2022-06-01,23,That's Hilarious,Charlie Puth
2022-06-01,24,내가 아니라도,주호
2022-06-01,25,너를 생각해,주시크 (Joosiq)
2022-06-01,26,Next Level,aespa
2022-06-01,27,다시 만날 수 있을까,임영웅
2022-06-01,28,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
2022-06-01,29,Weekend,태연 (TAEYEON)
2022-06-01,30,언제나 사랑해,케이시 (Kassy)
2022-06-01,31,SMILEY (Feat. BIBI),YENA (최예나)
2022-06-01,32,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
2022-06-01,33,드라마,아이유
2022-06-01,34,HOT,세븐틴 (SEVENTEEN)
2022-06-01,35,너의 모든 순간,성시경
2022-06-01,36,아무래도 난,주시크 (Joosiq)
2022-06-01,37,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
2022-06-01,38,Dynamite,방탄소년단
2022-06-01,39,strawberry moon,아이유
2022-06-01,40,Seoul,볼빨간사춘기
2022-06-01,41,RUN2U,STAYC(스테이씨)
2022-06-01,42,내 손을 잡아,아이유
2022-06-01,43,Beatbox,NCT DREAM
2022-06-01,44,"스물다섯, 스물하나",자우림
2022-06-01,45,이제 나만 믿어요,임영웅
2022-06-01,46,Butter,방탄소년단
2022-06-01,47,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
2022-06-01,48,호랑수월가,탑현
2022-06-01,49,눈이 오잖아(Feat.헤이즈),이무진
2022-06-01,50,바라만 본다,MSG워너비(M.O.M)
2022-06-01,51,Celeb,싸이 (PSY)
2022-06-01,52,라일락,아이유
2022-06-01,53,미친 것처럼,V.O.S
2022-06-01,54,Counting Stars (Feat. Beenzino),BE'O (비오)
2022-06-01,55,Step Back,GOT the beat
2022-06-01,56,밤하늘의 별을(2020),경서
2022-06-01,57,Permission to Dance,방탄소년단
2022-06-01,58,Bad Habits,Ed Sheeran
2022-06-01,59,Savage,aespa
2022-06-01,60,Off My Face,Justin Bieber
2022-06-01,61,Celebrity,아이유
2022-06-01,62,고백,멜로망스
2022-06-01,63,Darl+ing,세븐틴 (SEVENTEEN)
2022-06-01,64,문득,BE'O (비오)
2022-06-01,65,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
2022-06-01,66,팡파레,다비치
2022-06-01,67,Blueming,아이유
2022-06-01,68,롤린 (Rollin'),브레이브걸스
2022-06-01,69,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
2022-06-01,70,찰나가 영원이 될 때 (The Eternal Moment),마크툽 (MAKTUB)
2022-06-01,71,존재만으로,원슈타인
2022-06-01,72,사랑인걸,한동근
2022-06-01,73,헤픈 우연,헤이즈 (Heize)
2022-06-01,74,Dun Dun Dance,오마이걸 (OH MY GIRL)
2022-06-01,75,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
2022-06-01,76,무지개,임영웅
2022-06-01,77,초대,멜로망스
2022-06-01,78,봄날,방탄소년단
2022-06-01,79,With you,"지민, 하성운"
2022-06-01,80,abcdefu,GAYLE
2022-06-01,81,아버지,임영웅
2022-06-01,82,My Universe,"Coldplay, 방탄소년단"
2022-06-01,83,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식 (Basick)
2022-06-01,84,Dreams Come True,aespa
2022-06-01,85,"너, 너 (N번째 연애 X 휘인 (Whee In))",휘인 (Whee In)
2022-06-01,86,도깨비불 (Illusion),aespa
2022-06-01,87,감동이야 (feat. 성시경),싸이 (PSY)
2022-06-01,88,서랍,10CM
2022-06-01,89,손이 참 곱던 그대,임영웅
2022-06-01,90,버퍼링 (Glitch Mode),NCT DREAM
2022-06-01,91,어제처럼,폴킴
2022-06-01,92,낙하 (with 아이유),AKMU (악뮤)
2022-06-01,93,A bientot,임영웅
2022-06-01,94,사랑해 진짜,임영웅
2022-06-01,95,나는 트로트가 싫어요,임창정
2022-06-01,96,인생찬가,임영웅
2022-06-01,97,연애편지,임영웅
2022-06-01,98,Real Love,오마이걸 (OH MY GIRL)
2022-06-01,99,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비
2022-06-01,100,DON QUIXOTE,세븐틴 (SEVENTEEN)
2022-06-02,1,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
2022-06-02,2,TOMBOY,(여자)아이들
2022-06-02,3,LOVE DIVE,IVE (아이브)
2022-06-02,4,사랑인가 봐,멜로망스
2022-06-02,5,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
2022-06-02,6,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
2022-06-02,7,나의 X에게,경서
2022-06-02,8,LOVE me,BE'O (비오)
2022-06-02,9,Feel My Rhythm,Red Velvet (레드벨벳)
2022-06-02,10,FEARLESS,LE SSERAFIM (르세라핌)
2022-06-02,11,취중고백,김민석 (멜로망스)
2022-06-02,12,GANADARA (Feat. 아이유),박재범
2022-06-02,13,사랑은 늘 도망가,임영웅
2022-06-02,14,ZOOM,제시 (Jessi)
2022-06-02,15,신호등,이무진
2022-06-02,16,INVU,태연 (TAEYEON)
2022-06-02,17,다정히 내 이름을 부르면,"전건호, 경서예지"
2022-06-02,18,듣고 싶을까,MSG워너비(M.O.M)
2022-06-02,19,ELEVEN,IVE (아이브)
2022-06-02,20,MY BAG,(여자)아이들
2022-06-02,21,STAY,"Justin Bieber, The Kid LAROI"
2022-06-02,22,우리들의 블루스,임영웅
2022-06-02,23,That's Hilarious,Charlie Puth
2022-06-02,24,내가 아니라도,주호
2022-06-02,25,너를 생각해,주시크 (Joosiq)
2022-06-02,26,Next Level,aespa
2022-06-02,27,Weekend,태연 (TAEYEON)
2022-06-02,28,언제나 사랑해,케이시 (Kassy)
2022-06-02,29,SMILEY (Feat. BIBI),YENA (최예나)
2022-06-02,30,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
2022-06-02,31,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
2022-06-02,32,다시 만날 수 있을까,임영웅
2022-06-02,33,HOT,세븐틴 (SEVENTEEN)
2022-06-02,34,너의 모든 순간,성시경
2022-06-02,35,드라마,아이유
2022-06-02,36,아무래도 난,주시크 (Joosiq)
2022-06-02,37,Dynamite,방탄소년단
2022-06-02,38,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오)
2022-06-02,39,strawberry moon,아이유
2022-06-02,40,Seoul,볼빨간사춘기
2022-06-02,41,RUN2U,STAYC(스테이씨)
2022-06-02,42,내 손을 잡아,아이유
2022-06-02,43,Butter,방탄소년단
2022-06-02,44,Beatbox,NCT DREAM
2022-06-02,45,"스물다섯, 스물하나",자우림
2022-06-02,46,OHAYO MY NIGHT,"디핵 (D-Hack), PATEKO (파테코)"
2022-06-02,47,이제 나만 믿어요,임영웅
2022-06-02,48,바라만 본다,MSG워너비(M.O.M)
