Date,Rank,Title,Artist,Score,entertain
2018-12-26,88,우리 그만 아프자,이현,2,하이브
2018-12-27,96,우리 그만 아프자,이현,1,하이브
2018-10-28,16,IDOL,방탄소년단,9,하이브
2018-10-28,29,FAKE LOVE,방탄소년단,8,하이브
2018-10-28,32,I'm Fine,방탄소년단,7,하이브
2018-10-28,45,봄날,방탄소년단,6,하이브
2018-10-28,46,Euphoria,방탄소년단,6,하이브
2018-10-28,54,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,5,하이브
2018-10-28,60,DNA,방탄소년단,5,하이브
2018-10-28,61,Answer : Love Myself,방탄소년단,4,하이브
2018-10-28,77,Epiphany,방탄소년단,3,하이브
2018-10-28,86,Trivia 轉 : Seesaw,방탄소년단,2,하이브
2018-10-28,87,Anpanman,방탄소년단,2,하이브
2018-10-28,93,Trivia 起 : Just Dance,방탄소년단,1,하이브
2018-10-29,19,IDOL,방탄소년단,9,하이브
2018-10-29,29,FAKE LOVE,방탄소년단,8,하이브
2018-10-29,35,I'm Fine,방탄소년단,7,하이브
2018-10-29,45,봄날,방탄소년단,6,하이브
2018-10-29,50,Euphoria,방탄소년단,6,하이브
2018-10-29,57,DNA,방탄소년단,5,하이브
2018-10-29,58,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,5,하이브
2018-10-29,66,Answer : Love Myself,방탄소년단,4,하이브
2018-10-29,80,Epiphany,방탄소년단,3,하이브
2018-10-29,84,Anpanman,방탄소년단,2,하이브
2018-10-29,87,Trivia 轉 : Seesaw,방탄소년단,2,하이브
2018-10-29,93,Trivia 起 : Just Dance,방탄소년단,1,하이브
2018-10-29,96,Airplane pt.2,방탄소년단,1,하이브
2018-10-29,99,Trivia 承 : Love,방탄소년단,1,하이브
2018-10-30,19,IDOL,방탄소년단,9,하이브
2018-10-30,30,FAKE LOVE,방탄소년단,8,하이브
2018-10-30,34,I'm Fine,방탄소년단,7,하이브
2018-10-30,46,봄날,방탄소년단,6,하이브
2018-10-30,52,Euphoria,방탄소년단,5,하이브
2018-10-30,56,DNA,방탄소년단,5,하이브
2018-10-30,59,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,5,하이브
2018-10-30,68,Answer : Love Myself,방탄소년단,4,하이브
2018-10-30,81,Epiphany,방탄소년단,2,하이브
2018-10-30,85,Anpanman,방탄소년단,2,하이브
2018-10-30,86,Trivia 轉 : Seesaw,방탄소년단,2,하이브
2018-10-30,96,Trivia 起 : Just Dance,방탄소년단,1,하이브
2018-10-30,98,Airplane pt.2,방탄소년단,1,하이브
2018-10-31,18,IDOL,방탄소년단,9,하이브
2018-10-31,29,FAKE LOVE,방탄소년단,8,하이브
2018-10-31,33,I'm Fine,방탄소년단,7,하이브
2018-10-31,45,봄날,방탄소년단,6,하이브
2018-10-31,50,Euphoria,방탄소년단,6,하이브
2018-10-31,58,DNA,방탄소년단,5,하이브
2018-10-31,60,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,5,하이브
2018-10-31,70,Answer : Love Myself,방탄소년단,4,하이브
2018-10-31,81,Epiphany,방탄소년단,2,하이브
2018-10-31,83,Anpanman,방탄소년단,2,하이브
2018-10-31,87,Trivia 轉 : Seesaw,방탄소년단,2,하이브
2018-10-31,96,Trivia 起 : Just Dance,방탄소년단,1,하이브
2018-10-31,98,Airplane pt.2,방탄소년단,1,하이브
2018-11-01,18,IDOL,방탄소년단,9,하이브
2018-11-01,29,FAKE LOVE,방탄소년단,8,하이브
2018-11-01,33,I'm Fine,방탄소년단,7,하이브
2018-11-01,43,봄날,방탄소년단,6,하이브
2018-11-01,53,Euphoria,방탄소년단,5,하이브
2018-11-01,57,DNA,방탄소년단,5,하이브
2018-11-01,61,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,4,하이브
2018-11-01,69,Answer : Love Myself,방탄소년단,4,하이브
2018-11-01,81,Epiphany,방탄소년단,2,하이브
2018-11-01,82,Anpanman,방탄소년단,2,하이브
2018-11-01,87,Trivia 轉 : Seesaw,방탄소년단,2,하이브
2018-11-01,97,Trivia 起 : Just Dance,방탄소년단,1,하이브
2018-11-01,98,Airplane pt.2,방탄소년단,1,하이브
2018-11-02,19,IDOL,방탄소년단,9,하이브
2018-11-02,30,FAKE LOVE,방탄소년단,8,하이브
2018-11-02,38,I'm Fine,방탄소년단,7,하이브
2018-11-02,45,봄날,방탄소년단,6,하이브
2018-11-02,58,Euphoria,방탄소년단,5,하이브
2018-11-02,61,DNA,방탄소년단,4,하이브
2018-11-02,69,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,4,하이브
2018-11-02,77,Answer : Love Myself,방탄소년단,3,하이브
2018-11-02,87,Epiphany,방탄소년단,2,하이브
2018-11-02,92,Anpanman,방탄소년단,1,하이브
2018-11-02,95,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-03,22,IDOL,방탄소년단,8,하이브
2018-11-03,36,FAKE LOVE,방탄소년단,7,하이브
2018-11-03,43,I'm Fine,방탄소년단,6,하이브
2018-11-03,50,봄날,방탄소년단,6,하이브
2018-11-03,63,Euphoria,방탄소년단,4,하이브
2018-11-03,66,DNA,방탄소년단,4,하이브
2018-11-03,72,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-03,82,Answer : Love Myself,방탄소년단,2,하이브
2018-11-03,89,Epiphany,방탄소년단,2,하이브
2018-11-03,92,Anpanman,방탄소년단,1,하이브
2018-11-03,97,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-04,21,IDOL,방탄소년단,8,하이브
2018-11-04,36,FAKE LOVE,방탄소년단,7,하이브
2018-11-04,40,I'm Fine,방탄소년단,7,하이브
2018-11-04,51,봄날,방탄소년단,5,하이브
2018-11-04,64,Euphoria,방탄소년단,4,하이브
2018-11-04,71,DNA,방탄소년단,3,하이브
2018-11-04,74,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,3,하이브
2018-11-04,83,Answer : Love Myself,방탄소년단,2,하이브
2018-11-04,91,Epiphany,방탄소년단,1,하이브
2018-11-04,95,Anpanman,방탄소년단,1,하이브
2018-11-04,96,Trivia 轉 : Seesaw,방탄소년단,1,하이브
2018-11-05,23,IDOL,방탄소년단,8,하이브
2018-11-05,39,FAKE LOVE,방탄소년단,7,하이브
2018-11-05,44,I'm Fine,방탄소년단,6,하이브
