날짜,종목명,종가,시가,고가,저가,거래량
2023.06.30,큐브엔터,25300,23850,25500,23800,248504
2023.06.29,큐브엔터,24200,24300,24800,23650,186495
2023.06.28,큐브엔터,24400,25400,25400,24300,170535
2023.06.27,큐브엔터,25200,25150,25300,24500,159822
2023.06.26,큐브엔터,25200,24900,26200,24550,471247
2023.06.23,큐브엔터,24850,24900,25200,24300,288271
2023.06.22,큐브엔터,24800,26050,26700,24700,734643
2023.06.21,큐브엔터,26500,27750,28200,26500,820406
2023.06.20,큐브엔터,27500,25300,27500,24800,1850441
2023.06.19,큐브엔터,24550,23200,24650,22650,580521
2023.06.16,큐브엔터,23250,22250,23800,21850,607507
2023.06.15,큐브엔터,22100,22700,22850,21700,180434
2023.06.14,큐브엔터,22400,21900,22550,21700,361698
2023.06.13,큐브엔터,21800,21550,22050,21350,169088
2023.06.12,큐브엔터,21450,21450,21650,21100,115921
2023.06.09,큐브엔터,21400,21400,21950,21350,152179
2023.06.08,큐브엔터,21250,21500,21600,21050,140626
2023.06.07,큐브엔터,21650,22400,22500,21350,230168
2023.06.05,큐브엔터,22350,22000,22450,21750,392628
2023.06.02,큐브엔터,21450,21600,21700,21000,252578
2023.06.01,큐브엔터,21400,20000,21400,19980,528099
2023.05.31,큐브엔터,19800,20350,20400,19800,206904
2023.05.30,큐브엔터,20350,19850,20400,19340,333837
2023.05.26,큐브엔터,19780,19960,20300,19700,222194
2023.05.25,큐브엔터,19880,20750,20800,19660,582193
2023.05.24,큐브엔터,21050,21600,22150,21050,418933
2023.05.23,큐브엔터,21450,21700,21700,21100,244644
2023.05.22,큐브엔터,21450,21350,21650,20600,343940
2023.05.19,큐브엔터,21000,22700,22700,20600,783324
2023.05.18,큐브엔터,22600,23900,23900,22500,437042
2023.05.17,큐브엔터,23550,23400,24050,22800,680464
2023.05.16,큐브엔터,22900,24150,24550,22050,1107124
2023.05.15,큐브엔터,24300,25650,25650,23400,556527
2023.05.12,큐브엔터,25200,25500,26000,24700,548699
2023.05.11,큐브엔터,24850,24050,25700,23300,428510
