날짜,종목명,종가,시가,고가,저가,거래량
2023.06.30,에프엔씨엔터,8200,7990,8250,7780,84404
2023.06.29,에프엔씨엔터,7990,7680,8020,7630,92121
2023.06.28,에프엔씨엔터,7750,7760,7890,7520,55210
2023.06.27,에프엔씨엔터,7780,7530,7840,7410,58218
2023.06.26,에프엔씨엔터,7640,7640,7820,7530,58911
2023.06.23,에프엔씨엔터,7830,7850,7980,7420,118995
2023.06.22,에프엔씨엔터,7850,7550,7920,7410,115094
2023.06.21,에프엔씨엔터,7700,7800,7930,7250,244224
2023.06.20,에프엔씨엔터,7800,7880,7990,7390,238914
2023.06.19,에프엔씨엔터,7580,6800,7980,6650,746872
2023.06.16,에프엔씨엔터,6600,6750,6750,6420,56453
2023.06.15,에프엔씨엔터,6750,6780,7060,6480,65570
2023.06.14,에프엔씨엔터,6810,6590,6930,6450,83590
2023.06.13,에프엔씨엔터,6470,6880,6890,6410,85730
2023.06.12,에프엔씨엔터,6710,6260,7070,6260,318223
2023.06.09,에프엔씨엔터,6240,6180,6390,6090,93469
2023.06.08,에프엔씨엔터,6160,5960,6220,5930,63372
2023.06.07,에프엔씨엔터,5960,5980,6250,5960,13875
2023.06.05,에프엔씨엔터,6030,5980,6030,5870,14786
2023.06.02,에프엔씨엔터,6010,5870,6150,5870,29195
2023.06.01,에프엔씨엔터,5870,5850,5920,5810,13733
2023.05.31,에프엔씨엔터,5850,5800,5930,5780,16636
2023.05.30,에프엔씨엔터,5830,5820,5850,5720,9101
2023.05.26,에프엔씨엔터,5820,5620,5870,5480,18322
2023.05.25,에프엔씨엔터,5620,5730,5740,5600,12513
2023.05.24,에프엔씨엔터,5800,5810,5820,5560,19117
2023.05.23,에프엔씨엔터,5800,5870,5870,5730,11963
2023.05.22,에프엔씨엔터,5900,5890,5930,5770,30462
2023.05.19,에프엔씨엔터,5950,5800,6670,5700,224480
2023.05.18,에프엔씨엔터,5740,5660,5780,5600,70271
2023.05.17,에프엔씨엔터,5660,5400,5870,5250,139553
2023.05.16,에프엔씨엔터,5330,5250,5340,5120,14958
2023.05.15,에프엔씨엔터,5110,5300,5300,5100,5826
2023.05.12,에프엔씨엔터,5260,5350,5360,5090,20363
2023.05.11,에프엔씨엔터,5240,5170,5290,5150,7793
2023.05.10,에프엔씨엔터,5160,5170,5380,5120,11373
