날짜,종목명,종가,시가,고가,저가,거래량
2023.06.30,하이브,281500,280500,284500,276000,206049
2023.06.29,하이브,279500,284000,291000,278000,187764
2023.06.28,하이브,285000,294500,294500,284000,166864
2023.06.27,하이브,292000,298500,298500,285500,289388
2023.06.26,하이브,298000,299000,303500,296000,125709
2023.06.23,하이브,301000,307000,308500,297500,246155
2023.06.22,하이브,307000,295000,312500,291000,560667
2023.06.21,하이브,296500,300500,303500,294500,233629
2023.06.20,하이브,300500,299500,303500,298000,221852
2023.06.19,하이브,300500,298500,306500,295000,221540
2023.06.16,하이브,297500,302500,303000,295000,213190
2023.06.15,하이브,300500,296000,302500,295500,329373
2023.06.14,하이브,292000,295000,307500,288500,448757
2023.06.13,하이브,294000,294500,296500,289000,209505
2023.06.12,하이브,294000,284500,295000,281000,402574
2023.06.09,하이브,280500,270500,286500,269000,430504
2023.06.08,하이브,268000,267500,271000,265000,151260
2023.06.07,하이브,269000,265000,272000,265000,174858
2023.06.05,하이브,265000,270000,271000,264000,165535
2023.06.02,하이브,270000,276000,278000,263500,448545
2023.06.01,하이브,277500,274000,283000,272500,273680
2023.05.31,하이브,274000,272500,279000,270000,250839
2023.05.30,하이브,276000,270500,278500,265500,198316
2023.05.26,하이브,270000,264500,272000,263000,192873
2023.05.25,하이브,267000,263000,272000,262500,183552
2023.05.24,하이브,267500,278000,278500,263500,309525
2023.05.23,하이브,273000,271000,273500,267500,236713
2023.05.22,하이브,269000,281000,281000,261000,483751
2023.05.19,하이브,281000,286000,288500,276500,205231
2023.05.18,하이브,286000,292500,294000,284500,159742
2023.05.17,하이브,292000,285000,295000,282500,372362
2023.05.16,하이브,284000,279000,288000,276500,297601
2023.05.15,하이브,278500,280000,289500,276500,160301
2023.05.12,하이브,282000,280500,287500,277500,243863
2023.05.11,하이브,277500,281000,282000,269000,210118
2023.05.10,하이브,279500,277500,282500,271000,171679
2023.05.09,하이브,277500,278000,283000,273000,182461
2023.05.08,하이브,279000,290000,294500,276000,309476
2023.05.04,하이브,292500,295000,298000,284000,258060
2023.05.03,하이브,294500,285500,303000,285000,573639
2023.05.02,하이브,284500,270500,285000,269000,447119
2023.04.28,하이브,270000,264000,277000,263000,248614
2023.04.27,하이브,264000,265000,269000,259500,175062
2023.04.26,하이브,265000,260000,270000,259500,265975
2023.04.25,하이브,260500,261000,265000,257000,193822
2023.04.24,하이브,259000,250000,262000,247500,270654
2023.04.21,하이브,250000,255500,258500,243500,231363
2023.04.20,하이브,257000,250500,267000,242500,436176
2023.04.19,하이브,251500,260500,261500,249500,241084
2023.04.18,하이브,258500,262000,270000,256500,246929
2023.04.17,하이브,260000,265000,270000,254500,347729
2023.04.14,하이브,259000,246000,263000,245500,625603
2023.04.13,하이브,245000,238000,249500,231500,511910
2023.04.12,하이브,235500,223500,237000,222500,321808
2023.04.11,하이브,224500,222500,227000,216000,223899
2023.04.10,하이브,222000,218500,223000,215000,265446
2023.04.07,하이브,217000,206000,219000,200500,493700
2023.04.06,하이브,205000,190300,212500,190300,862698
2023.04.05,하이브,190700,190200,191300,188200,114403
2023.04.04,하이브,190300,184900,190900,184500,191538
2023.04.03,하이브,184000,188000,189500,183700,141199
2023.03.31,하이브,188900,189000,191300,185300,137451
2023.03.30,하이브,188000,189900,192000,187000,129308
2023.03.29,하이브,190100,186000,191300,186000,169791
2023.03.28,하이브,187300,181400,187800,178900,195777
2023.03.27,하이브,182100,186400,188600,177900,237102
2023.03.24,하이브,187500,187000,190600,184800,159391
2023.03.23,하이브,188400,190000,191000,185400,180348
2023.03.22,하이브,190300,189200,191200,188100,126708
2023.03.21,하이브,189600,186500,191300,186100,287767
2023.03.20,하이브,184000,179300,188000,179300,231416
2023.03.17,하이브,179400,176600,183100,176500,201551
2023.03.16,하이브,176500,172000,178000,171000,236020
2023.03.15,하이브,173500,176400,176400,170300,244634
2023.03.14,하이브,173700,187700,189300,173000,431611
2023.03.13,하이브,189600,185600,196600,182600,849993
2023.03.10,하이브,183700,174100,189800,173900,505221
2023.03.09,하이브,176500,177800,179500,174800,216070
2023.03.08,하이브,177200,188500,189900,175400,475591
2023.03.07,하이브,188500,186900,191000,184000,308012
2023.03.06,하이브,191800,194200,195900,189400,354913
2023.03.03,하이브,187400,185200,188900,185200,124515
2023.03.02,하이브,187000,185100,189900,182500,208411
2023.02.28,하이브,185100,184000,190000,183000,350642
2023.02.27,하이브,182400,181000,185200,178100,293030
2023.02.24,하이브,183200,187600,188200,182700,227726
2023.02.23,하이브,187700,192000,192100,187600,229292
2023.02.22,하이브,187700,183900,192900,183800,605997
2023.02.21,하이브,182100,183800,184500,180900,172604
2023.02.20,하이브,184500,181000,188100,181000,328567
2023.02.17,하이브,182000,189400,189400,179900,564813
2023.02.16,하이브,190500,194100,196200,189800,582216
2023.02.15,하이브,197200,199900,201500,192500,575230
2023.02.14,하이브,202000,191300,203000,189900,869251
2023.02.13,하이브,189000,204000,204500,188800,731578
2023.02.10,하이브,195300,212500,218500,193800,2102129
2023.02.09,하이브,198300,198000,205500,196800,324646
2023.02.08,하이브,197600,189600,200000,189600,420258
2023.02.07,하이브,189500,188800,190600,184300,239570
2023.02.06,하이브,188800,195400,195500,188800,206034
2023.02.03,하이브,195600,187900,197200,187100,287588
2023.02.02,하이브,187900,189700,192000,187300,191183
2023.02.01,하이브,189500,189500,191500,188500,131283
2023.01.31,하이브,191700,186100,193500,185700,249181
2023.01.30,하이브,188900,194900,196000,187700,226787
2023.01.27,하이브,194000,192200,194800,189000,190667
2023.01.26,하이브,190400,187000,194200,186200,292592
2023.01.25,하이브,186400,188000,188500,185000,198658
2023.01.20,하이브,187000,187500,191000,186000,181112
2023.01.19,하이브,188000,179500,189000,179500,399272
2023.01.18,하이브,179000,177500,182000,176000,221721
2023.01.17,하이브,177000,178500,180500,176000,167937
2023.01.16,하이브,178500,173500,179000,173000,223077
2023.01.13,하이브,174500,174000,177500,173000,145611
2023.01.12,하이브,173000,174500,177000,171500,167481
2023.01.11,하이브,174500,172000,176000,167000,200157
2023.01.10,하이브,170500,173500,175000,169500,179809
2023.01.09,하이브,173500,170500,176500,170500,204808
2023.01.06,하이브,168000,170000,172000,160500,509214
2023.01.05,하이브,172000,172000,177000,171000,173260
2023.01.04,하이브,171500,176500,177000,169000,251334
2023.01.03,하이브,176500,170000,182000,170000,522683
2023.01.02,하이브,169500,174500,176000,166500,183432
2022.12.29,하이브,173500,168000,175500,168000,194427
2022.12.28,하이브,170000,170000,171500,166500,174958
2022.12.27,하이브,170500,173000,175000,168000,202232
2022.12.26,하이브,171500,173500,174500,169000,190601
2022.12.23,하이브,175000,173000,179500,172500,283230
2022.12.22,하이브,175000,169500,177000,169000,341749
2022.12.21,하이브,169000,165000,169000,160500,229363
2022.12.20,하이브,162500,167000,168500,161000,166667
2022.12.19,하이브,167000,164500,169000,162000,202717
2022.12.16,하이브,164000,153500,166500,153000,319185
2022.12.15,하이브,157500,161500,165000,155500,237924
2022.12.14,하이브,163000,156500,164500,156500,262419
2022.12.13,하이브,155500,157500,159000,154500,180480
2022.12.12,하이브,157000,155000,162500,154000,249465
2022.12.09,하이브,156500,147500,158500,147000,404438
2022.12.08,하이브,145000,145500,147500,141500,128477
2022.12.07,하이브,145000,144500,149000,143000,113589
2022.12.06,하이브,145000,150500,150500,145000,166530
2022.12.05,하이브,152000,151500,155500,150500,172743
