날짜,종목명,종가,시가,고가,저가,거래량
2023.06.30,JYP Ent.,130800,127400,133600,126700,627590
2023.06.29,JYP Ent.,124900,122300,128000,122300,376280
2023.06.28,JYP Ent.,122600,126300,126500,122500,413691
2023.06.27,JYP Ent.,124900,129300,130300,122300,794119
2023.06.26,JYP Ent.,130000,129300,131400,128500,329926
2023.06.23,JYP Ent.,131300,134300,134400,129900,451279
2023.06.22,JYP Ent.,134000,132400,135900,132200,275296
2023.06.21,JYP Ent.,134400,138700,140600,133500,425154
2023.06.20,JYP Ent.,138800,135800,139200,135100,371580
2023.06.19,JYP Ent.,136100,136200,136400,133300,244897
2023.06.16,JYP Ent.,136000,137400,137900,135000,261448
2023.06.15,JYP Ent.,137000,136200,138600,135300,364569
2023.06.14,JYP Ent.,135000,133200,138700,133200,612243
2023.06.13,JYP Ent.,133200,132500,134500,130900,332287
2023.06.12,JYP Ent.,132400,132400,132800,129000,393686
2023.06.09,JYP Ent.,131200,128700,134300,127700,619138
2023.06.08,JYP Ent.,128300,126800,129000,126500,425623
2023.06.07,JYP Ent.,127500,125500,129200,123700,426654
2023.06.05,JYP Ent.,126300,127300,128700,123300,417960
2023.06.02,JYP Ent.,128700,127300,130300,124700,577949
2023.06.01,JYP Ent.,127300,122200,128900,121400,776275
2023.05.31,JYP Ent.,122000,120100,126600,118400,867700
2023.05.30,JYP Ent.,122200,114400,122500,113300,841508
2023.05.26,JYP Ent.,113700,112400,116100,110200,307002
2023.05.25,JYP Ent.,112300,111800,114500,109600,416122
2023.05.24,JYP Ent.,113500,116400,116400,111400,435191
2023.05.23,JYP Ent.,115700,114800,116300,113700,422033
2023.05.22,JYP Ent.,114100,115700,115700,112500,459449
2023.05.19,JYP Ent.,115700,120100,120500,114500,594242
2023.05.18,JYP Ent.,119800,118900,120900,116500,599196
2023.05.17,JYP Ent.,119500,112300,120400,112200,1478262
2023.05.16,JYP Ent.,115400,105000,115800,105000,3329160
2023.05.15,JYP Ent.,95500,94600,95500,92200,601239
2023.05.12,JYP Ent.,94300,93600,96400,92500,836365
2023.05.11,JYP Ent.,92000,93400,93400,90000,421970
2023.05.10,JYP Ent.,92800,92400,93500,91600,191761
2023.05.09,JYP Ent.,91900,92200,93200,91100,226317
2023.05.08,JYP Ent.,92200,96000,96000,91400,387678
2023.05.04,JYP Ent.,94900,94800,95500,92700,301352
2023.05.03,JYP Ent.,94800,94000,96800,93300,609696
2023.05.02,JYP Ent.,93800,90400,96100,90100,754480
2023.04.28,JYP Ent.,90200,88500,91500,88000,484950
2023.04.27,JYP Ent.,88000,87800,89600,86800,359270
2023.04.26,JYP Ent.,87700,85500,89000,85400,482878
2023.04.25,JYP Ent.,85800,86100,87500,84900,228941
2023.04.24,JYP Ent.,86100,85600,87400,84800,281343
2023.04.21,JYP Ent.,85700,86200,86800,83600,344010
2023.04.20,JYP Ent.,86300,88800,89300,85300,550265
2023.04.19,JYP Ent.,88000,88200,88600,86700,250351
2023.04.18,JYP Ent.,87800,88300,91500,87200,502716
2023.04.17,JYP Ent.,88300,86500,89000,85400,503184
2023.04.14,JYP Ent.,85000,82400,87700,82000,1110757
2023.04.13,JYP Ent.,80600,76500,81200,76500,1227532
2023.04.12,JYP Ent.,75900,76400,77100,75000,237099
2023.04.11,JYP Ent.,76600,76500,77300,75600,181235
2023.04.10,JYP Ent.,76400,77700,77700,75800,219876
2023.04.07,JYP Ent.,77200,78700,78800,76400,321493
2023.04.06,JYP Ent.,77900,77100,79800,76600,443413
2023.04.05,JYP Ent.,77200,78400,78800,77000,197312
2023.04.04,JYP Ent.,78100,77300,78100,76600,279564
2023.04.03,JYP Ent.,76900,77900,79100,76200,244576
2023.03.31,JYP Ent.,77400,77100,78100,76100,179550
2023.03.30,JYP Ent.,77500,76900,78100,76500,240194
2023.03.29,JYP Ent.,77200,76600,77600,75900,289666
2023.03.28,JYP Ent.,77300,72700,77700,72500,708284
2023.03.27,JYP Ent.,72100,73000,75000,71300,317553
2023.03.24,JYP Ent.,72600,69200,73200,68500,658413
2023.03.23,JYP Ent.,69100,68200,69500,67500,364333
2023.03.22,JYP Ent.,68300,70200,70200,67900,517985
2023.03.21,JYP Ent.,69900,71000,71100,68700,387766
2023.03.20,JYP Ent.,70100,72500,72800,69800,461972
2023.03.17,JYP Ent.,72100,70900,73600,69900,477963
2023.03.16,JYP Ent.,69800,71100,71200,68500,648855
