날짜,종가,전일비,시가,고가,저가,거래량,entertain
2023.07.10,"22,750",650,"23,150","23,400","22,400","226,531",큐브엔터
2023.07.07,"23,400",250,"23,050","23,550","22,800","103,464",큐브엔터
2023.07.06,"23,150","1,350","24,500","24,700","23,000","300,065",큐브엔터
2023.07.05,"24,500",300,"24,800","24,950","24,100","182,932",큐브엔터
2023.07.04,"24,800",300,"25,100","25,550","24,300","292,454",큐브엔터
2023.07.03,"25,100",200,"25,100","25,300","24,400","218,130",큐브엔터
2023.06.30,"25,300","1,100","23,850","25,500","23,800","248,504",큐브엔터
2023.06.29,"24,200",200,"24,300","24,800","23,650","186,495",큐브엔터
2023.06.28,"24,400",800,"25,400","25,400","24,300","170,535",큐브엔터
2023.06.27,"25,200",0,"25,150","25,300","24,500","159,822",큐브엔터
2023.06.26,"25,200",350,"24,900","26,200","24,550","471,247",큐브엔터
2023.06.23,"24,850",50,"24,900","25,200","24,300","288,271",큐브엔터
2023.06.22,"24,800","1,700","26,050","26,700","24,700","734,643",큐브엔터
2023.06.21,"26,500","1,000","27,750","28,200","26,500","820,406",큐브엔터
2023.06.20,"27,500","2,950","25,300","27,500","24,800","1,850,441",큐브엔터
2023.06.19,"24,550","1,300","23,200","24,650","22,650","580,521",큐브엔터
2023.06.16,"23,250","1,150","22,250","23,800","21,850","607,507",큐브엔터
2023.06.15,"22,100",300,"22,700","22,850","21,700","180,434",큐브엔터
2023.06.14,"22,400",600,"21,900","22,550","21,700","361,698",큐브엔터
2023.06.13,"21,800",350,"21,550","22,050","21,350","169,088",큐브엔터
2023.06.12,"21,450",50,"21,450","21,650","21,100","115,921",큐브엔터
2023.06.09,"21,400",150,"21,400","21,950","21,350","152,179",큐브엔터
2023.06.08,"21,250",400,"21,500","21,600","21,050","140,626",큐브엔터
2023.06.07,"21,650",700,"22,400","22,500","21,350","230,168",큐브엔터
2023.06.05,"22,350",900,"22,000","22,450","21,750","392,628",큐브엔터
2023.06.02,"21,450",50,"21,600","21,700","21,000","252,578",큐브엔터
2023.06.01,"21,400","1,600","20,000","21,400","19,980","528,099",큐브엔터
2023.05.31,"19,800",550,"20,350","20,400","19,800","206,904",큐브엔터
2023.05.30,"20,350",570,"19,850","20,400","19,340","333,837",큐브엔터
2023.05.26,"19,780",100,"19,960","20,300","19,700","222,194",큐브엔터
2023.05.25,"19,880","1,170","20,750","20,800","19,660","582,193",큐브엔터
2023.05.24,"21,050",400,"21,600","22,150","21,050","418,933",큐브엔터
2023.05.23,"21,450",0,"21,700","21,700","21,100","244,644",큐브엔터
2023.05.22,"21,450",450,"21,350","21,650","20,600","343,940",큐브엔터
2023.05.19,"21,000","1,600","22,700","22,700","20,600","783,324",큐브엔터
2023.05.18,"22,600",950,"23,900","23,900","22,500","437,042",큐브엔터
2023.05.17,"23,550",650,"23,400","24,050","22,800","680,464",큐브엔터
2023.05.16,"22,900","1,400","24,150","24,550","22,050","1,107,124",큐브엔터
2023.05.15,"24,300",900,"25,650","25,650","23,400","556,527",큐브엔터
2023.05.12,"25,200",350,"25,500","26,000","24,700","548,699",큐브엔터
2023.05.11,"24,850","1,200","24,050","25,700","23,300","428,510",큐브엔터
2023.05.10,"23,650",400,"23,600","24,400","23,400","284,561",큐브엔터
2023.05.09,"23,250","1,050","24,300","24,350","22,900","349,056",큐브엔터
2023.05.08,"24,300","1,150","25,700","25,750","23,800","400,585",큐브엔터
2023.05.04,"25,450",700,"26,400","26,450","25,050","405,750",큐브엔터
2023.05.03,"26,150",950,"25,450","26,950","25,400","867,759",큐브엔터
2023.05.02,"25,200","1,750","23,900","25,500","23,400","509,127",큐브엔터
2023.04.28,"23,450",450,"23,500","24,150","23,000","287,033",큐브엔터
2023.04.27,"23,900",750,"23,900","24,350","23,050","509,053",큐브엔터
2023.04.26,"23,150","1,000","22,400","24,250","22,050","596,965",큐브엔터
2023.04.25,"22,150",100,"22,150","22,400","21,650","178,694",큐브엔터
2023.04.24,"22,250",0,"21,950","22,600","21,750","201,788",큐브엔터
2023.04.21,"22,250","2,050","23,400","23,500","21,700","820,942",큐브엔터
2023.04.20,"24,300","1,350","25,850","25,850","24,100","521,464",큐브엔터
2023.04.19,"25,650","1,050","26,450","26,700","25,450","291,033",큐브엔터
2023.04.18,"26,700","1,000","25,900","27,350","25,750","531,625",큐브엔터
2023.04.17,"25,700",550,"26,400","27,050","25,500","397,047",큐브엔터
2023.04.14,"26,250",150,"26,450","27,700","26,050","669,054",큐브엔터
2023.04.13,"26,100","1,250","24,850","26,450","24,700","418,770",큐브엔터
2023.04.12,"24,850",150,"24,950","25,150","24,500","136,047",큐브엔터
2023.04.11,"25,000",900,"23,900","25,600","23,700","317,901",큐브엔터
2023.04.10,"24,100",100,"24,100","24,450","23,550","167,962",큐브엔터
2023.04.07,"24,200","1,750","26,200","26,400","24,000","586,294",큐브엔터
2023.04.06,"25,950",200,"25,750","26,850","25,350","385,250",큐브엔터
2023.04.05,"25,750",700,"24,750","26,200","24,350","406,791",큐브엔터
2023.04.04,"25,050",600,"25,350","25,800","24,200","465,403",큐브엔터
2023.04.03,"25,650","2,400","23,000","25,650","23,000","754,396",큐브엔터
2023.03.31,"23,250",200,"22,750","23,900","22,700","305,576",큐브엔터
2023.03.30,"23,050",650,"23,500","23,550","22,300","486,306",큐브엔터
2023.03.29,"23,700","1,850","22,000","24,150","21,750","1,107,127",큐브엔터
2023.03.28,"21,850",250,"21,500","21,900","21,150","245,609",큐브엔터
2023.03.27,"21,600",250,"21,200","21,600","20,650","179,773",큐브엔터
2023.03.24,"21,350",250,"21,150","21,900","20,200","288,182",큐브엔터
2023.03.23,"21,100",250,"20,800","21,250","20,150","245,575",큐브엔터
2023.03.22,"20,850",50,"21,200","21,200","20,600","262,921",큐브엔터
2023.03.21,"20,900","1,050","20,900","21,300","20,500","755,408",큐브엔터
2023.03.20,"19,850",550,"20,200","21,050","19,850","518,188",큐브엔터
2023.03.17,"20,400","2,100","19,240","20,800","19,200","754,697",큐브엔터
2023.03.16,"18,300",50,"18,200","18,300","17,680","132,221",큐브엔터
2023.03.15,"18,250",410,"18,300","18,520","18,030","134,071",큐브엔터
2023.03.14,"17,840","1,060","18,900","19,180","17,730","245,827",큐브엔터
2023.03.13,"18,900","1,400","19,690","19,990","18,280","604,292",큐브엔터
2023.03.10,"20,300","1,450","21,350","22,300","20,200","430,771",큐브엔터
2023.03.09,"21,750","1,100","21,050","21,800","20,850","528,615",큐브엔터
2023.03.08,"20,650",250,"20,250","21,150","20,150","307,649",큐브엔터
2023.03.07,"20,400",150,"20,550","20,600","19,810","386,698",큐브엔터
2023.03.06,"20,550",900,"22,250","22,250","20,250","781,301",큐브엔터
2023.03.03,"21,450",0,"21,700","22,350","21,200","568,841",큐브엔터
2023.03.02,"21,450","1,970","19,950","21,650","19,760","1,178,835",큐브엔터
2023.02.28,"19,480",880,"18,640","19,650","18,570","283,795",큐브엔터
2023.02.27,"18,600",70,"18,670","18,760","18,390","103,981",큐브엔터
2023.02.24,"18,670",350,"19,200","19,380","18,630","149,842",큐브엔터
2023.02.23,"19,020",90,"19,250","19,350","18,880","181,304",큐브엔터
2023.02.22,"19,110",300,"19,240","19,600","19,010","187,418",큐브엔터
2023.02.21,"19,410",400,"19,900","19,900","18,950","293,845",큐브엔터
2023.02.20,"19,810",340,"19,400","19,940","19,310","159,616",큐브엔터
2023.02.17,"19,470",330,"19,540","19,900","19,140","196,872",큐브엔터
2023.02.16,"19,800",150,"19,840","20,350","19,640","316,786",큐브엔터
2023.02.15,"19,950","1,350","21,300","21,350","19,680","777,989",큐브엔터
2023.02.14,"21,300",450,"21,700","21,750","21,050","395,880",큐브엔터
2023.02.13,"21,750",50,"22,700","23,550","21,300","1,369,370",큐브엔터
2023.02.10,"21,700","1,400","20,950","22,950","20,450","2,696,821",큐브엔터
2023.02.09,"20,300",350,"20,400","20,800","20,200","137,802",큐브엔터
2023.02.08,"20,650",0,"20,750","21,050","19,990","317,967",큐브엔터
2023.02.07,"20,650",250,"20,450","20,950","20,050","244,423",큐브엔터
2023.02.06,"20,400",450,"20,900","21,050","20,050","161,599",큐브엔터
2023.02.03,"20,850",50,"21,000","21,200","20,600","220,909",큐브엔터
2023.02.02,"20,900",800,"20,400","21,150","20,200","379,927",큐브엔터
2023.02.01,"20,100",50,"20,200","20,550","19,900","191,696",큐브엔터
2023.01.31,"20,150",50,"19,830","20,700","19,820","184,863",큐브엔터
2023.01.30,"20,200",250,"20,200","20,550","19,940","213,921",큐브엔터
2023.01.27,"20,450",50,"20,350","20,600","19,670","426,085",큐브엔터
2023.01.26,"20,400",600,"20,750","21,250","19,990","448,444",큐브엔터
2023.01.25,"21,000",700,"21,650","21,700","20,800","366,969",큐브엔터
2023.01.20,"21,700",50,"21,750","21,950","21,300","392,214",큐브엔터
2023.01.19,"21,750","1,600","20,100","21,950","20,100","1,468,270",큐브엔터
2023.01.18,"20,150",800,"19,850","20,150","19,100","388,596",큐브엔터
2023.01.17,"19,350",100,"19,350","19,900","18,950","218,197",큐브엔터
2023.01.16,"19,250",50,"19,100","20,150","18,850","438,922",큐브엔터
2023.01.13,"19,200","1,150","18,150","19,200","18,050","208,558",큐브엔터
2023.01.12,"18,050",450,"19,150","20,300","18,000","829,822",큐브엔터
2023.01.11,"18,500","1,400","17,100","18,650","17,100","440,615",큐브엔터
2023.01.10,"17,100",400,"17,500","17,700","17,050","74,878",큐브엔터
2023.01.09,"17,500",600,"17,250","17,800","17,050","207,283",큐브엔터
2023.01.06,"16,900",300,"16,400","17,150","16,250","121,854",큐브엔터
2023.01.05,"16,600",250,"16,900","17,200","16,400","97,572",큐브엔터
2023.01.04,"16,850",100,"16,700","17,250","16,450","195,835",큐브엔터
2023.01.03,"16,750","1,050","15,550","17,000","15,500","323,564",큐브엔터
2023.01.02,"15,700",500,"16,200","16,450","15,500","117,338",큐브엔터
2022.12.29,"16,200",700,"16,800","17,300","16,150","243,151",큐브엔터
2022.12.28,"16,900",50,"16,900","17,300","16,800","150,384",큐브엔터
2022.12.27,"16,950",400,"16,550","17,350","16,500","258,129",큐브엔터
2022.12.26,"16,550",150,"16,250","16,950","16,250","165,666",큐브엔터
2022.12.23,"16,400",600,"16,650","17,150","16,400","226,500",큐브엔터
2022.12.22,"17,000",50,"17,200","17,250","16,650","268,386",큐브엔터
2022.12.21,"16,950","2,350","20,050","20,600","16,650","1,729,680",큐브엔터
2022.12.20,"19,300",500,"19,650","19,750","19,050","194,807",큐브엔터
2022.12.19,"19,800",200,"19,850","20,550","19,700","175,123",큐브엔터
2022.12.16,"20,000","1,250","18,600","20,750","18,550","689,750",큐브엔터
2022.12.15,"18,750",50,"18,850","19,000","18,500","131,802",큐브엔터
2022.12.14,"18,800",500,"18,400","19,300","18,000","319,079",큐브엔터
2022.12.13,"18,300","1,700","20,050","20,400","18,050","387,293",큐브엔터
2022.12.12,"20,000",850,"20,600","21,100","19,450","382,924",큐브엔터
2022.12.09,"20,850",200,"20,950","21,300","20,700","160,116",큐브엔터
2022.12.08,"20,650",450,"21,000","21,050","20,600","110,344",큐브엔터
2022.12.07,"21,100",200,"20,800","21,350","20,450","151,236",큐브엔터
2022.12.06,"20,900",0,"20,600","21,550","20,250","259,012",큐브엔터
2022.12.05,"20,900",100,"21,500","21,800","20,650","316,649",큐브엔터
2022.12.02,"21,000",0,"21,050","21,300","20,800","147,524",큐브엔터
2022.12.01,"21,000",300,"20,950","21,100","20,550","187,383",큐브엔터
