날짜,종목명,종가,시가,고가,저가,거래량
2023.06.30,에스엠,106800,107000,108800,105200,202510
2023.06.29,에스엠,107000,107400,110500,105300,258872
2023.06.28,에스엠,107300,109100,110200,107300,213378
2023.06.27,에스엠,109700,108600,110900,106400,238510
2023.06.26,에스엠,109700,110300,112000,109400,193953
2023.06.23,에스엠,111000,114900,115200,110800,323657
2023.06.22,에스엠,114200,117800,119600,113400,597643
2023.06.21,에스엠,118800,121800,123100,117400,344778
2023.06.20,에스엠,121900,120000,124300,118900,436314
2023.06.19,에스엠,118900,117600,122300,115400,498769
2023.06.16,에스엠,117600,115600,118500,113000,453509
2023.06.15,에스엠,114800,116000,117400,113000,467487
2023.06.14,에스엠,114900,109700,118200,109500,1038431
2023.06.13,에스엠,108000,105500,109400,103800,439951
2023.06.12,에스엠,104400,103000,105200,101800,321475
2023.06.09,에스엠,102000,103200,105800,102000,348743
2023.06.08,에스엠,103400,103300,103600,101400,349972
2023.06.07,에스엠,103300,100000,105700,99500,528834
2023.06.05,에스엠,100500,102000,102500,98600,506533
2023.06.02,에스엠,101900,102700,103200,101200,444578
2023.06.01,에스엠,101800,109700,114600,100600,2092346
2023.05.31,에스엠,109700,110300,114900,109500,574950
2023.05.30,에스엠,109400,104800,109500,103700,333103
2023.05.26,에스엠,104800,104200,106900,103700,244413
2023.05.25,에스엠,103600,103300,106100,102900,206101
2023.05.24,에스엠,105100,108500,108500,104200,313977
2023.05.23,에스엠,108100,107000,108900,105400,234544
2023.05.22,에스엠,106900,107600,107600,104500,272770
2023.05.19,에스엠,107600,112200,112400,106300,354534
2023.05.18,에스엠,111000,112700,112900,109300,301823
2023.05.17,에스엠,113300,109200,119100,108600,991794
2023.05.16,에스엠,109200,103200,110400,102000,925106
2023.05.15,에스엠,102500,106200,106700,101600,393503
2023.05.12,에스엠,106400,109000,110400,104800,401751
2023.05.11,에스엠,107800,106100,110700,101000,658013
2023.05.10,에스엠,105700,103400,107100,103400,269870
2023.05.09,에스엠,103400,105700,107200,102900,300289
2023.05.08,에스엠,104800,109300,110000,103800,389863
2023.05.04,에스엠,107300,113300,113700,106200,378978
2023.05.03,에스엠,112500,112600,116600,111200,466539
2023.05.02,에스엠,112600,107300,113900,106800,361912
2023.04.28,에스엠,107200,107300,110000,106400,258476
2023.04.27,에스엠,106200,108300,109300,105900,295182
2023.04.26,에스엠,108300,103300,108800,103200,441812
2023.04.25,에스엠,103300,104600,106700,102900,281346
2023.04.24,에스엠,104600,100400,106100,100400,295906
2023.04.21,에스엠,100500,103000,104300,98800,269352
2023.04.20,에스엠,103000,104200,106800,101900,318058
2023.04.19,에스엠,104500,102700,106000,101200,314819
2023.04.18,에스엠,102700,106100,109100,101300,564128
2023.04.17,에스엠,104800,106200,106800,103000,273654
2023.04.14,에스엠,105500,101000,108000,100000,596209
2023.04.13,에스엠,101700,95500,104800,95500,1271206
2023.04.12,에스엠,95200,97400,98600,94100,412709
2023.04.11,에스엠,97400,96000,98500,95800,252215
2023.04.10,에스엠,95800,97400,97400,94800,295454
2023.04.07,에스엠,97600,98800,99400,93400,364670
2023.04.06,에스엠,98000,96200,101600,96100,615805
2023.04.05,에스엠,96200,96200,98500,94400,408617
2023.04.04,에스엠,96100,94500,96800,93000,420019
2023.04.03,에스엠,94400,93200,96300,93200,446579
2023.03.31,에스엠,93200,93200,94900,92500,443511
2023.03.30,에스엠,94100,97900,98900,94100,700700
2023.03.29,에스엠,97400,94300,98400,93000,843826
2023.03.28,에스엠,94300,88200,95700,87600,2789272
2023.03.27,에스엠,91100,105800,106300,90500,1695358
2023.03.24,에스엠,107200,106400,110600,104100,322573
2023.03.23,에스엠,107200,111400,112400,106100,326147
2023.03.22,에스엠,112000,113200,113800,111100,836391
2023.03.21,에스엠,113500,115000,115000,111500,753541
2023.03.20,에스엠,113300,111000,113700,109200,826024
2023.03.17,에스엠,113000,111900,113000,107500,1195671
2023.03.16,에스엠,111600,112200,113900,111300,971273
2023.03.15,에스엠,113400,114600,116300,113400,1124623
2023.03.14,에스엠,115200,114400,118000,112500,2469659
2023.03.13,에스엠,113100,135000,135000,111300,5457572
2023.03.10,에스엠,147800,152000,154000,146000,3601004
2023.03.09,에스엠,154900,157000,157000,152600,1073416
2023.03.08,에스엠,158500,154100,161200,150600,2568990
2023.03.07,에스엠,149700,147200,149700,146500,3609572
2023.03.06,에스엠,130100,125300,134900,124700,2431975
2023.03.03,에스엠,129200,127400,131000,124500,1073133
2023.03.02,에스엠,128000,126000,131100,123700,1256953
2023.02.28,에스엠,127600,121200,128000,118700,3477054
2023.02.27,에스엠,120300,122000,127100,119300,2114459
2023.02.24,에스엠,121000,126000,126000,120700,1659938
2023.02.23,에스엠,126300,122500,127300,120600,1832085
2023.02.22,에스엠,121100,123400,125800,120100,1166770
2023.02.21,에스엠,123500,124400,125500,122000,1069774
2023.02.20,에스엠,121800,125000,125500,121700,1686067
2023.02.17,에스엠,130100,132300,132900,126000,2031182
2023.02.16,에스엠,131900,124900,133600,120700,4440720
2023.02.15,에스엠,122600,118700,127900,117600,4502599
2023.02.14,에스엠,116800,116700,119100,116100,2116337
2023.02.13,에스엠,116000,115000,118300,114500,3271133
2023.02.10,에스엠,114700,115200,117000,107300,8882805
2023.02.09,에스엠,98500,100000,103300,95700,3078346
2023.02.08,에스엠,98700,95000,99800,92100,3644350
2023.02.07,에스엠,90100,93000,99700,85700,3863446
2023.02.06,에스엠,92200,90500,93900,89600,646786
2023.02.03,에스엠,91000,89900,95900,88100,2363145
2023.02.02,에스엠,89100,86900,89900,86100,683339
2023.02.01,에스엠,86700,87700,88000,86100,410616
2023.01.31,에스엠,88000,84100,88700,83300,714377
2023.01.30,에스엠,84700,82900,86300,82400,839077
2023.01.27,에스엠,82500,80600,83000,80400,589600
2023.01.26,에스엠,80300,80800,81700,79500,506709
2023.01.25,에스엠,80600,84100,84600,80100,987947
2023.01.20,에스엠,83100,77000,84500,76500,1784248
2023.01.19,에스엠,76800,73700,77100,73300,631496
2023.01.18,에스엠,74100,73500,74400,72900,277235
2023.01.17,에스엠,73400,74200,74800,73000,322259
2023.01.16,에스엠,74500,76200,76300,74000,395986
2023.01.13,에스엠,75500,77500,78000,74900,509649
2023.01.12,에스엠,77700,79600,80800,76300,850735
2023.01.11,에스엠,77000,75400,77000,74200,417695
2023.01.10,에스엠,74600,75900,76500,74300,305640
2023.01.09,에스엠,76300,75100,78000,75000,429310
2023.01.06,에스엠,73900,74000,74400,71700,441861
2023.01.05,에스엠,74400,75600,76900,73600,297806
2023.01.04,에스엠,75200,77200,77400,74200,337977
2023.01.03,에스엠,77200,74900,78400,74700,462240
2023.01.02,에스엠,75200,77300,78000,73300,425582
2022.12.29,에스엠,76700,75100,77200,74200,492722
2022.12.28,에스엠,76000,79000,79100,75000,754554
2022.12.27,에스엠,79300,79200,80200,78000,408417
2022.12.26,에스엠,79100,77100,79200,76400,281080
2022.12.23,에스엠,77100,77500,78400,76600,447413
2022.12.22,에스엠,79800,78800,80100,77400,284080
2022.12.21,에스엠,78000,79600,79700,77100,247487
2022.12.20,에스엠,78500,80700,81800,78400,304209
2022.12.19,에스엠,81200,78000,81400,77800,487656
2022.12.16,에스엠,78000,76400,78400,75700,222172
2022.12.15,에스엠,77800,79000,80200,77000,450712
2022.12.14,에스엠,79100,78000,80300,78000,301583
2022.12.13,에스엠,78800,80500,80500,78100,237993
2022.12.12,에스엠,79400,79000,81600,78700,310706
2022.12.09,에스엠,79000,78600,80600,78600,288590
2022.12.08,에스엠,78000,79200,79700,77500,410667
2022.12.07,에스엠,79200,78700,80200,78200,251374
2022.12.06,에스엠,79200,80300,80900,78600,434006
2022.12.05,에스엠,81400,82000,83300,81000,303520
2022.12.02,에스엠,82100,81100,82600,81000,305177
2022.12.01,에스엠,81700,80300,82400,80000,427831
2022.11.30,에스엠,79300,79900,80300,77900,472957
