날짜,종가,전일비,시가,고가,저가,거래량
2023.07.10,"8,060",60,"8,000","8,060","7,740","31,552"
2023.07.07,"8,000",80,"7,720","8,020","7,580","38,343"
2023.07.06,"7,920",30,"7,940","7,940","7,490","94,459"
2023.07.05,"7,890",140,"8,060","8,060","7,860","26,861"
2023.07.04,"8,030",120,"8,240","8,250","7,890","88,288"
2023.07.03,"8,150",50,"8,290","8,350","8,030","38,522"
2023.06.30,"8,200",210,"7,990","8,250","7,780","84,404"
2023.06.29,"7,990",240,"7,680","8,020","7,630","92,121"
2023.06.28,"7,750",30,"7,760","7,890","7,520","55,210"
2023.06.27,"7,780",140,"7,530","7,840","7,410","58,218"
2023.06.26,"7,640",190,"7,640","7,820","7,530","58,911"
2023.06.23,"7,830",20,"7,850","7,980","7,420","118,995"
2023.06.22,"7,850",150,"7,550","7,920","7,410","115,094"
2023.06.21,"7,700",100,"7,800","7,930","7,250","244,224"
2023.06.20,"7,800",220,"7,880","7,990","7,390","238,914"
2023.06.19,"7,580",980,"6,800","7,980","6,650","746,872"
2023.06.16,"6,600",150,"6,750","6,750","6,420","56,453"
2023.06.15,"6,750",60,"6,780","7,060","6,480","65,570"
2023.06.14,"6,810",340,"6,590","6,930","6,450","83,590"
2023.06.13,"6,470",240,"6,880","6,890","6,410","85,730"
2023.06.12,"6,710",470,"6,260","7,070","6,260","318,223"
2023.06.09,"6,240",80,"6,180","6,390","6,090","93,469"
2023.06.08,"6,160",200,"5,960","6,220","5,930","63,372"
2023.06.07,"5,960",70,"5,980","6,250","5,960","13,875"
2023.06.05,"6,030",20,"5,980","6,030","5,870","14,786"
2023.06.02,"6,010",140,"5,870","6,150","5,870","29,195"
2023.06.01,"5,870",20,"5,850","5,920","5,810","13,733"
2023.05.31,"5,850",20,"5,800","5,930","5,780","16,636"
2023.05.30,"5,830",10,"5,820","5,850","5,720","9,101"
2023.05.26,"5,820",200,"5,620","5,870","5,480","18,322"
2023.05.25,"5,620",180,"5,730","5,740","5,600","12,513"
2023.05.24,"5,800",0,"5,810","5,820","5,560","19,117"
2023.05.23,"5,800",100,"5,870","5,870","5,730","11,963"
2023.05.22,"5,900",50,"5,890","5,930","5,770","30,462"
2023.05.19,"5,950",210,"5,800","6,670","5,700","224,480"
2023.05.18,"5,740",80,"5,660","5,780","5,600","70,271"
2023.05.17,"5,660",330,"5,400","5,870","5,250","139,553"
2023.05.16,"5,330",220,"5,250","5,340","5,120","14,958"
2023.05.15,"5,110",150,"5,300","5,300","5,100","5,826"
2023.05.12,"5,260",20,"5,350","5,360","5,090","20,363"
2023.05.11,"5,240",80,"5,170","5,290","5,150","7,793"
2023.05.10,"5,160",10,"5,170","5,380","5,120","11,373"
2023.05.09,"5,170",110,"5,400","5,400","5,100","27,065"
2023.05.08,"5,280",70,"5,350","5,440","5,180","37,031"
2023.05.04,"5,350",20,"5,400","5,400","5,270","10,491"
2023.05.03,"5,370",10,"5,380","5,430","5,230","5,616"
2023.05.02,"5,380",60,"5,400","5,400","5,290","10,434"
2023.04.28,"5,320",110,"5,330","5,350","5,100","11,614"
2023.04.27,"5,210",20,"5,330","5,330","5,130","10,681"
2023.04.26,"5,230",0,"5,220","5,390","5,150","18,508"
2023.04.25,"5,230",90,"5,270","5,310","5,110","24,492"
2023.04.24,"5,320",170,"5,380","5,500","5,310","14,415"
2023.04.21,"5,490",120,"5,610","5,610","5,420","9,836"
2023.04.20,"5,610",220,"5,790","5,810","5,470","19,087"
2023.04.19,"5,830",100,"5,850","5,890","5,760","11,940"
2023.04.18,"5,930",360,"5,570","5,940","5,520","27,619"
2023.04.17,"5,570",20,"5,550","5,750","5,450","18,937"
2023.04.14,"5,550",140,"5,450","5,600","5,410","25,105"
2023.04.13,"5,410",170,"5,250","5,470","5,250","36,342"
2023.04.12,"5,240",40,"5,270","5,400","5,240","15,344"
2023.04.11,"5,280",90,"5,130","5,290","5,090","11,278"
2023.04.10,"5,190",60,"5,200","5,260","5,130","9,983"
2023.04.07,"5,250",120,"5,400","5,400","5,230","12,717"
2023.04.06,"5,370",30,"5,380","5,380","5,300","9,232"
2023.04.05,"5,400",70,"5,350","5,480","5,320","19,151"
2023.04.04,"5,330",10,"5,320","5,370","5,310","8,054"
2023.04.03,"5,320",20,"5,300","5,350","5,280","5,791"
2023.03.31,"5,300",0,"5,300","5,300","5,200","7,345"
2023.03.30,"5,300",0,"5,340","5,340","5,230","5,271"
2023.03.29,"5,300",0,"5,300","5,310","5,240","5,698"
2023.03.28,"5,300",170,"5,130","5,310","5,130","10,702"
2023.03.27,"5,130",10,"5,140","5,170","5,080","16,534"
2023.03.24,"5,140",140,"5,020","5,140","4,945","10,386"
2023.03.23,"5,000",130,"5,130","5,130","4,975","6,875"
2023.03.22,"5,130",10,"5,140","5,230","5,050","4,902"
2023.03.21,"5,140",70,"5,210","5,280","5,020","17,415"
2023.03.20,"5,210",10,"5,200","5,230","4,905","18,036"
2023.03.17,"5,200",120,"5,080","5,300","5,060","12,086"
2023.03.16,"5,080",140,"5,220","5,250","5,030","10,153"
2023.03.15,"5,220",0,"5,230","5,280","5,190","10,260"
2023.03.14,"5,220",50,"5,260","5,290","5,140","13,546"
2023.03.13,"5,270",120,"5,350","5,350","5,160","9,749"
2023.03.10,"5,390",80,"5,470","5,470","5,270","10,797"
2023.03.09,"5,470",40,"5,600","5,600","5,400","12,209"
2023.03.08,"5,510",70,"5,570","5,570","5,460","7,060"
2023.03.07,"5,580",100,"5,490","5,630","5,420","53,908"
2023.03.06,"5,480",110,"5,350","5,510","5,250","30,405"
2023.03.03,"5,370",120,"5,490","5,490","5,250","35,918"
2023.03.02,"5,490",10,"5,650","5,720","5,360","56,150"
2023.02.28,"5,500",60,"5,370","5,510","5,320","5,330"
2023.02.27,"5,440",30,"5,380","5,450","5,200","19,690"
2023.02.24,"5,470",60,"5,410","5,500","5,320","10,835"
2023.02.23,"5,410",220,"5,570","5,570","5,280","59,562"
2023.02.22,"5,630",150,"5,770","5,780","5,280","62,898"
2023.02.21,"5,780",70,"5,880","5,880","5,680","22,155"
2023.02.20,"5,850",50,"6,020","6,020","5,830","9,572"
2023.02.17,"5,900",100,"6,050","6,050","5,720","23,193"
2023.02.16,"6,000",140,"5,790","6,000","5,770","9,568"
2023.02.15,"5,860",120,"5,920","5,980","5,800","9,721"
2023.02.14,"5,980",20,"5,960","6,000","5,780","17,270"
2023.02.13,"5,960",40,"6,100","6,140","5,880","27,089"
2023.02.10,"6,000",70,"5,930","6,220","5,900","71,789"
2023.02.09,"5,930",20,"5,910","5,980","5,850","5,365"
2023.02.08,"5,910",100,"5,870","5,910","5,820","5,137"
2023.02.07,"5,810",40,"5,820","5,820","5,740","4,706"
2023.02.06,"5,850",0,"5,730","5,870","5,730","3,892"
2023.02.03,"5,850",120,"5,930","5,940","5,760","19,558"
2023.02.02,"5,970",30,"5,920","6,000","5,800","15,874"
2023.02.01,"5,940",20,"5,950","5,960","5,870","3,737"
2023.01.31,"5,960",70,"5,810","6,000","5,710","12,530"
2023.01.30,"5,890",0,"5,890","5,950","5,730","16,814"
2023.01.27,"5,890",0,"5,890","5,920","5,840","3,444"
2023.01.26,"5,890",10,"5,900","5,950","5,810","7,240"
2023.01.25,"5,900",40,"5,820","5,940","5,820","5,874"
2023.01.20,"5,860",50,"5,810","5,920","5,800","13,393"
2023.01.19,"5,810",10,"5,790","5,860","5,790","10,356"
2023.01.18,"5,800",10,"5,810","5,810","5,720","7,589"
2023.01.17,"5,790",10,"5,860","5,930","5,780","13,441"
2023.01.16,"5,800",20,"5,730","5,880","5,690","13,082"
2023.01.13,"5,780",60,"5,670","5,860","5,660","32,481"
2023.01.12,"5,720",50,"5,670","5,750","5,580","12,299"
2023.01.11,"5,670",50,"5,710","5,800","5,490","16,203"
2023.01.10,"5,720",80,"5,620","5,730","5,570","12,110"
2023.01.09,"5,640",40,"5,610","5,700","5,510","14,917"
2023.01.06,"5,600",150,"5,450","5,650","5,400","6,237"
2023.01.05,"5,450",10,"5,440","5,570","5,420","3,673"
2023.01.04,"5,440",0,"5,360","5,590","5,360","3,088"
2023.01.03,"5,440",40,"5,400","5,490","5,290","3,676"
2023.01.02,"5,400",0,"5,400","5,410","5,250","2,734"
2022.12.29,"5,400",10,"5,350","5,400","5,240","6,312"
2022.12.28,"5,390",10,"5,430","5,450","5,200","5,914"
2022.12.27,"5,400",160,"5,320","5,460","5,190","15,832"
2022.12.26,"5,240",140,"5,470","5,470","5,180","8,241"
2022.12.23,"5,380",80,"5,400","5,550","5,350","2,814"
2022.12.22,"5,460",60,"5,660","5,730","5,460","6,880"
2022.12.21,"5,520",140,"5,610","5,710","5,500","9,125"
2022.12.20,"5,660",30,"5,620","5,680","5,460","8,789"
2022.12.19,"5,690",20,"5,710","5,730","5,560","13,103"
2022.12.16,"5,710",20,"5,620","5,730","5,450","10,892"
2022.12.15,"5,690",10,"5,620","5,720","5,450","12,615"
2022.12.14,"5,680",220,"5,460","5,680","5,300","16,390"
2022.12.13,"5,460",110,"5,640","5,640","5,280","30,865"
2022.12.12,"5,570",110,"5,690","5,690","5,500","9,761"
2022.12.09,"5,680",50,"5,740","5,740","5,420","41,189"
2022.12.08,"5,630",310,"5,220","5,650","4,900","56,456"
2022.12.07,"5,320",20,"5,410","5,410","5,170","41,032"
2022.12.06,"5,300",300,"5,570","5,570","5,140","44,035"
2022.12.05,"5,600",220,"5,810","5,810","5,550","25,335"
2022.12.02,"5,820",160,"5,790","5,940","5,580","82,900"
2022.12.01,"5,660",60,"5,600","5,780","5,450","46,936"
2022.11.30,"5,600",130,"5,500","5,700","5,350","35,799"
2022.11.29,"5,470",210,"5,260","5,780","5,120","76,223"
2022.11.28,"5,260",170,"5,370","5,410","5,150","47,852"
2022.11.25,"5,430",310,"5,120","5,780","5,120","254,521"
2022.11.24,"5,120",320,"4,800","6,180","4,760","424,320"
2022.11.23,"4,800",95,"4,710","4,820","4,710","5,438"
2022.11.22,"4,705",15,"4,720","4,720","4,605","2,611"
2022.11.21,"4,720",15,"4,735","4,750","4,660","3,776"
2022.11.18,"4,735",45,"4,690","4,750","4,610","2,261"
2022.11.17,"4,690",50,"4,690","4,740","4,535","3,464"
2022.11.16,"4,740",30,"4,785","4,785","4,705","3,675"
2022.11.15,"4,770",75,"4,695","4,770","4,655","4,137"
2022.11.14,"4,695",45,"4,650","4,710","4,580","5,100"
2022.11.11,"4,650",80,"4,590","4,695","4,560","5,536"
2022.11.10,"4,570",40,"4,610","4,610","4,490","4,826"
2022.11.09,"4,610",35,"4,585","4,625","4,510","4,923"
2022.11.08,"4,645",20,"4,625","4,645","4,455","5,642"
2022.11.07,"4,625",5,"4,630","4,630","4,525","2,642"
2022.11.04,"4,630",30,"4,610","4,650","4,445","9,646"
2022.11.03,"4,660",10,"4,600","4,665","4,465","6,113"
2022.11.02,"4,670",60,"4,610","4,685","4,560","5,804"
2022.11.01,"4,610",10,"4,620","4,620","4,520","4,263"
2022.10.31,"4,620",30,"4,650","4,650","4,540","1,830"
2022.10.28,"4,650",60,"4,590","4,685","4,495","7,348"
2022.10.27,"4,590",10,"4,580","4,610","4,550","5,608"
2022.10.26,"4,580",70,"4,600","4,645","4,550","2,768"
2022.10.25,"4,650",20,"4,670","4,700","4,550","3,389"
2022.10.24,"4,670",35,"4,560","4,670","4,500","5,426"
2022.10.21,"4,635",90,"4,435","4,705","4,435","3,787"
2022.10.20,"4,545",75,"4,550","4,555","4,400","4,628"
2022.10.19,"4,470",95,"4,425","4,475","4,375","3,593"
2022.10.18,"4,375",10,"4,355","4,415","4,290","5,514"
2022.10.17,"4,365",20,"4,340","4,380","4,315","3,020"
2022.10.14,"4,385",5,"4,595","4,595","4,305","12,797"
2022.10.13,"4,390",10,"4,395","4,575","4,330","1,456"
2022.10.12,"4,400",55,"4,455","4,455","4,325","2,834"
2022.10.11,"4,455",105,"4,555","4,555","4,380","5,827"
2022.10.07,"4,560",140,"4,650","4,750","4,440","16,194"
2022.10.06,"4,700",40,"4,660","4,715","4,655",729
