날짜,종가,전일비,시가,고가,저가,거래량
2023.07.10,"106,600","1,100","105,300","109,500","104,600","272,706"
2023.07.07,"105,500","1,200","106,600","107,400","104,200","183,745"
2023.07.06,"106,700","1,500","108,100","110,600","106,500","254,382"
2023.07.05,"108,200","1,100","108,000","110,100","106,600","202,211"
2023.07.04,"109,300","2,500","106,800","111,600","105,200","277,584"
2023.07.03,"106,800",0,"107,300","107,400","103,500","220,891"
2023.06.30,"106,800",200,"107,000","108,800","105,200","202,510"
2023.06.29,"107,000",300,"107,400","110,500","105,300","258,872"
2023.06.28,"107,300","2,400","109,100","110,200","107,300","213,378"
2023.06.27,"109,700",0,"108,600","110,900","106,400","238,510"
2023.06.26,"109,700","1,300","110,300","112,000","109,400","193,953"
2023.06.23,"111,000","3,200","114,900","115,200","110,800","323,657"
2023.06.22,"114,200","4,600","117,800","119,600","113,400","597,643"
2023.06.21,"118,800","3,100","121,800","123,100","117,400","344,778"
2023.06.20,"121,900","3,000","120,000","124,300","118,900","436,314"
2023.06.19,"118,900","1,300","117,600","122,300","115,400","498,769"
2023.06.16,"117,600","2,800","115,600","118,500","113,000","453,509"
2023.06.15,"114,800",100,"116,000","117,400","113,000","467,487"
2023.06.14,"114,900","6,900","109,700","118,200","109,500","1,038,431"
2023.06.13,"108,000","3,600","105,500","109,400","103,800","439,951"
2023.06.12,"104,400","2,400","103,000","105,200","101,800","321,475"
2023.06.09,"102,000","1,400","103,200","105,800","102,000","348,743"
2023.06.08,"103,400",100,"103,300","103,600","101,400","349,972"
2023.06.07,"103,300","2,800","100,000","105,700","99,500","528,834"
2023.06.05,"100,500","1,400","102,000","102,500","98,600","506,533"
2023.06.02,"101,900",100,"102,700","103,200","101,200","444,578"
2023.06.01,"101,800","7,900","109,700","114,600","100,600","2,092,346"
2023.05.31,"109,700",300,"110,300","114,900","109,500","574,950"
2023.05.30,"109,400","4,600","104,800","109,500","103,700","333,103"
2023.05.26,"104,800","1,200","104,200","106,900","103,700","244,413"
2023.05.25,"103,600","1,500","103,300","106,100","102,900","206,101"
2023.05.24,"105,100","3,000","108,500","108,500","104,200","313,977"
2023.05.23,"108,100","1,200","107,000","108,900","105,400","234,544"
2023.05.22,"106,900",700,"107,600","107,600","104,500","272,770"
2023.05.19,"107,600","3,400","112,200","112,400","106,300","354,534"
2023.05.18,"111,000","2,300","112,700","112,900","109,300","301,823"
2023.05.17,"113,300","4,100","109,200","119,100","108,600","991,794"
2023.05.16,"109,200","6,700","103,200","110,400","102,000","925,106"
2023.05.15,"102,500","3,900","106,200","106,700","101,600","393,503"
2023.05.12,"106,400","1,400","109,000","110,400","104,800","401,751"
2023.05.11,"107,800","2,100","106,100","110,700","101,000","658,013"
2023.05.10,"105,700","2,300","103,400","107,100","103,400","269,870"
2023.05.09,"103,400","1,400","105,700","107,200","102,900","300,289"
2023.05.08,"104,800","2,500","109,300","110,000","103,800","389,863"
2023.05.04,"107,300","5,200","113,300","113,700","106,200","378,978"
2023.05.03,"112,500",100,"112,600","116,600","111,200","466,539"
2023.05.02,"112,600","5,400","107,300","113,900","106,800","361,912"
2023.04.28,"107,200","1,000","107,300","110,000","106,400","258,476"
2023.04.27,"106,200","2,100","108,300","109,300","105,900","295,182"
2023.04.26,"108,300","5,000","103,300","108,800","103,200","441,812"
2023.04.25,"103,300","1,300","104,600","106,700","102,900","281,346"
2023.04.24,"104,600","4,100","100,400","106,100","100,400","295,906"
2023.04.21,"100,500","2,500","103,000","104,300","98,800","269,352"
2023.04.20,"103,000","1,500","104,200","106,800","101,900","318,058"
2023.04.19,"104,500","1,800","102,700","106,000","101,200","314,819"
2023.04.18,"102,700","2,100","106,100","109,100","101,300","564,128"
2023.04.17,"104,800",700,"106,200","106,800","103,000","273,654"
2023.04.14,"105,500","3,800","101,000","108,000","100,000","596,209"
2023.04.13,"101,700","6,500","95,500","104,800","95,500","1,271,206"
2023.04.12,"95,200","2,200","97,400","98,600","94,100","412,709"
2023.04.11,"97,400","1,600","96,000","98,500","95,800","252,215"
2023.04.10,"95,800","1,800","97,400","97,400","94,800","295,454"
2023.04.07,"97,600",400,"98,800","99,400","93,400","364,670"
2023.04.06,"98,000","1,800","96,200","101,600","96,100","615,805"
2023.04.05,"96,200",100,"96,200","98,500","94,400","408,617"
2023.04.04,"96,100","1,700","94,500","96,800","93,000","420,019"
2023.04.03,"94,400","1,200","93,200","96,300","93,200","446,579"
2023.03.31,"93,200",900,"93,200","94,900","92,500","443,511"
2023.03.30,"94,100","3,300","97,900","98,900","94,100","700,700"
2023.03.29,"97,400","3,100","94,300","98,400","93,000","843,826"
2023.03.28,"94,300","3,200","88,200","95,700","87,600","2,789,272"
2023.03.27,"91,100","16,100","105,800","106,300","90,500","1,695,358"
2023.03.24,"107,200",0,"106,400","110,600","104,100","322,573"
2023.03.23,"107,200","4,800","111,400","112,400","106,100","326,147"
2023.03.22,"112,000","1,500","113,200","113,800","111,100","836,391"
2023.03.21,"113,500",200,"115,000","115,000","111,500","753,541"
2023.03.20,"113,300",300,"111,000","113,700","109,200","826,024"
2023.03.17,"113,000","1,400","111,900","113,000","107,500","1,195,671"
2023.03.16,"111,600","1,800","112,200","113,900","111,300","971,273"
2023.03.15,"113,400","1,800","114,600","116,300","113,400","1,124,623"
2023.03.14,"115,200","2,100","114,400","118,000","112,500","2,469,659"
2023.03.13,"113,100","34,700","135,000","135,000","111,300","5,457,572"
2023.03.10,"147,800","7,100","152,000","154,000","146,000","3,601,004"
2023.03.09,"154,900","3,600","157,000","157,000","152,600","1,073,416"
2023.03.08,"158,500","8,800","154,100","161,200","150,600","2,568,990"
2023.03.07,"149,700","19,600","147,200","149,700","146,500","3,609,572"
2023.03.06,"130,100",900,"125,300","134,900","124,700","2,431,975"
2023.03.03,"129,200","1,200","127,400","131,000","124,500","1,073,133"
2023.03.02,"128,000",400,"126,000","131,100","123,700","1,256,953"
2023.02.28,"127,600","7,300","121,200","128,000","118,700","3,477,054"
2023.02.27,"120,300",700,"122,000","127,100","119,300","2,114,459"
