날짜,종가,전일비,시가,고가,저가,거래량
2023.07.10,"75,300","3,000","77,600","78,700","72,300","583,826"
2023.07.07,"78,300",300,"78,000","79,400","77,300","279,985"
2023.07.06,"78,600","3,400","82,400","83,000","78,000","463,302"
2023.07.05,"82,000","1,300","80,800","83,600","79,300","491,130"
2023.07.04,"80,700","3,400","77,600","82,200","76,400","710,499"
2023.07.03,"77,300",400,"77,400","77,700","75,600","224,155"
2023.06.30,"76,900","1,500","78,800","79,800","76,800","302,507"
2023.06.29,"78,400",100,"78,900","81,800","76,800","370,929"
2023.06.28,"78,500",400,"80,000","80,200","78,100","246,068"
2023.06.27,"78,900","1,700","76,800","80,400","76,500","438,592"
2023.06.26,"77,200",800,"77,600","78,700","76,600","219,672"
2023.06.23,"78,000","1,300","80,100","80,100","77,200","335,204"
2023.06.22,"79,300","1,500","80,000","81,700","79,200","415,328"
2023.06.21,"80,800","1,400","82,900","84,400","80,400","449,191"
2023.06.20,"82,200",200,"82,100","84,400","81,500","294,198"
2023.06.19,"82,000",600,"83,100","83,100","80,800","284,053"
2023.06.16,"82,600",700,"84,200","84,200","82,000","288,529"
2023.06.15,"83,300","1,400","82,900","84,800","82,800","423,994"
2023.06.14,"81,900","1,700","83,400","85,400","81,100","675,265"
2023.06.13,"83,600",300,"83,000","86,000","82,100","443,996"
2023.06.12,"83,300",400,"84,100","84,600","82,100","417,504"
2023.06.09,"83,700","1,800","82,900","86,000","81,800","953,804"
2023.06.08,"81,900","2,700","83,700","84,500","81,200","1,201,778"
2023.06.07,"84,600","6,500","89,100","89,700","84,300","1,359,180"
2023.06.05,"91,100","1,100","92,300","92,600","90,200","426,092"
2023.06.02,"92,200","2,500","94,800","94,800","90,800","527,083"
2023.06.01,"94,700",800,"94,200","96,800","93,400","521,602"
2023.05.31,"93,900","1,300","94,300","97,000","92,000","575,340"
2023.05.30,"95,200","3,200","92,700","96,500","91,500","746,238"
2023.05.26,"92,000",700,"90,900","95,000","90,600","658,129"
2023.05.25,"91,300","1,300","91,600","93,600","90,800","392,083"
2023.05.24,"92,600",200,"93,700","94,000","90,300","521,698"
2023.05.23,"92,800","2,000","90,900","94,600","90,200","682,324"
2023.05.22,"90,800","1,200","92,200","93,300","89,700","624,234"
2023.05.19,"92,000",600,"93,300","94,200","89,500","1,099,330"
2023.05.18,"92,600","1,300","90,600","95,400","90,000","1,062,530"
2023.05.17,"91,300","6,300","83,800","92,900","83,600","1,907,723"
2023.05.16,"85,000","7,300","79,200","86,400","79,000","2,684,371"
2023.05.15,"77,700",400,"77,700","79,800","77,300","1,034,825"
2023.05.12,"78,100","11,400","72,500","79,500","71,300","4,473,376"
2023.05.11,"66,700","1,700","66,000","67,500","62,500","928,650"
2023.05.10,"65,000","2,800","62,600","65,100","62,200","409,502"
2023.05.09,"62,200",900,"63,000","63,500","61,700","180,415"
2023.05.08,"63,100","2,600","66,100","66,200","62,600","439,054"
2023.05.04,"65,700",500,"66,600","66,900","64,300","291,624"
2023.05.03,"66,200","2,100","63,700","66,800","63,500","617,903"
2023.05.02,"64,100","3,100","61,000","64,700","61,000","485,632"
2023.04.28,"61,000",500,"62,100","63,000","60,500","283,354"
2023.04.27,"61,500",300,"61,200","61,900","60,600","221,506"
2023.04.26,"61,200","2,700","59,000","62,200","58,600","472,518"
2023.04.25,"58,500","1,400","59,900","60,200","58,100","252,094"
2023.04.24,"59,900",900,"59,200","60,700","58,600","237,909"
2023.04.21,"59,000","1,300","59,900","60,300","58,100","363,567"
2023.04.20,"60,300","1,500","61,500","62,000","59,700","499,710"
2023.04.19,"61,800","1,200","62,700","63,400","61,500","290,488"
2023.04.18,"63,000","1,100","64,300","65,800","62,700","404,073"
2023.04.17,"64,100","1,000","64,500","66,200","63,500","580,482"
2023.04.14,"63,100",0,"63,600","65,900","62,900","735,048"
2023.04.13,"63,100","1,900","61,300","63,700","61,000","776,709"
2023.04.12,"61,200",600,"61,000","61,500","59,800","292,405"
2023.04.11,"60,600",100,"60,300","61,200","59,600","300,040"
2023.04.10,"60,500","1,000","61,700","62,400","59,700","534,574"
2023.04.07,"61,500","3,700","58,900","61,500","57,600","688,158"
2023.04.06,"57,800","1,200","56,600","59,400","56,300","661,967"
2023.04.05,"56,600",500,"57,000","57,400","56,200","199,665"
2023.04.04,"57,100","1,300","56,200","57,500","55,600","313,690"
2023.04.03,"55,800",900,"56,500","57,500","55,500","321,418"
2023.03.31,"56,700",300,"57,000","57,900","56,200","213,198"
2023.03.30,"57,000",600,"57,700","57,900","56,200","290,373"
2023.03.29,"57,600",400,"57,500","57,900","56,800","250,845"
2023.03.28,"58,000","1,700","56,800","58,100","56,300","441,296"
2023.03.27,"56,300","1,000","57,200","57,600","55,400","348,097"
2023.03.24,"57,300","2,100","55,800","57,700","55,000","441,416"
2023.03.23,"55,200",300,"54,700","55,900","53,900","329,437"
2023.03.22,"55,500","1,000","57,000","57,000","55,400","286,518"
2023.03.21,"56,500","1,800","55,600","57,700","55,500","488,702"
2023.03.20,"54,700",400,"55,500","55,500","54,200","231,373"
2023.03.17,"55,100","3,200","53,300","55,800","53,000","499,508"
2023.03.16,"51,900",900,"52,200","52,800","51,300","278,293"
2023.03.15,"52,800",400,"54,200","54,600","52,100","443,552"
2023.03.14,"53,200","1,400","55,000","55,000","52,800","424,000"
2023.03.13,"54,600","2,900","56,300","56,700","53,400","716,318"
2023.03.10,"57,500",900,"57,500","59,500","57,200","340,292"
2023.03.09,"58,400","1,900","60,400","60,400","57,900","425,873"
2023.03.08,"60,300",800,"59,900","62,400","59,800","737,212"
2023.03.07,"59,500","2,300","58,300","60,700","57,600","932,319"
2023.03.06,"57,200",100,"56,800","58,000","56,000","373,402"
2023.03.03,"57,100",400,"57,700","58,700","56,200","364,172"
2023.03.02,"57,500",500,"58,000","58,900","57,400","420,985"
2023.02.28,"58,000","4,100","54,200","58,100","53,900","1,009,174"
2023.02.27,"53,900",800,"53,100","54,600","52,800","294,718"
2023.02.24,"53,100","1,700","54,300","54,500","52,700","350,534"
2023.02.23,"54,800",300,"54,800","55,000","53,700","346,688"
2023.02.22,"54,500",600,"53,000","55,400","53,000","571,923"
2023.02.21,"53,900",700,"52,800","54,200","52,000","340,805"
2023.02.20,"53,200","2,400","51,200","53,400","50,800","449,489"
2023.02.17,"50,800","2,000","51,800","52,300","50,500","278,035"
2023.02.16,"52,800","2,200","51,100","52,900","50,900","328,850"
2023.02.15,"50,600","1,700","52,400","52,600","50,300","393,207"
2023.02.14,"52,300",300,"52,000","52,800","51,400","253,823"
2023.02.13,"52,000",600,"52,900","53,800","51,800","298,458"
2023.02.10,"52,600",600,"54,100","55,000","52,500","825,218"
2023.02.09,"53,200",100,"53,300","54,000","52,700","318,070"
2023.02.08,"53,300","1,100","52,700","53,700","52,200","443,590"
2023.02.07,"52,200",0,"52,400","53,000","51,700","298,839"
2023.02.06,"52,200",600,"52,800","53,200","52,000","249,838"
2023.02.03,"52,800","1,100","51,900","53,400","51,600","516,089"
2023.02.02,"51,700",300,"52,300","52,900","51,200","373,732"
2023.02.01,"52,000",100,"52,000","52,400","51,300","239,188"
2023.01.31,"51,900","1,100","50,100","52,300","50,000","382,341"
2023.01.30,"50,800",700,"51,400","51,900","50,600","295,372"
2023.01.27,"51,500",600,"50,700","51,900","50,600","321,643"
2023.01.26,"50,900",100,"51,100","51,900","50,400","408,397"
2023.01.25,"51,000",900,"52,000","52,100","50,200","487,112"
2023.01.20,"51,900",700,"52,300","52,900","51,100","502,196"
2023.01.19,"52,600","2,950","49,900","52,700","49,500","917,357"
2023.01.18,"49,650","1,550","48,100","49,650","48,100","407,679"
2023.01.17,"48,100",250,"48,650","49,250","48,000","192,916"
2023.01.16,"48,350",700,"49,100","49,500","48,100","327,658"
2023.01.13,"49,050",400,"48,650","49,150","47,650","371,950"
2023.01.12,"48,650",750,"48,550","49,500","48,050","429,192"
2023.01.11,"47,900",900,"47,200","48,150","47,000","278,938"
2023.01.10,"47,000","1,800","48,750","48,850","46,850","566,170"
2023.01.09,"48,800",800,"50,000","50,500","48,350","569,291"
2023.01.06,"49,600",500,"48,700","49,900","46,950","580,137"
2023.01.05,"49,100",300,"49,250","50,100","48,250","445,150"
2023.01.04,"48,800",700,"49,800","50,000","48,350","505,379"
2023.01.03,"49,500","1,450","47,500","50,800","47,500","1,176,815"
2023.01.02,"48,050","4,200","46,550","49,000","45,950","1,483,247"
2022.12.29,"43,850","1,050","42,450","44,250","42,450","314,793"
2022.12.28,"42,800","2,200","44,900","45,150","42,500","490,511"
2022.12.27,"45,000",350,"45,250","45,850","44,800","308,344"
2022.12.26,"45,350",700,"46,150","46,450","45,100","303,488"
2022.12.23,"46,050","1,700","46,950","47,350","46,000","397,595"
2022.12.22,"47,750","3,150","45,000","48,000","44,350","804,947"
2022.12.21,"44,600",350,"44,950","45,250","44,200","225,607"
