날짜,종목명,종가,시가,고가,저가,거래량
2023.06.30,와이지엔터테이먼트,76900,78800,79800,76800,302507
2023.06.29,와이지엔터테이먼트,78400,78900,81800,76800,370929
2023.06.28,와이지엔터테이먼트,78500,80000,80200,78100,246068
2023.06.27,와이지엔터테이먼트,78900,76800,80400,76500,438592
2023.06.26,와이지엔터테이먼트,77200,77600,78700,76600,219672
2023.06.23,와이지엔터테이먼트,78000,80100,80100,77200,335204
2023.06.22,와이지엔터테이먼트,79300,80000,81700,79200,415328
2023.06.21,와이지엔터테이먼트,80800,82900,84400,80400,449191
2023.06.20,와이지엔터테이먼트,82200,82100,84400,81500,294198
2023.06.19,와이지엔터테이먼트,82000,83100,83100,80800,284053
2023.06.16,와이지엔터테이먼트,82600,84200,84200,82000,288529
2023.06.15,와이지엔터테이먼트,83300,82900,84800,82800,423994
2023.06.14,와이지엔터테이먼트,81900,83400,85400,81100,675265
2023.06.13,와이지엔터테이먼트,83600,83000,86000,82100,443996
2023.06.12,와이지엔터테이먼트,83300,84100,84600,82100,417504
2023.06.09,와이지엔터테이먼트,83700,82900,86000,81800,953804
2023.06.08,와이지엔터테이먼트,81900,83700,84500,81200,1201778
2023.06.07,와이지엔터테이먼트,84600,89100,89700,84300,1359180
2023.06.05,와이지엔터테이먼트,91100,92300,92600,90200,426092
2023.06.02,와이지엔터테이먼트,92200,94800,94800,90800,527083
2023.06.01,와이지엔터테이먼트,94700,94200,96800,93400,521602
2023.05.31,와이지엔터테이먼트,93900,94300,97000,92000,575340
2023.05.30,와이지엔터테이먼트,95200,92700,96500,91500,746238
2023.05.26,와이지엔터테이먼트,92000,90900,95000,90600,658129
2023.05.25,와이지엔터테이먼트,91300,91600,93600,90800,392083
2023.05.24,와이지엔터테이먼트,92600,93700,94000,90300,521698
2023.05.23,와이지엔터테이먼트,92800,90900,94600,90200,682324
2023.05.22,와이지엔터테이먼트,90800,92200,93300,89700,624234
2023.05.19,와이지엔터테이먼트,92000,93300,94200,89500,1099330
2023.05.18,와이지엔터테이먼트,92600,90600,95400,90000,1062530
2023.05.17,와이지엔터테이먼트,91300,83800,92900,83600,1907723
2023.05.16,와이지엔터테이먼트,85000,79200,86400,79000,2684371
2023.05.15,와이지엔터테이먼트,77700,77700,79800,77300,1034825
2023.05.12,와이지엔터테이먼트,78100,72500,79500,71300,4473376
2023.05.11,와이지엔터테이먼트,66700,66000,67500,62500,928650
2023.05.10,와이지엔터테이먼트,65000,62600,65100,62200,409502
2023.05.09,와이지엔터테이먼트,62200,63000,63500,61700,180415
2023.05.08,와이지엔터테이먼트,63100,66100,66200,62600,439054
2023.05.04,와이지엔터테이먼트,65700,66600,66900,64300,291624
2023.05.03,와이지엔터테이먼트,66200,63700,66800,63500,617903
2023.05.02,와이지엔터테이먼트,64100,61000,64700,61000,485632
2023.04.28,와이지엔터테이먼트,61000,62100,63000,60500,283354
2023.04.27,와이지엔터테이먼트,61500,61200,61900,60600,221506
2023.04.26,와이지엔터테이먼트,61200,59000,62200,58600,472518
2023.04.25,와이지엔터테이먼트,58500,59900,60200,58100,252094
2023.04.24,와이지엔터테이먼트,59900,59200,60700,58600,237909
2023.04.21,와이지엔터테이먼트,59000,59900,60300,58100,363567
2023.04.20,와이지엔터테이먼트,60300,61500,62000,59700,499710
2023.04.19,와이지엔터테이먼트,61800,62700,63400,61500,290488
2023.04.18,와이지엔터테이먼트,63000,64300,65800,62700,404073
2023.04.17,와이지엔터테이먼트,64100,64500,66200,63500,580482
2023.04.14,와이지엔터테이먼트,63100,63600,65900,62900,735048
2023.04.13,와이지엔터테이먼트,63100,61300,63700,61000,776709
2023.04.12,와이지엔터테이먼트,61200,61000,61500,59800,292405
2023.04.11,와이지엔터테이먼트,60600,60300,61200,59600,300040
2023.04.10,와이지엔터테이먼트,60500,61700,62400,59700,534574
2023.04.07,와이지엔터테이먼트,61500,58900,61500,57600,688158
2023.04.06,와이지엔터테이먼트,57800,56600,59400,56300,661967
2023.04.05,와이지엔터테이먼트,56600,57000,57400,56200,199665
2023.04.04,와이지엔터테이먼트,57100,56200,57500,55600,313690
2023.04.03,와이지엔터테이먼트,55800,56500,57500,55500,321418
2023.03.31,와이지엔터테이먼트,56700,57000,57900,56200,213198
2023.03.30,와이지엔터테이먼트,57000,57700,57900,56200,290373
2023.03.29,와이지엔터테이먼트,57600,57500,57900,56800,250845
2023.03.28,와이지엔터테이먼트,58000,56800,58100,56300,441296
2023.03.27,와이지엔터테이먼트,56300,57200,57600,55400,348097
2023.03.24,와이지엔터테이먼트,57300,55800,57700,55000,441416
